species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Snow Goose,vagrant,irregular,0.009296,0.0,0.0,9,1,41-34,winter,No,
Ross's Goose,vagrant,irregular,0.012748,0.0,0.0,3,1,16-14,winter,No,low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.026316,0.0,0.0,10,1,12-8,summer,No,overwintering|low_presence|low_annual_presence
Brant,vagrant,irregular,0.007843,0.0,0.0,4,1,19-17,winter,No,low_annual_presence
Cackling Goose,vagrant,irregular,0.008197,0.0,0.0,8,1,40-33,winter,No,
Canada Goose,single-season,summer,0.390244,0.0,0.0,46,1,42-7,winter,No,
Mute Swan,two-passage-migrant,two-passage,0.022727,0.0,0.0,18,3,2-22;27-40;42-46,winter|summer|winter,Yes,three_valley_migrant
Trumpeter Swan,single-season,winter,0.161972,0.008439,0.0521,48,1,23-27,summer,No,overwintering
Tundra Swan,two-passage-migrant,two-passage,0.008242,0.0,0.0,13,2,14-37;42-9,summer|winter,No,classic_bimodal|low_presence
Wood Duck,single-season,summer,0.132544,0.0,0.0,30,1,40-11,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.093491,0.0,0.0,28,2,20-27;39-12,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.027907,0.0,0.0,25,2,21-30;36-12,summer|winter,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.02459,0.0,0.0,24,2,21-34;39-19,summer|winter,No,classic_bimodal
American Wigeon,two-passage-migrant,two-passage,0.058074,0.0,0.0,29,2,18-30;40-8,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.365385,0.092593,0.2534,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.102273,0.000722,0.0071,48,1,16-28,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.047131,0.0,0.0,26,3,4-11;16-35;42-46,winter|summer|winter,Yes,three_valley_migrant
Green-winged Teal,two-passage-migrant,two-passage,0.110482,0.0,0.0,40,3,5-12;22-28;41-47,winter|summer|winter,No,three_valley_migrant
Canvasback,two-passage-migrant,two-passage,0.010989,0.0,0.0,20,2,0-14;16-39,winter|summer,No,classic_bimodal
Redhead,two-passage-migrant,two-passage,0.061475,0.0,0.0,33,2,3-14;17-33,winter|summer,No,classic_bimodal
Ring-necked Duck,single-season,summer,0.209632,0.0,0.0,35,1,18-11,winter,No,
Greater Scaup,two-passage-migrant,two-passage,0.049822,0.0,0.0,29,2,0-14;18-34,winter|summer,Yes,classic_bimodal
Lesser Scaup,single-season,winter,0.052713,0.0,0.0,37,1,19-35,summer,No,overwintering
King Eider,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Eider,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Harlequin Duck,vagrant,irregular,0.012739,0.0,0.0,5,1,0-43,summer,No,low_annual_presence
Surf Scoter,single-season,summer,0.047131,0.0,0.0,15,1,43-35,winter,No,
White-winged Scoter,two-passage-migrant,two-passage,0.069597,0.0,0.0,32,2,2-8;12-36,winter|summer,No,classic_bimodal
Black Scoter,single-season,winter,0.039146,0.0,0.0,13,1,0-36,summer,No,overwintering|low_presence
Long-tailed Duck,single-season,winter,0.190476,0.0,0.0,36,1,4-37,summer,No,overwintering
Bufflehead,two-passage-migrant,two-passage,0.365439,0.0,0.0,39,2,0-11;19-37,winter|summer,No,classic_bimodal
Common Goldeneye,single-season,winter,0.22807,0.001439,0.0063,48,1,17-38,summer,No,overwintering
Hooded Merganser,single-season,summer,0.1341,0.0,0.0,47,1,3-6,winter,No,
Common Merganser,resident,year-round,0.195467,0.0015,0.0077,48,0,,,No,seasonal_variation|min_max_near_boundary
Red-breasted Merganser,single-season,winter,0.124542,0.00659,0.0529,48,2,24-28;30-34,summer|summer,No,overwintering|two_summer_valleys_merged
Ruddy Duck,single-season,summer,0.005405,0.0,0.0,11,1,1-47,winter,No,low_presence
Helmeted Guineafowl,vagrant,irregular,0.001565,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.001647,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,resident,year-round,0.037209,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,single-season,winter,0.106061,0.0,0.0,47,2,24-28;30-33,summer|summer,No,overwintering|two_summer_valleys_merged
Sharp-tailed Grouse,vagrant,irregular,0.003876,0.0,0.0,18,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spruce Grouse,vagrant,irregular,0.005405,0.0,0.0,11,1,1-47,winter,No,low_presence|low_annual_presence
Ring-necked Pheasant,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.192857,0.02381,0.1235,48,0,,,No,seasonal_variation|min_max_near_boundary
Eurasian Collared-Dove,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
White-winged Dove,vagrant,irregular,0.00304,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Mourning Dove,resident,year-round,0.152542,0.019031,0.1248,48,0,,,No,seasonal_variation|min_max_near_boundary
Yellow-billed Cuckoo,single-season,summer,0.023022,0.0,0.0,19,1,31-19,winter,No,
Black-billed Cuckoo,single-season,summer,0.052349,0.0,0.0,19,1,30-18,winter,No,
Common Nighthawk,single-season,summer,0.010545,0.0,0.0,17,1,33-18,winter,No,
Eastern Whip-poor-will,single-season,summer,0.013423,0.0,0.0,16,1,27-18,winter,No,
Chimney Swift,single-season,summer,0.048,0.0,0.0,18,1,32-17,winter,No,
Mexican Violetear,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ruby-throated Hummingbird,single-season,summer,0.16804,0.0,0.0,20,1,34-17,winter,No,
Anna's Hummingbird,vagrant,irregular,0.014235,0.0,0.0,4,1,40-38,winter,No,low_annual_presence
Broad-billed Hummingbird,vagrant,irregular,0.0112,0.0,0.0,1,1,23-21,winter,No,low_annual_presence
Berylline Hummingbird,vagrant,irregular,0.040752,0.0,0.0,2,1,35-33,winter,No,low_annual_presence
Virginia Rail,single-season,summer,0.016994,0.0,0.0,18,1,29-17,winter,No,
Sora,single-season,summer,0.011696,0.0,0.0,18,1,25-17,winter,No,
Common Gallinule,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Coot,two-passage-migrant,two-passage,0.016393,0.0,0.0,23,2,0-14;16-34,winter|summer,No,classic_bimodal
Yellow Rail,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,single-season,summer,0.269231,0.0,0.0,30,1,36-11,winter,No,
American Avocet,vagrant,irregular,0.016014,0.0,0.0,8,1,40-38,winter,No,
Black-bellied Plover,two-passage-migrant,two-passage,0.061129,0.0,0.0,23,2,21-29;41-17,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.071713,0.0,0.0,15,1,40-30,winter,No,
Killdeer,single-season,summer,0.176744,0.0,0.0,29,1,33-11,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.216568,0.0,0.0,23,2,21-27;35-17,summer|winter,No,classic_bimodal
Piping Plover,single-season,summer,0.033987,0.0,0.0,19,1,32-16,winter,No,
Wilson's Plover,vagrant,irregular,0.041344,0.0,0.0,2,1,19-16,winter,No,low_annual_presence
Upland Sandpiper,single-season,summer,0.0208,0.0,0.0,13,1,27-18,winter,No,low_presence
Hudsonian Whimbrel,two-passage-migrant,two-passage,0.014035,0.0,0.0,15,2,23-30;33-17,summer|winter,No,classic_bimodal
Hudsonian Godwit,vagrant,irregular,0.001443,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Marbled Godwit,vagrant,irregular,0.001443,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Short-billed Dowitcher,vagrant,irregular,0.013072,0.0,0.0,8,2,19-28;30-16,summer|winter,No,
Long-billed Dowitcher,vagrant,irregular,0.001342,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Woodcock,single-season,summer,0.03022,0.0,0.0,25,1,21-10,winter,No,
Wilson's Snipe,single-season,summer,0.04031,0.0,0.0,28,1,39-12,winter,No,
Wilson's Phalarope,vagrant,irregular,0.003608,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Red Phalarope,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Red-necked Phalarope,vagrant,irregular,0.005682,0.0,0.0,5,1,33-31,winter,No,low_annual_presence
Spotted Sandpiper,single-season,summer,0.154248,0.0,0.0,23,1,35-15,winter,No,
