species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Snow Goose,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,April 22-30,November 15-21
Ross's Goose,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,September 15-21
Greater White-fronted Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,November 15-21
Brant,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,September 8-14
Cackling Goose,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,September 8-14,November 8-14
Canada Goose,single-season,summer,,March 1-7,March 22-31,November 8-14,,,,,,,,,,,
Mute Swan,two-passage-migrant,two-passage,,,,,June 22-30,July 15-21,July 15-21,November 8-14,November 8-14,November 8-14,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,August 1-7,March 15-21,June 15-21,,
Tundra Swan,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,April 8-14,October 15-21,October 15-21,November 8-14,,,,,
Wood Duck,single-season,summer,,April 1-7,August 22-31,October 22-31,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 22-31,August 1-7,August 22-31,October 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,April 8-14,May 1-7,June 1-7,August 22-31,September 15-21,September 22-30,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,June 1-7,June 1-7,June 1-7,September 22-30,October 15-21,October 15-21,,,,,
American Wigeon,two-passage-migrant,two-passage,,,,,March 8-14,April 22-30,May 8-14,August 22-31,October 15-21,October 22-31,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,August 8-14,January 8-14,April 22-30,,
Northern Pintail,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,April 22-30,October 1-7,October 15-21,November 8-14,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,August 8-14,August 22-31,November 1-7,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,April 22-30,November 1-7,November 15-21,December 15-21,,,,,
Redhead,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 1-7,September 15-21,October 15-21,November 15-21,,,,,
Ring-necked Duck,single-season,summer,,April 1-7,April 22-30,May 8-14,,,,,,,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 8-14,September 22-30,October 22-31,December 22-31,,,,,
Lesser Scaup,single-season,winter,,,,,,,,,,,October 1-7,May 1-7,May 15-21,,
King Eider,vagrant,irregular,irregular,,December 8-14,,,,,,,,,,,December 8-14,December 15-21
Common Eider,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,June 22-30
Harlequin Duck,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,October 1-7,December 1-7
Surf Scoter,single-season,summer,,October 1-7,October 15-21,November 15-21,,,,,,,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,March 8-14,March 15-21,March 22-31,October 8-14,November 15-21,November 22-30,,,,,
Black Scoter,single-season,winter,,,,,,,,,,,October 8-14,October 22-31,December 15-21,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,October 15-21,November 15-21,January 22-31,,
Bufflehead,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,May 15-21,October 15-21,November 15-21,December 15-21,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 22-31,March 8-14,May 1-7,,
Hooded Merganser,single-season,summer,,February 22-28,April 1-7,January 15-21,,,,,,,,,,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,September 22-30,November 15-21,June 22-30,,
Ruddy Duck,single-season,summer,,January 1-7,January 1-7,January 1-7,,,,,,,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,August 8-14,October 15-21
Northern Bobwhite,vagrant,irregular,irregular,,August 1-7,,,,,,,,,,,June 8-14,August 1-7
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,single-season,winter,,,,,,,,,,,September 15-21,May 22-31,June 22-30,,
Sharp-tailed Grouse,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,January 8-14,November 22-30
Spruce Grouse,vagrant,irregular,irregular,,January 1-7,,,,,,,,,,,January 1-7,November 8-14
Ring-necked Pheasant,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,September 1-7,September 1-7
White-winged Dove,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,May 15-21,November 8-14
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,June 1-7,July 1-7,August 15-21,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 22-31,June 22-30,August 8-14,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 22-31,July 15-21,September 1-7,,,,,,,,,,,
Eastern Whip-poor-will,single-season,summer,,May 22-31,June 22-30,July 15-21,,,,,,,,,,,
Chimney Swift,single-season,summer,,May 15-21,June 15-21,August 22-31,,,,,,,,,,,
Mexican Violetear,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,July 1-7,July 1-7
Ruby-throated Hummingbird,single-season,summer,,May 15-21,August 1-7,September 8-14,,,,,,,,,,,
Anna's Hummingbird,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,November 15-21
Broad-billed Hummingbird,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,June 15-21,June 15-21
Berylline Hummingbird,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 22-30
Virginia Rail,single-season,summer,,May 15-21,May 15-21,August 1-7,,,,,,,,,,,
Sora,single-season,summer,,May 15-21,June 1-7,July 1-7,,,,,,,,,,,
Common Gallinule,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
American Coot,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,April 22-30,September 22-30,October 15-21,December 8-14,,,,,
Yellow Rail,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,June 8-14
Sandhill Crane,single-season,summer,,April 1-7,April 8-14,September 22-30,,,,,,,,,,,
American Avocet,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,June 22-30,October 22-31
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,June 1-7,August 15-21,September 15-21,October 8-14,,,,,
American Golden-Plover,single-season,summer,,August 22-31,September 22-30,October 22-31,,,,,,,,,,,
Killdeer,single-season,summer,,April 1-7,May 1-7,September 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 1-7,August 1-7,August 22-31,September 15-21,,,,,
Piping Plover,single-season,summer,,May 8-14,May 15-21,August 22-31,,,,,,,,,,,
Wilson's Plover,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 15-21
Upland Sandpiper,single-season,summer,,May 22-31,June 15-21,July 15-21,,,,,,,,,,,
Hudsonian Whimbrel,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 15-21,August 22-31,September 1-7,September 1-7,,,,,
Hudsonian Godwit,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,August 22-31
Marbled Godwit,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,May 22-31
Short-billed Dowitcher,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 8-14,September 8-14
Long-billed Dowitcher,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,June 22-30
American Woodcock,single-season,summer,,March 22-31,April 8-14,June 1-7,,,,,,,,,,,
Wilson's Snipe,single-season,summer,,April 8-14,May 1-7,October 15-21,,,,,,,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 8-14,August 15-21
Red Phalarope,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,October 8-14,October 8-14
Red-necked Phalarope,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 22-31,September 15-21
Spotted Sandpiper,single-season,summer,,May 1-7,May 15-21,September 15-21,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,May 1-7,May 8-14,May 15-21,July 15-21,August 15-21,September 22-30,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 22-31,July 22-31,August 15-21,August 22-31,,,,,
Willet,single-season,summer,,April 22-30,May 15-21,May 15-21,,,,,,,,,,,
Greater Yellowlegs,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 8-14,November 8-14
Ruddy Turnstone,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,October 22-31
Red Knot,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,May 15-21,September 8-14
Stilt Sandpiper,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,July 15-21,September 8-14
Buff-breasted Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,July 22-31,September 15-21
Sanderling,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 1-7,July 15-21,September 1-7,October 15-21,,,,,
Dunlin,two-passage-migrant,two-passage,,,,,May 8-14,May 22-31,June 1-7,October 8-14,October 15-21,October 22-31,,,,,
Purple Sandpiper,vagrant,irregular,irregular,,December 15-21,,,,,,,,,,,October 1-7,December 15-21
Baird's Sandpiper,single-season,summer,,August 1-7,August 22-31,September 1-7,,,,,,,,,,,
White-rumped Sandpiper,two-passage-migrant,two-passage,,,,,May 22-31,June 8-14,June 15-21,October 15-21,October 15-21,October 22-31,,,,,
Least Sandpiper,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,July 15-21,August 8-14,September 1-7,,,,,
Pectoral Sandpiper,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,May 8-14,July 15-21,August 22-31,October 22-31,,,,,
Semipalmated Sandpiper,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 8-14,August 1-7,August 22-31,September 1-7,,,,,
Parasitic Jaeger,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,September 22-30,September 22-30
Little Gull,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,October 1-7,October 1-7
Black-legged Kittiwake,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,October 22-31
Sabine's Gull,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,September 8-14,November 22-30
Bonaparte's Gull,single-season,summer,,July 22-31,October 8-14,November 15-21,,,,,,,,,,,
Laughing Gull,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,May 15-21,June 22-30
Franklin's Gull,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 1-7,December 1-7
Ring-billed Gull,single-season,summer,,March 22-31,September 1-7,November 8-14,,,,,,,,,,,
American Herring Gull,resident,year-round,year-round,,,,,,,,,,,,,,
Great Black-backed Gull,two-passage-migrant,two-passage,,,,,March 15-21,March 15-21,March 15-21,October 22-31,December 15-21,December 22-31,,,,,
Glaucous Gull,single-season,winter,,,,,,,,,,,December 1-7,December 22-31,March 1-7,,
Lesser Black-backed Gull,single-season,summer,,April 22-30,April 22-30,April 22-30,,,,,,,,,,,
Iceland Gull,two-passage-migrant,two-passage,,,,,April 1-7,April 1-7,April 1-7,October 22-31,October 22-31,October 22-31,,,,,
Caspian Tern,single-season,summer,,May 8-14,August 1-7,August 22-31,,,,,,,,,,,
Black Tern,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,May 22-31,August 22-31
Forster's Tern,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,August 8-14,October 15-21
Arctic Tern,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 15-21
Common Tern,single-season,summer,,September 8-14,September 8-14,October 1-7,,,,,,,,,,,
Pied-billed Grebe,single-season,summer,,April 1-7,April 22-30,November 1-7,,,,,,,,,,,
Horned Grebe,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,May 1-7,September 15-21,October 15-21,December 1-7,,,,,
Red-necked Grebe,single-season,winter,,,,,,,,,,,August 15-21,November 15-21,January 8-14,,
Eared Grebe,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 8-14
Western Grebe,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,December 8-14
Red-throated Loon,two-passage-migrant,two-passage,,,,,August 22-31,August 22-31,September 1-7,October 8-14,October 22-31,October 22-31,,,,,
Pacific Loon,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,October 8-14,December 1-7
Common Loon,single-season,summer,,April 15-21,October 22-31,December 15-21,,,,,,,,,,,
Yellow-billed Loon,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,January 8-14
Double-crested Cormorant,single-season,summer,,April 15-21,August 22-31,October 8-14,,,,,,,,,,,
White-faced Ibis,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 22-31
American Bittern,single-season,summer,,May 1-7,May 8-14,June 22-30,,,,,,,,,,,
Least Bittern,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,May 15-21,July 1-7
Black-crowned Night Heron,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,May 8-14,November 1-7
Snowy Egret,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
Green Heron,single-season,summer,,May 8-14,June 8-14,September 1-7,,,,,,,,,,,
Western Cattle-Egret,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,May 1-7,October 22-31
Great Egret,single-season,summer,,August 1-7,August 22-31,August 22-31,,,,,,,,,,,
Great Blue Heron,single-season,summer,,April 1-7,August 1-7,October 15-21,,,,,,,,,,,
American White Pelican,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 1-7,August 1-7,August 22-31,August 22-31,,,,,
Black Vulture,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,September 8-14,September 8-14
Turkey Vulture,single-season,summer,,April 1-7,April 22-30,October 8-14,,,,,,,,,,,
Osprey,single-season,summer,,April 22-30,August 22-31,September 8-14,,,,,,,,,,,
Swallow-tailed Kite,vagrant,irregular,irregular,,July 22-31,,,,,,,,,,,July 22-31,July 22-31
Golden Eagle,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 22-31,November 15-21
Sharp-shinned Hawk,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,June 1-7,July 15-21,September 15-21,October 8-14,,,,,
Cooper's Hawk,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,May 22-31,July 15-21,September 15-21,September 15-21,,,,,
American Goshawk,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,January 1-7,December 15-21
Northern Harrier,single-season,summer,,March 22-31,August 22-31,November 8-14,,,,,,,,,,,
Bald Eagle,resident,year-round,year-round,,,,,,,,,,,,,,
Mississippi Kite,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,,
Broad-winged Hawk,single-season,summer,,April 22-30,June 1-7,September 15-21,,,,,,,,,,,
Red-shouldered Hawk,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,April 15-21,July 8-14,July 8-14,July 8-14,,,,,
Red-tailed Hawk,resident,year-round,year-round,,,,,,,,,,,,,,
Rough-legged Hawk,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,April 22-30,October 8-14,October 22-31,December 1-7,,,,,
Snowy Owl,single-season,winter,,,,,,,,,,,November 22-30,November 22-30,January 1-7,,
Great Horned Owl,single-season,winter,,,,,,,,,,,February 15-21,March 1-7,March 15-21,,
Northern Hawk Owl,vagrant,irregular,irregular,,January 1-7,,,,,,,,,,,January 1-7,December 1-7
Barred Owl,single-season,summer,,December 15-21,February 22-28,October 15-21,,,,,,,,,,,
Great Gray Owl,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,August 22-31,October 1-7
Long-eared Owl,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,April 15-21,October 22-31
Short-eared Owl,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,May 1-7,November 15-21
Northern Saw-whet Owl,two-passage-migrant,two-passage,,,,,March 15-21,March 15-21,May 8-14,January 1-7,January 15-21,January 15-21,,,,,
Belted Kingfisher,single-season,summer,,April 1-7,May 1-7,October 1-7,,,,,,,,,,,
Yellow-bellied Sapsucker,single-season,summer,,April 8-14,April 22-30,September 22-30,,,,,,,,,,,
Red-headed Woodpecker,single-season,summer,,June 15-21,June 15-21,June 15-21,,,,,,,,,,,
Red-bellied Woodpecker,single-season,winter,,,,,,,,,,,October 8-14,February 15-21,May 22-31,,
American Three-toed Woodpecker,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,February 1-7,December 22-31
Black-backed Woodpecker,single-season,winter,,,,,,,,,,,December 22-31,February 8-14,February 8-14,,
Downy Woodpecker,single-season,winter,,,,,,,,,,,July 1-7,February 15-21,May 15-21,,
Hairy Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Pileated Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Northern Flicker,single-season,summer,,April 8-14,April 22-30,October 1-7,,,,,,,,,,,
Crested Caracara,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,July 1-7,November 8-14
American Kestrel,single-season,summer,,April 8-14,May 1-7,September 22-30,,,,,,,,,,,
Merlin,single-season,summer,,April 1-7,May 8-14,October 22-31,,,,,,,,,,,
Gyrfalcon,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,May 1-7
Peregrine Falcon,single-season,summer,,April 8-14,August 8-14,October 22-31,,,,,,,,,,,
Olive-sided Flycatcher,single-season,summer,,May 22-31,June 1-7,August 15-21,,,,,,,,,,,
Eastern Wood-Pewee,single-season,summer,,May 22-31,June 8-14,September 8-14,,,,,,,,,,,
Yellow-bellied Flycatcher,single-season,summer,,May 22-31,June 8-14,June 22-30,,,,,,,,,,,
Alder Flycatcher,single-season,summer,,May 22-31,June 1-7,August 1-7,,,,,,,,,,,
Willow Flycatcher,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,June 22-30
Least Flycatcher,single-season,summer,,May 8-14,May 22-31,August 15-21,,,,,,,,,,,
Eastern Phoebe,single-season,summer,,April 1-7,May 1-7,September 22-30,,,,,,,,,,,
Vermilion Flycatcher,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,October 22-31,November 15-21
Great Crested Flycatcher,single-season,summer,,May 15-21,June 1-7,July 8-14,,,,,,,,,,,
Tropical Kingbird,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,November 1-7
Western Kingbird,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,May 22-31,September 15-21
Eastern Kingbird,single-season,summer,,May 15-21,June 8-14,August 15-21,,,,,,,,,,,
Scissor-tailed Flycatcher,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 1-7,July 15-21
Fork-tailed Flycatcher,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,October 1-7,October 1-7
Yellow-throated Vireo,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,May 8-14,September 1-7
Blue-headed Vireo,single-season,summer,,May 1-7,May 15-21,September 22-30,,,,,,,,,,,
Philadelphia Vireo,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,May 22-31,August 15-21,September 1-7,September 8-14,,,,,
Eastern Warbling Vireo,single-season,summer,,May 8-14,May 22-31,August 15-21,,,,,,,,,,,
Red-eyed Vireo,single-season,summer,,May 15-21,June 8-14,September 8-14,,,,,,,,,,,
Loggerhead Shrike,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,May 1-7,June 8-14
Northern Shrike,single-season,winter,,,,,,,,,,,October 8-14,January 1-7,March 22-31,,
Canada Jay,vagrant,irregular,irregular,,February 15-21,,,,,,,,,,,January 1-7,December 22-31
Blue Jay,resident,year-round,year-round,,,,,,,,,,,,,,
American Crow,resident,year-round,year-round,,,,,,,,,,,,,,
Common Raven,resident,year-round,year-round,,,,,,,,,,,,,,
Black-capped Chickadee,resident,year-round,year-round,,,,,,,,,,,,,,
Boreal Chickadee,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,February 22-28,December 22-31
Horned Lark,single-season,summer,,September 15-21,October 22-31,November 1-7,,,,,,,,,,,
Bank Swallow,single-season,summer,,May 15-21,June 22-30,August 8-14,,,,,,,,,,,
Tree Swallow,single-season,summer,,April 15-21,June 1-7,July 22-31,,,,,,,,,,,
Purple Martin,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,June 8-14,August 22-31
Northern Rough-winged Swallow,single-season,summer,,May 8-14,July 1-7,July 22-31,,,,,,,,,,,
Barn Swallow,single-season,summer,,April 22-30,June 1-7,August 22-31,,,,,,,,,,,
Cliff Swallow,single-season,summer,,May 15-21,July 8-14,August 22-31,,,,,,,,,,,
Ruby-crowned Kinglet,two-passage-migrant,two-passage,,,,,April 8-14,May 1-7,June 8-14,September 8-14,September 22-30,October 22-31,,,,,
Golden-crowned Kinglet,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,January 1-7,December 22-31
White-breasted Nuthatch,single-season,winter,,,,,,,,,,,July 1-7,February 15-21,May 8-14,,
Red-breasted Nuthatch,resident,year-round,year-round,,,,,,,,,,,,,,
Brown Creeper,resident,year-round,year-round,,,,,,,,,,,,,,
Blue-gray Gnatcatcher,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 1-7,November 22-30
Rock Wren,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 15-21
Northern House Wren,single-season,summer,,May 8-14,June 8-14,September 22-30,,,,,,,,,,,
Winter Wren,two-passage-migrant,two-passage,,,,,April 8-14,June 15-21,August 8-14,September 22-30,September 22-30,October 22-31,,,,,
Sedge Wren,single-season,summer,,June 1-7,June 8-14,August 1-7,,,,,,,,,,,
