species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Snow Goose,single-season,winter,0.026721,0.0,0.0,30,1,12-35,summer,Yes,overwintering
Ross's Goose,two-passage-migrant,two-passage,0.024974,0.0,0.0,24,2,1-4;12-41,winter|summer,Yes,classic_bimodal
Graylag Goose,vagrant,irregular,0.00137,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Swan Goose,vagrant,irregular,0.001618,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,two-passage-migrant,two-passage,0.032888,0.0,0.0,24,2,12-37;40-46,summer|winter,No,classic_bimodal
Barnacle Goose,vagrant,irregular,0.111111,0.0,0.0,3,1,9-6,summer,No,low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.02682,0.0,0.0,31,2,1-6;14-36,winter|summer,Yes,classic_bimodal
Canada Goose,resident,year-round,0.571671,0.096364,0.1686,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.234097,0.035961,0.1536,48,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,single-season,winter,0.056828,0.001862,0.0328,48,1,20-24,summer,No,overwintering
Tundra Swan,single-season,winter,0.042146,0.0,0.0,25,1,12-37,summer,Yes,overwintering
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.220536,0.0,0.0,47,1,40-7,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.196663,0.0,0.0,33,2,18-29;34-9,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.143646,0.0,0.0,38,2,18-37;44-7,summer|winter,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.083563,0.0,0.0,41,2,3-6;16-35,winter|summer,No,classic_bimodal
Eurasian Wigeon,vagrant,irregular,0.01174,0.0,0.0,4,1,12-9,summer,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.108425,0.0,0.0,36,2,0-7;16-36,winter|summer,No,classic_bimodal
Mallard,resident,year-round,0.405387,0.125427,0.3094,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.045802,0.0,0.0,44,1,15-31,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.072514,0.0,0.0,35,2,0-4;15-37,winter|summer,Yes,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.131216,0.0,0.0,47,2,16-29;43-6,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.03538,0.0,0.0,28,2,0-3;14-38,winter|summer,Yes,classic_bimodal
Redhead,single-season,winter,0.063584,0.0,0.0,34,1,18-35,summer,Yes,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.101977,0.0,0.0,31,2,17-38;44-6,summer|winter,Yes,classic_bimodal
Tufted Duck,vagrant,irregular,0.087604,0.0,0.0,3,1,16-14,winter,No,low_annual_presence
Greater Scaup,single-season,winter,0.066612,0.0,0.0,34,1,16-37,summer,Yes,overwintering
Lesser Scaup,two-passage-migrant,two-passage,0.107867,0.0,0.0,35,2,2-6;18-36,winter|summer,Yes,classic_bimodal
Harlequin Duck,two-passage-migrant,two-passage,0.037415,0.0,0.0,20,2,9-39;41-46,summer|winter,Yes,classic_bimodal
Surf Scoter,two-passage-migrant,two-passage,0.041908,0.0,0.0,29,2,4-9;12-35,winter|summer,Yes,classic_bimodal
White-winged Scoter,single-season,winter,0.06536,0.0,0.0,30,1,15-37,summer,Yes,overwintering
Black Scoter,single-season,winter,0.071895,0.0,0.0,29,1,3-37,summer,Yes,overwintering
Long-tailed Duck,single-season,winter,0.053454,0.0,0.0,31,1,15-37,summer,Yes,overwintering
Bufflehead,single-season,winter,0.219158,0.0,0.0,35,1,17-38,summer,No,overwintering
Common Goldeneye,single-season,winter,0.287469,0.0,0.0,32,1,12-39,summer,Yes,overwintering
Barrow's Goldeneye,single-season,winter,0.06705,0.0,0.0,10,1,1-43,summer,Yes,overwintering|low_presence
Smew,vagrant,irregular,0.084767,0.0,0.0,5,1,3-47,summer,No,low_annual_presence
Hooded Merganser,single-season,winter,0.058524,0.0,0.0,46,2,18-29;31-36,summer|summer,No,overwintering|two_summer_valleys_merged
Common Merganser,single-season,winter,0.20516,0.0,0.0,37,1,12-43,summer,No,overwintering
Red-breasted Merganser,single-season,winter,0.210728,0.0,0.0,41,1,16-37,summer,No,overwintering
Ruddy Duck,two-passage-migrant,two-passage,0.107867,0.0,0.0,39,2,18-37;44-12,summer|winter,No,classic_bimodal
Helmeted Guineafowl,vagrant,irregular,0.001704,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.001862,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,resident,year-round,0.132645,0.015326,0.1155,48,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,single-season,summer,0.007149,0.0,0.0,32,1,19-13,winter,No,
Ring-necked Pheasant,single-season,winter,0.050233,0.001054,0.021,48,1,28-33,summer,No,overwintering
Chukar,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.098808,0.017204,0.1741,48,0,,,No,seasonal_variation|min_max_near_boundary
Band-tailed Pigeon,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eurasian Collared-Dove,single-season,summer,0.012472,0.0,0.0,25,1,8-6,winter,No,
African Collared-Dove,vagrant,irregular,0.00137,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Mourning Dove,resident,year-round,0.477477,0.163636,0.3427,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.114818,0.0,0.0,20,1,29-17,winter,No,
Black-billed Cuckoo,single-season,summer,0.042891,0.0,0.0,16,1,26-16,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.023396,0.0,0.0,20,2,21-30;34-16,summer|winter,No,classic_bimodal
Eastern Whip-poor-will,single-season,summer,0.033366,0.0,0.0,19,1,29-15,winter,No,
Chimney Swift,single-season,summer,0.111199,0.0,0.0,25,1,37-14,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.223183,0.0,0.0,24,1,36-15,winter,No,
Virginia Rail,vagrant,irregular,0.017282,0.0,0.0,38,3,1-4;6-9;22-43,winter|winter|summer,No,three_valleys_irregular
Sora,single-season,summer,0.049075,0.0,0.0,24,1,22-13,winter,No,
Common Gallinule,single-season,summer,0.021164,0.0,0.0,27,1,34-15,winter,No,
American Coot,single-season,winter,0.039216,0.0,0.0,45,1,18-32,summer,No,overwintering
Yellow Rail,vagrant,irregular,0.001592,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,single-season,summer,0.382528,0.014742,0.0385,48,1,44-5,winter,No,
Whooping Crane,vagrant,irregular,0.0023,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-necked Stilt,vagrant,irregular,0.004025,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Avocet,single-season,summer,0.018018,0.0,0.0,14,1,31-22,winter,No,low_presence
Black-bellied Plover,two-passage-migrant,two-passage,0.028961,0.0,0.0,21,2,20-28;42-16,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.040816,0.0,0.0,20,1,41-30,winter,No,
Killdeer,single-season,summer,0.344433,0.0,0.0,43,1,42-6,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.073254,0.0,0.0,24,2,20-26;40-16,summer|winter,No,classic_bimodal
Piping Plover,single-season,summer,0.026646,0.0,0.0,11,1,31-25,winter,No,low_presence
Upland Sandpiper,single-season,summer,0.034545,0.0,0.0,19,1,31-13,winter,No,
Hudsonian Whimbrel,vagrant,irregular,0.011065,0.0,0.0,6,1,25-23,winter,No,low_annual_presence
Hudsonian Godwit,vagrant,irregular,0.002107,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Marbled Godwit,vagrant,irregular,0.034074,0.0,0.0,5,2,24-31;33-22,summer|winter,No,low_annual_presence
Short-billed Dowitcher,two-passage-migrant,two-passage,0.037331,0.0,0.0,12,2,19-24;32-16,summer|winter,No,classic_bimodal|low_presence
Long-billed Dowitcher,vagrant,irregular,0.01039,0.0,0.0,7,2,16-38;40-14,summer|winter,No,
American Woodcock,vagrant,irregular,0.038502,0.0,0.0,34,3,20-23;25-39;41-8,summer|summer|winter,No,three_valleys_irregular
Wilson's Snipe,two-passage-migrant,two-passage,0.108036,0.0,0.0,40,2,17-29;42-9,summer|winter,No,classic_bimodal
Wilson's Phalarope,vagrant,irregular,0.015091,0.0,0.0,9,1,19-15,winter,No,
Red-necked Phalarope,vagrant,irregular,0.002963,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spotted Sandpiper,single-season,summer,0.233542,0.0,0.0,28,1,34-14,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.106145,0.0,0.0,22,2,19-24;35-14,summer|winter,No,classic_bimodal
