species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,September 1-7,September 1-7
Snow Goose,single-season,winter,,,,,,,,,,,October 1-7,March 8-14,March 22-31,,
Ross's Goose,two-passage-migrant,two-passage,,,,,February 8-14,March 15-21,March 22-31,November 15-21,November 22-30,January 1-7,,,,,
Graylag Goose,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 8-14,January 22-31
Swan Goose,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,February 1-7,February 1-7
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,December 22-31,March 8-14,March 22-31,October 15-21,October 15-21,October 22-31,,,,,
Barnacle Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,March 8-14
Cackling Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 1-7,April 8-14,October 8-14,December 1-7,January 1-7,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,July 8-14,March 1-7,May 22-31,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 15-21,December 1-7,March 22-31,,
Muscovy Duck,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,April 8-14,July 22-31
Wood Duck,single-season,summer,,March 1-7,April 15-21,October 22-31,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 22-30,May 8-14,August 15-21,September 1-7,September 8-14,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,May 8-14,October 15-21,November 22-30,November 22-30,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,October 1-7,November 22-30,January 15-21,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 15-21,April 15-21
American Wigeon,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,October 8-14,October 15-21,December 1-7,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 1-7,March 1-7,April 15-21,,
Northern Pintail,two-passage-migrant,two-passage,,,,,February 8-14,March 22-31,April 15-21,October 15-21,October 15-21,December 22-31,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,August 15-21,October 15-21,November 15-21,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,February 1-7,March 15-21,April 8-14,October 22-31,November 8-14,December 1-7,,,,,
Redhead,single-season,winter,,,,,,,,,,,October 1-7,November 1-7,May 8-14,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,February 22-28,March 15-21,May 1-7,October 22-31,November 8-14,November 22-30,,,,,
Tufted Duck,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,May 8-14
Greater Scaup,single-season,winter,,,,,,,,,,,October 15-21,December 22-31,April 22-30,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 22-28,April 22-30,May 8-14,October 8-14,November 1-7,January 8-14,,,,,
Harlequin Duck,two-passage-migrant,two-passage,,,,,December 22-31,February 22-28,March 1-7,November 1-7,November 1-7,November 1-7,,,,,
Surf Scoter,two-passage-migrant,two-passage,,,,,March 15-21,March 15-21,March 22-31,October 1-7,November 1-7,December 1-7,,,,,
White-winged Scoter,single-season,winter,,,,,,,,,,,October 15-21,November 8-14,April 15-21,,
Black Scoter,single-season,winter,,,,,,,,,,,October 15-21,November 8-14,January 15-21,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,October 15-21,December 22-31,April 15-21,,
Bufflehead,single-season,winter,,,,,,,,,,,October 22-31,November 22-30,May 1-7,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 1-7,January 8-14,March 22-31,,
Barrow's Goldeneye,single-season,winter,,,,,,,,,,,December 1-7,December 1-7,January 1-7,,
Smew,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 1-7,February 1-7
Hooded Merganser,single-season,winter,,,,,,,,,,,October 8-14,March 1-7,May 8-14,,
Common Merganser,single-season,winter,,,,,,,,,,,December 1-7,January 8-14,March 22-31,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,October 15-21,December 1-7,April 22-30,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,October 15-21,November 15-21,November 22-30,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 15-21,August 15-21
Northern Bobwhite,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,February 22-28,September 1-7
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,single-season,summer,,April 15-21,May 15-21,May 15-21,,,,,,,,,,,
Ring-necked Pheasant,single-season,winter,,,,,,,,,,,September 15-21,April 8-14,July 22-31,,
Chukar,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,September 15-21
