species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.010028,0.0,0.0,4,1,16-14,winter,No,low_annual_presence
Snow Goose,single-season,winter,0.01626,0.0,0.0,27,1,12-37,summer,Yes,overwintering
Ross's Goose,two-passage-migrant,two-passage,0.017746,0.0,0.0,15,2,2-7;10-41,winter|summer,No,classic_bimodal
Graylag Goose,vagrant,irregular,0.008873,0.0,0.0,17,2,2-37;43-47,summer|winter,Yes,classic_bimodal|low_annual_presence
Swan Goose,vagrant,irregular,0.0015,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,single-season,winter,0.032967,0.0,0.0,29,1,15-37,summer,No,overwintering
Brant,vagrant,irregular,0.002114,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Barnacle Goose,vagrant,irregular,0.00275,0.0,0.0,15,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.015972,0.0,0.0,23,2,9-41;44-47,summer|winter,No,classic_bimodal
Canada Goose,resident,year-round,0.536726,0.116239,0.2166,48,0,,,No,seasonal_variation
Mute Swan,resident,year-round,0.1046,0.017094,0.1634,48,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,single-season,winter,0.016773,0.0,0.0,40,1,16-41,summer,No,overwintering
Tundra Swan,single-season,winter,0.034884,0.0,0.0,24,1,13-39,summer,Yes,overwintering
Ruddy Shelduck,vagrant,irregular,0.000578,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.246631,0.001474,0.006,48,1,41-7,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.223881,0.0,0.0,34,2,19-28;39-9,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.130902,0.0,0.0,42,2,0-6;18-31,winter|summer,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.083071,0.0,0.0,43,2,2-5;16-34,winter|summer,No,classic_bimodal
Eurasian Wigeon,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.081814,0.0,0.0,37,2,16-32;42-7,summer|winter,Yes,classic_bimodal
Mallard,resident,year-round,0.374205,0.164957,0.4408,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.039958,0.0,0.0,46,1,14-31,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.04837,0.0,0.0,36,2,1-5;12-31,winter|summer,Yes,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.091164,0.0,0.0,43,2,16-29;44-6,summer|winter,No,classic_bimodal
Canvasback,single-season,winter,0.042799,0.0,0.0,32,1,14-37,summer,Yes,overwintering
Redhead,single-season,winter,0.12782,0.0,0.0,43,1,14-36,summer,No,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.169502,0.0,0.0,38,2,16-37;42-6,summer|winter,Yes,classic_bimodal
Greater Scaup,single-season,winter,0.094003,0.0,0.0,36,1,15-38,summer,Yes,overwintering
Lesser Scaup,single-season,winter,0.149798,0.0,0.0,40,1,18-36,summer,Yes,overwintering
King Eider,vagrant,irregular,0.04376,0.0,0.0,5,1,8-5,summer,No,low_annual_presence
Harlequin Duck,two-passage-migrant,two-passage,0.038217,0.0,0.0,21,2,2-5;8-40,winter|summer,Yes,classic_bimodal
Surf Scoter,single-season,winter,0.083468,0.0,0.0,32,1,12-35,summer,Yes,overwintering
White-winged Scoter,single-season,winter,0.168557,0.0,0.0,34,1,14-37,summer,Yes,overwintering
Black Scoter,single-season,winter,0.042061,0.0,0.0,27,1,11-37,summer,Yes,overwintering
Long-tailed Duck,single-season,winter,0.088331,0.0,0.0,29,1,14-39,summer,Yes,overwintering
Bufflehead,single-season,winter,0.221515,0.0,0.0,32,1,17-37,summer,Yes,overwintering
Common Goldeneye,single-season,winter,0.236629,0.0,0.0,28,1,12-40,summer,Yes,overwintering
Barrow's Goldeneye,vagrant,irregular,0.014002,0.0,0.0,3,1,6-4,winter,No,low_annual_presence
Hooded Merganser,vagrant,irregular,0.072115,0.00086,0.0119,48,3,16-19;23-28;30-38,summer|summer|summer,No,three_valleys_irregular
Common Merganser,single-season,winter,0.085458,0.0,0.0,41,1,13-39,summer,Yes,overwintering
Red-breasted Merganser,single-season,winter,0.247675,0.0,0.0,40,1,16-37,summer,Yes,overwintering
Ruddy Duck,single-season,winter,0.072555,0.0,0.0,45,1,20-34,summer,No,overwintering
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency
Wild Turkey,resident,year-round,0.079237,0.014587,0.1841,48,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,vagrant,irregular,0.001637,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ring-necked Pheasant,single-season,summer,0.008461,0.0,0.0,40,1,17-13,winter,No,
Indian Peafowl,vagrant,irregular,0.0015,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.077253,0.018894,0.2446,48,0,,,No,seasonal_variation
Band-tailed Pigeon,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eurasian Collared-Dove,vagrant,irregular,0.020202,0.0,0.0,46,4,2-7;28-35;37-40;42-47,winter|summer|mixed|winter,No,many_valleys
Mourning Dove,resident,year-round,0.472195,0.129337,0.2739,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.075812,0.0,0.0,24,1,35-16,winter,No,
Black-billed Cuckoo,single-season,summer,0.019813,0.0,0.0,18,1,26-16,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.046729,0.0,0.0,21,2,21-30;35-16,summer|winter,No,classic_bimodal
Chuck-will's-widow,vagrant,irregular,0.0015,0.0,0.0,10,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Eastern Whip-poor-will,single-season,summer,0.01271,0.0,0.0,16,1,19-15,winter,No,
Chimney Swift,single-season,summer,0.180473,0.0,0.0,26,1,37-14,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.303391,0.0,0.0,30,1,37-15,winter,No,
Rufous Hummingbird,vagrant,irregular,0.0015,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Virginia Rail,single-season,summer,0.026637,0.0,0.0,21,1,19-12,winter,No,
Sora,single-season,summer,0.087399,0.0,0.0,25,1,20-12,winter,No,
Common Gallinule,single-season,summer,0.01083,0.0,0.0,24,1,23-15,winter,No,
American Coot,single-season,winter,0.087277,0.0,0.0,47,1,19-34,summer,No,overwintering
Purple Gallinule,vagrant,irregular,0.034909,0.0,0.0,1,1,40-38,winter,No,low_annual_presence
Yellow Rail,vagrant,irregular,0.003891,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black Rail,vagrant,irregular,0.00188,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,single-season,summer,0.185656,0.002022,0.0109,48,1,40-5,winter,No,
Whooping Crane,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-necked Stilt,vagrant,irregular,0.014925,0.0,0.0,5,1,18-13,winter,No,
American Avocet,single-season,summer,0.04775,0.0,0.0,22,1,37-22,winter,No,
Black-bellied Plover,two-passage-migrant,two-passage,0.05503,0.0,0.0,23,2,24-27;41-22,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.037833,0.0,0.0,22,1,36-28,winter,No,
Killdeer,single-season,summer,0.29786,0.000913,0.0031,48,1,42-6,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.133379,0.0,0.0,24,2,20-26;36-16,summer|winter,No,classic_bimodal
Piping Plover,two-passage-migrant,two-passage,0.028873,0.0,0.0,20,2,15-24;31-13,summer|winter,No,classic_bimodal
Snowy Plover,vagrant,irregular,0.010028,0.0,0.0,1,1,16-14,winter,No,low_annual_presence
Upland Sandpiper,vagrant,irregular,0.0015,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Hudsonian Whimbrel,two-passage-migrant,two-passage,0.020422,0.0,0.0,18,2,21-25;33-19,summer|winter,No,classic_bimodal
Long-billed Curlew,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Hudsonian Godwit,vagrant,irregular,0.004701,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency
Marbled Godwit,single-season,summer,0.037649,0.0,0.0,11,1,31-22,winter,No,low_presence
Short-billed Dowitcher,two-passage-migrant,two-passage,0.019014,0.0,0.0,17,2,20-23;34-16,summer|winter,No,classic_bimodal
Long-billed Dowitcher,vagrant,irregular,0.014925,0.0,0.0,6,1,17-13,winter,No,
American Woodcock,single-season,summer,0.03528,0.0,0.0,38,1,20-6,winter,No,
Wilson's Snipe,two-passage-migrant,two-passage,0.065961,0.0,0.0,40,2,17-29;42-9,summer|winter,No,classic_bimodal
Wilson's Phalarope,single-season,summer,0.014415,0.0,0.0,12,1,17-14,winter,No,low_presence
Red Phalarope,vagrant,irregular,0.014799,0.0,0.0,5,2,36-40;42-34,mixed|winter,No,low_annual_presence
Red-necked Phalarope,two-passage-migrant,two-passage,0.008727,0.0,0.0,13,2,20-38;40-18,summer|winter,No,classic_bimodal|low_presence
Spotted Sandpiper,single-season,summer,0.158852,0.0,0.0,29,1,33-13,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.103861,0.0,0.0,23,2,19-24;35-13,summer|winter,No,classic_bimodal
Lesser Yellowlegs,two-passage-migrant,two-passage,0.113131,0.0,0.0,33,2,19-24;34-12,summer|winter,No,classic_bimodal
Willet,single-season,summer,0.10101,0.0,0.0,19,1,31-22,winter,No,
Greater Yellowlegs,vagrant,irregular,0.105923,0.0,0.0,30,3,18-26;32-37;41-11,summer|summer|winter,No,three_valleys_irregular
Ruddy Turnstone,two-passage-migrant,two-passage,0.052133,0.0,0.0,21,2,20-26;34-17,summer|winter,No,classic_bimodal
Red Knot,single-season,summer,0.025564,0.0,0.0,11,1,36-27,winter,No,low_presence
Ruff,vagrant,irregular,0.02311,0.0,0.0,2,1,16-13,winter,No,low_annual_presence
Stilt Sandpiper,two-passage-migrant,two-passage,0.020833,0.0,0.0,12,2,19-26;33-17,summer|winter,No,classic_bimodal|low_presence
Buff-breasted Sandpiper,vagrant,irregular,0.015873,0.0,0.0,6,1,33-29,winter,No,
Sanderling,single-season,summer,0.231579,0.0,0.0,31,1,40-25,winter,No,
Dunlin,two-passage-migrant,two-passage,0.063091,0.0,0.0,28,2,0-13;20-35,winter|summer,No,classic_bimodal
Purple Sandpiper,single-season,winter,0.029987,0.0,0.0,12,1,4-42,summer,Yes,overwintering|low_presence
Baird's Sandpiper,single-season,summer,0.063492,0.0,0.0,19,1,36-28,winter,No,
White-rumped Sandpiper,single-season,summer,0.014206,0.0,0.0,15,1,21-17,winter,No,
Least Sandpiper,two-passage-migrant,two-passage,0.152778,0.0,0.0,25,2,20-24;34-15,summer|winter,No,classic_bimodal
Pectoral Sandpiper,two-passage-migrant,two-passage,0.063072,0.0,0.0,28,2,19-26;39-10,summer|winter,No,classic_bimodal
Western Sandpiper,vagrant,irregular,0.002784,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Semipalmated Sandpiper,two-passage-migrant,two-passage,0.179563,0.0,0.0,22,2,21-25;33-17,summer|winter,No,classic_bimodal
Long-tailed Jaeger,vagrant,irregular,0.001833,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Parasitic Jaeger,single-season,summer,0.013534,0.0,0.0,13,1,43-31,winter,No,low_presence
Pomarine Jaeger,vagrant,irregular,0.002088,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ancient Murrelet,vagrant,irregular,0.019231,0.0,0.0,3,1,44-41,summer,No,low_annual_presence
Little Gull,vagrant,irregular,0.020433,0.0,0.0,20,3,11-29;31-38;44-7,summer|summer|winter,No,three_valleys_irregular
Black-legged Kittiwake,single-season,winter,0.020287,0.0,0.0,12,1,0-41,summer,No,overwintering|low_presence
Sabine's Gull,vagrant,irregular,0.008599,0.0,0.0,8,1,35-33,winter,No,low_annual_presence
Bonaparte's Gull,two-passage-migrant,two-passage,0.171399,0.0,0.0,46,2,0-11;16-25,winter|summer,No,classic_bimodal
Black-headed Gull,vagrant,irregular,0.002114,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Laughing Gull,single-season,summer,0.027885,0.0,0.0,19,1,25-22,winter,No,
Franklin's Gull,single-season,summer,0.028541,0.0,0.0,24,1,42-35,winter,No,
Ring-billed Gull,resident,year-round,0.431107,0.12675,0.294,48,0,,,No,seasonal_variation
American Herring Gull,resident,year-round,0.355875,0.059092,0.166,48,0,,,No,seasonal_variation|min_max_near_boundary
Great Black-backed Gull,single-season,winter,0.067625,0.0,0.0,47,1,12-31,summer,No,overwintering
Glaucous Gull,single-season,winter,0.024204,0.0,0.0,27,1,12-41,summer,Yes,overwintering
