species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 15-21,May 15-21
Snow Goose,single-season,winter,,,,,,,,,,,October 15-21,March 1-7,March 22-31,,
Ross's Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 8-14,November 15-21,January 8-14,January 8-14,,,,,
Graylag Goose,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 1-7,December 22-31
Swan Goose,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,November 15-21
Greater White-fronted Goose,single-season,winter,,,,,,,,,,,October 15-21,March 8-14,April 15-21,,
Brant,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,October 8-14,December 15-21
Barnacle Goose,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,March 15-21,December 15-21
Cackling Goose,two-passage-migrant,two-passage,,,,,January 8-14,January 8-14,January 8-14,November 15-21,November 22-30,November 22-30,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,November 15-21,March 8-14,April 22-30,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 1-7,November 8-14,April 1-7,,
Ruddy Shelduck,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,,
Muscovy Duck,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,December 15-21
Wood Duck,single-season,summer,,March 1-7,April 22-30,November 1-7,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 15-21,August 8-14,September 1-7,October 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,May 8-14,September 1-7,November 1-7,December 8-14,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,February 15-21,March 8-14,April 22-30,September 22-30,November 1-7,January 8-14,,,,,
