Species,Month,Week,Week_Label,Frequency,Sample_Size
Black-bellied Whistling-Duck,1,1,Jan_W1,0.0,175.0
Black-bellied Whistling-Duck,1,2,Jan_W2,0.0,117.0
Black-bellied Whistling-Duck,1,3,Jan_W3,0.0,150.0
Black-bellied Whistling-Duck,1,4,Jan_W4,0.0,159.0
Black-bellied Whistling-Duck,2,1,Feb_W1,0.0,130.0
Black-bellied Whistling-Duck,2,2,Feb_W2,0.0,208.0
Black-bellied Whistling-Duck,2,3,Feb_W3,0.0,239.0
Black-bellied Whistling-Duck,2,4,Feb_W4,0.0,101.0
Black-bellied Whistling-Duck,3,1,Mar_W1,0.0,131.0
Black-bellied Whistling-Duck,3,2,Mar_W2,0.0,144.0
Black-bellied Whistling-Duck,3,3,Mar_W3,0.0,157.0
Black-bellied Whistling-Duck,3,4,Mar_W4,0.0,318.0
Black-bellied Whistling-Duck,4,1,Apr_W1,0.0,230.0
Black-bellied Whistling-Duck,4,2,Apr_W2,0.0,302.0
Black-bellied Whistling-Duck,4,3,Apr_W3,0.0,304.0
Black-bellied Whistling-Duck,4,4,Apr_W4,0.0,498.0
Black-bellied Whistling-Duck,5,1,May_W1,0.0,466.0
Black-bellied Whistling-Duck,5,2,May_W2,0.0,484.0
Black-bellied Whistling-Duck,5,3,May_W3,0.0,499.0
Black-bellied Whistling-Duck,5,4,May_W4,0.0,713.0
Black-bellied Whistling-Duck,6,1,Jun_W1,0.0,384.0
Black-bellied Whistling-Duck,6,2,Jun_W2,0.0,300.0
Black-bellied Whistling-Duck,6,3,Jun_W3,0.0,308.0
Black-bellied Whistling-Duck,6,4,Jun_W4,0.0,313.0
Black-bellied Whistling-Duck,7,1,Jul_W1,0.0,284.0
Black-bellied Whistling-Duck,7,2,Jul_W2,0.0015,251.0
Black-bellied Whistling-Duck,7,3,Jul_W3,0.0,269.0
Black-bellied Whistling-Duck,7,4,Jul_W4,0.0015,355.0
Black-bellied Whistling-Duck,8,1,Aug_W1,0.0,197.0
Black-bellied Whistling-Duck,8,2,Aug_W2,0.0,230.0
Black-bellied Whistling-Duck,8,3,Aug_W3,0.0,173.0
Black-bellied Whistling-Duck,8,4,Aug_W4,0.0,253.0
Black-bellied Whistling-Duck,9,1,Sep_W1,0.0,169.0
Black-bellied Whistling-Duck,9,2,Sep_W2,0.0,280.0
Black-bellied Whistling-Duck,9,3,Sep_W3,0.0,192.0
Black-bellied Whistling-Duck,9,4,Sep_W4,0.0,237.0
Black-bellied Whistling-Duck,10,1,Oct_W1,0.0,118.0
Black-bellied Whistling-Duck,10,2,Oct_W2,0.0,112.0
Black-bellied Whistling-Duck,10,3,Oct_W3,0.0,108.0
Black-bellied Whistling-Duck,10,4,Oct_W4,0.0,139.0
Black-bellied Whistling-Duck,11,1,Nov_W1,0.0,94.0
Black-bellied Whistling-Duck,11,2,Nov_W2,0.0,78.0
Black-bellied Whistling-Duck,11,3,Nov_W3,0.0,68.0
Black-bellied Whistling-Duck,11,4,Nov_W4,0.0,90.0
Black-bellied Whistling-Duck,12,1,Dec_W1,0.0,94.0
Black-bellied Whistling-Duck,12,2,Dec_W2,0.0,95.0
Black-bellied Whistling-Duck,12,3,Dec_W3,0.0,102.0
Black-bellied Whistling-Duck,12,4,Dec_W4,0.0,147.0
Snow Goose,1,1,Jan_W1,0.0,175.0
Snow Goose,1,2,Jan_W2,0.0,117.0
Snow Goose,1,3,Jan_W3,0.0,150.0
Snow Goose,1,4,Jan_W4,0.0,159.0
Snow Goose,2,1,Feb_W1,0.0,130.0
Snow Goose,2,2,Feb_W2,0.0,208.0
Snow Goose,2,3,Feb_W3,0.0,239.0
Snow Goose,2,4,Feb_W4,0.0,101.0
Snow Goose,3,1,Mar_W1,0.0,131.0
Snow Goose,3,2,Mar_W2,0.0,144.0
Snow Goose,3,3,Mar_W3,0.0,157.0
Snow Goose,3,4,Mar_W4,0.0220126,318.0
Snow Goose,4,1,Apr_W1,0.0043478,230.0
Snow Goose,4,2,Apr_W2,0.0033113,302.0
Snow Goose,4,3,Apr_W3,0.0098684,304.0
Snow Goose,4,4,Apr_W4,0.0,498.0
Snow Goose,5,1,May_W1,0.0,466.0
Snow Goose,5,2,May_W2,0.0,484.0
Snow Goose,5,3,May_W3,0.0,499.0
Snow Goose,5,4,May_W4,0.0014025,713.0
Snow Goose,6,1,Jun_W1,0.0,384.0
Snow Goose,6,2,Jun_W2,0.0,300.0
Snow Goose,6,3,Jun_W3,0.0,308.0
Snow Goose,6,4,Jun_W4,0.0,313.0
Snow Goose,7,1,Jul_W1,0.0,284.0
Snow Goose,7,2,Jul_W2,0.0,251.0
Snow Goose,7,3,Jul_W3,0.0,269.0
Snow Goose,7,4,Jul_W4,0.0,355.0
Snow Goose,8,1,Aug_W1,0.0,197.0
Snow Goose,8,2,Aug_W2,0.0,230.0
Snow Goose,8,3,Aug_W3,0.0,173.0
Snow Goose,8,4,Aug_W4,0.0,253.0
Snow Goose,9,1,Sep_W1,0.0,169.0
Snow Goose,9,2,Sep_W2,0.0,280.0
Snow Goose,9,3,Sep_W3,0.0052083,192.0
Snow Goose,9,4,Sep_W4,0.0042194,237.0
Snow Goose,10,1,Oct_W1,0.0254237,118.0
Snow Goose,10,2,Oct_W2,0.0178571,112.0
Snow Goose,10,3,Oct_W3,0.0185185,108.0
Snow Goose,10,4,Oct_W4,0.0143885,139.0
Snow Goose,11,1,Nov_W1,0.0212766,94.0
Snow Goose,11,2,Nov_W2,0.025641,78.0
Snow Goose,11,3,Nov_W3,0.0,68.0
Snow Goose,11,4,Nov_W4,0.0,90.0
Snow Goose,12,1,Dec_W1,0.0,94.0
Snow Goose,12,2,Dec_W2,0.0,95.0
Snow Goose,12,3,Dec_W3,0.0,102.0
Snow Goose,12,4,Dec_W4,0.0,147.0
Ross's Goose,1,1,Jan_W1,0.0,175.0
Ross's Goose,1,2,Jan_W2,0.0,117.0
Ross's Goose,1,3,Jan_W3,0.0,150.0
Ross's Goose,1,4,Jan_W4,0.0,159.0
Ross's Goose,2,1,Feb_W1,0.0,130.0
Ross's Goose,2,2,Feb_W2,0.0,208.0
Ross's Goose,2,3,Feb_W3,0.0,239.0
Ross's Goose,2,4,Feb_W4,0.0,101.0
Ross's Goose,3,1,Mar_W1,0.0,131.0
Ross's Goose,3,2,Mar_W2,0.0,144.0
Ross's Goose,3,3,Mar_W3,0.0,157.0
Ross's Goose,3,4,Mar_W4,0.0125786,318.0
Ross's Goose,4,1,Apr_W1,0.0,230.0
Ross's Goose,4,2,Apr_W2,0.0,302.0
Ross's Goose,4,3,Apr_W3,0.0065789,304.0
Ross's Goose,4,4,Apr_W4,0.0,498.0
Ross's Goose,5,1,May_W1,0.0,466.0
Ross's Goose,5,2,May_W2,0.0,484.0
Ross's Goose,5,3,May_W3,0.0,499.0
Ross's Goose,5,4,May_W4,0.0,713.0
Ross's Goose,6,1,Jun_W1,0.0,384.0
Ross's Goose,6,2,Jun_W2,0.0,300.0
Ross's Goose,6,3,Jun_W3,0.0,308.0
Ross's Goose,6,4,Jun_W4,0.0,313.0
Ross's Goose,7,1,Jul_W1,0.0,284.0
Ross's Goose,7,2,Jul_W2,0.0,251.0
Ross's Goose,7,3,Jul_W3,0.0,269.0
Ross's Goose,7,4,Jul_W4,0.0,355.0
Ross's Goose,8,1,Aug_W1,0.0,197.0
Ross's Goose,8,2,Aug_W2,0.0,230.0
Ross's Goose,8,3,Aug_W3,0.0,173.0
Ross's Goose,8,4,Aug_W4,0.0,253.0
Ross's Goose,9,1,Sep_W1,0.0,169.0
Ross's Goose,9,2,Sep_W2,0.0,280.0
Ross's Goose,9,3,Sep_W3,0.0,192.0
Ross's Goose,9,4,Sep_W4,0.0,237.0
Ross's Goose,10,1,Oct_W1,0.0,118.0
Ross's Goose,10,2,Oct_W2,0.0,112.0
Ross's Goose,10,3,Oct_W3,0.0,108.0
Ross's Goose,10,4,Oct_W4,0.0,139.0
Ross's Goose,11,1,Nov_W1,0.0,94.0
Ross's Goose,11,2,Nov_W2,0.0,78.0
