Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Black-bellied Whistling-Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220126,0.0043478,0.0033113,0.0098684,0.0,0.0,0.0,0.0,0.0014025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052083,0.0042194,0.0254237,0.0178571,0.0185185,0.0143885,0.0212766,0.025641,0.0,0.0,0.0,0.0,0.0,0.0
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125786,0.0,0.0,0.0065789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191083,0.0188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205,0.0,0.0,0.0,0.0,0.0,0.0
Brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cackling Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031447,0.0,0.0033113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada Goose,0.0457143,0.025641,0.0266667,0.0125786,0.0153846,0.0288462,0.0292887,0.0891089,0.1450382,0.3333333,0.3949045,0.3867925,0.3956522,0.3940397,0.4539474,0.3534137,0.3690987,0.3016529,0.3286573,0.3366059,0.3489583,0.2233333,0.1558442,0.1565495,0.1126761,0.1434263,0.2193309,0.2,0.1979695,0.2608696,0.2427746,0.1897233,0.2248521,0.3,0.2135417,0.3291139,0.3220339,0.25,0.2314815,0.2446043,0.2446809,0.3205128,0.2205882,0.0888889,0.1170213,0.0421053,0.0686275,0.0204082
Mute Swan,0.0685714,0.0598291,0.06,0.0628931,0.1153846,0.0817308,0.0543933,0.0693069,0.0992366,0.0972222,0.1210191,0.1446541,0.126087,0.1125828,0.1118421,0.0963855,0.0815451,0.0702479,0.0681363,0.085554,0.0885417,0.0766667,0.0649351,0.0543131,0.0880282,0.0478088,0.0929368,0.056338,0.0456853,0.0434783,0.0578035,0.0395257,0.0710059,0.075,0.078125,0.0970464,0.1016949,0.0892857,0.0833333,0.1582734,0.1276596,0.1410256,0.1323529,0.0444444,0.0,0.0315789,0.127451,0.0816327
Trumpeter Swan,0.0171429,0.025641,0.02,0.0188679,0.0538462,0.0192308,0.0460251,0.039604,0.0229008,0.0486111,0.0509554,0.0408805,0.0434783,0.0298013,0.0526316,0.0240964,0.0236052,0.0227273,0.0360721,0.0392707,0.0598958,0.0333333,0.038961,0.0255591,0.0246479,0.0478088,0.0297398,0.0197183,0.0101523,0.026087,0.0404624,0.0592885,0.0473373,0.0714286,0.0677083,0.0379747,0.0338983,0.0178571,0.0555556,0.0071942,0.0212766,0.0641026,0.0,0.0,0.1382979,0.0105263,0.0686275,0.0340136
Tundra Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901,0.0076336,0.0,0.0063694,0.0031447,0.0043478,0.0099338,0.0164474,0.002008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0143885,0.0212766,0.025641,0.0,0.0,0.0,0.0,0.0,0.0
