species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,July 8-14,July 22-31
Snow Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,April 15-21,September 15-21,November 8-14,November 8-14,,,,,
Ross's Goose,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 22-31,April 15-21
Greater White-fronted Goose,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,March 15-21,November 8-14
Brant,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Cackling Goose,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,March 22-31,September 22-30
Canada Goose,single-season,summer,,February 22-28,April 15-21,December 15-21,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,two-passage-migrant,two-passage,,,,,February 22-28,April 15-21,April 15-21,October 22-31,November 8-14,November 8-14,,,,,
Wood Duck,single-season,summer,,March 22-31,September 8-14,October 22-31,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,June 8-14,August 1-7,October 8-14,October 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 1-7,November 1-7,November 1-7,November 1-7,,,,,
Gadwall,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,February 8-14,November 1-7
Eurasian Wigeon,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,April 15-21
American Wigeon,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 1-7,October 1-7,November 1-7,November 1-7,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,August 1-7,February 1-7,April 15-21,,
Northern Pintail,two-passage-migrant,two-passage,,,,,January 15-21,February 1-7,February 15-21,August 22-31,October 1-7,October 1-7,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 1-7,August 22-31,September 22-30,October 1-7,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,April 15-21,October 8-14,October 22-31,November 8-14,,,,,
Redhead,single-season,winter,,,,,,,,,,,October 8-14,November 15-21,April 22-30,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,August 22-31,April 1-7,June 15-21,,
Greater Scaup,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,May 1-7,October 8-14,February 1-7,February 8-14,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 8-14,April 15-21,May 1-7,October 1-7,October 22-31,November 15-21,,,,,
Harlequin Duck,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,February 1-7,May 22-31
Surf Scoter,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,March 1-7,November 22-30
White-winged Scoter,two-passage-migrant,two-passage,,,,,March 1-7,April 22-30,May 1-7,October 8-14,October 22-31,November 15-21,,,,,
Black Scoter,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,May 1-7,November 8-14
Long-tailed Duck,two-passage-migrant,two-passage,,,,,March 8-14,April 22-30,May 22-31,October 15-21,November 15-21,November 15-21,,,,,
Bufflehead,two-passage-migrant,two-passage,,,,,March 1-7,April 15-21,May 8-14,October 22-31,November 22-30,December 15-21,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 22-31,March 15-21,April 22-30,,
Hooded Merganser,two-passage-migrant,two-passage,,,,,February 1-7,April 8-14,May 8-14,August 8-14,November 15-21,December 22-31,,,,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,September 22-30,April 22-30,June 15-21,,
Ruddy Duck,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,April 1-7,November 22-30
Helmeted Guineafowl,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,June 22-30
Northern Bobwhite,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,May 8-14,July 1-7
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,resident,year-round,year-round,,,,,,,,,,,,,,
Ring-necked Pheasant,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,March 22-31,December 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
White-winged Dove,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,November 22-30,December 1-7
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,May 15-21,September 22-30
Black-billed Cuckoo,single-season,summer,,May 15-21,June 8-14,July 15-21,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 15-21,June 1-7,September 8-14,,,,,,,,,,,
Eastern Whip-poor-will,single-season,summer,,May 1-7,August 1-7,September 15-21,,,,,,,,,,,
Chimney Swift,single-season,summer,,May 8-14,August 15-21,August 15-21,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,August 8-14,September 8-14,,,,,,,,,,,
Virginia Rail,single-season,summer,,April 22-30,July 1-7,September 8-14,,,,,,,,,,,
Sora,single-season,summer,,May 1-7,May 15-21,July 1-7,,,,,,,,,,,
Common Gallinule,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
American Coot,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,March 22-31,November 8-14
Yellow Rail,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Sandhill Crane,single-season,summer,,March 15-21,April 15-21,October 22-31,,,,,,,,,,,
Black-bellied Plover,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,May 15-21,November 22-30
American Golden-Plover,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 1-7,October 15-21
Killdeer,single-season,summer,,March 22-31,May 22-31,September 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,June 8-14,August 1-7,August 22-31,September 15-21,,,,,
Piping Plover,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,May 8-14,July 15-21
Upland Sandpiper,single-season,summer,,May 8-14,June 22-30,August 15-21,,,,,,,,,,,
Hudsonian Whimbrel,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Hudsonian Godwit,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
