Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0,1028.0
Snow Goose,1,2,Jan_W2,0.0,995.0
Snow Goose,1,3,Jan_W3,0.0,1544.0
Snow Goose,1,4,Jan_W4,0.0,1414.0
Snow Goose,2,1,Feb_W1,0.0,1431.0
Snow Goose,2,2,Feb_W2,0.0,1915.0
Snow Goose,2,3,Feb_W3,0.0,1788.0
Snow Goose,2,4,Feb_W4,0.0,669.0
Snow Goose,3,1,Mar_W1,0.0,543.0
Snow Goose,3,2,Mar_W2,0.0082418,364.0
Snow Goose,3,3,Mar_W3,0.0029369,681.0
Snow Goose,3,4,Mar_W4,0.0137931,1015.0
Snow Goose,4,1,Apr_W1,0.0132979,752.0
Snow Goose,4,2,Apr_W2,0.0092421,1082.0
Snow Goose,4,3,Apr_W3,0.009205,1195.0
Snow Goose,4,4,Apr_W4,0.0007181,2785.0
Snow Goose,5,1,May_W1,0.0047912,1461.0
Snow Goose,5,2,May_W2,0.0015,1400.0
Snow Goose,5,3,May_W3,0.0,2046.0
Snow Goose,5,4,May_W4,0.0020289,3943.0
Snow Goose,6,1,Jun_W1,0.001292,1548.0
Snow Goose,6,2,Jun_W2,0.0,1075.0
Snow Goose,6,3,Jun_W3,0.0,1107.0
Snow Goose,6,4,Jun_W4,0.0,1051.0
Snow Goose,7,1,Jul_W1,0.0,795.0
Snow Goose,7,2,Jul_W2,0.0,584.0
Snow Goose,7,3,Jul_W3,0.0,533.0
Snow Goose,7,4,Jul_W4,0.0,790.0
Snow Goose,8,1,Aug_W1,0.0,597.0
Snow Goose,8,2,Aug_W2,0.0,666.0
Snow Goose,8,3,Aug_W3,0.0,822.0
Snow Goose,8,4,Aug_W4,0.0,1123.0
Snow Goose,9,1,Sep_W1,0.0011001,909.0
Snow Goose,9,2,Sep_W2,0.0073145,957.0
Snow Goose,9,3,Sep_W3,0.0353063,963.0
Snow Goose,9,4,Sep_W4,0.0205237,1413.0
Snow Goose,10,1,Oct_W1,0.0184426,976.0
Snow Goose,10,2,Oct_W2,0.0112782,1330.0
Snow Goose,10,3,Oct_W3,0.0205033,1073.0
Snow Goose,10,4,Oct_W4,0.0080142,1123.0
Snow Goose,11,1,Nov_W1,0.0204082,686.0
Snow Goose,11,2,Nov_W2,0.0015106,662.0
Snow Goose,11,3,Nov_W3,0.0,428.0
Snow Goose,11,4,Nov_W4,0.0,339.0
Snow Goose,12,1,Dec_W1,0.0,213.0
Snow Goose,12,2,Dec_W2,0.0,275.0
Snow Goose,12,3,Dec_W3,0.0,318.0
Snow Goose,12,4,Dec_W4,0.0010741,931.0
Ross's Goose,1,1,Jan_W1,0.0,1028.0
Ross's Goose,1,2,Jan_W2,0.0,995.0
Ross's Goose,1,3,Jan_W3,0.0,1544.0
Ross's Goose,1,4,Jan_W4,0.0,1414.0
Ross's Goose,2,1,Feb_W1,0.0,1431.0
Ross's Goose,2,2,Feb_W2,0.0,1915.0
Ross's Goose,2,3,Feb_W3,0.0,1788.0
Ross's Goose,2,4,Feb_W4,0.0,669.0
Ross's Goose,3,1,Mar_W1,0.0,543.0
Ross's Goose,3,2,Mar_W2,0.0027473,364.0
Ross's Goose,3,3,Mar_W3,0.0,681.0
Ross's Goose,3,4,Mar_W4,0.0128079,1015.0
Ross's Goose,4,1,Apr_W1,0.0053191,752.0
Ross's Goose,4,2,Apr_W2,0.0166359,1082.0
Ross's Goose,4,3,Apr_W3,0.0033473,1195.0
Ross's Goose,4,4,Apr_W4,0.0,2785.0
Ross's Goose,5,1,May_W1,0.0,1461.0
Ross's Goose,5,2,May_W2,0.0,1400.0
Ross's Goose,5,3,May_W3,0.0,2046.0
Ross's Goose,5,4,May_W4,0.0,3943.0
Ross's Goose,6,1,Jun_W1,0.0,1548.0
Ross's Goose,6,2,Jun_W2,0.0,1075.0
Ross's Goose,6,3,Jun_W3,0.0,1107.0
Ross's Goose,6,4,Jun_W4,0.0,1051.0
Ross's Goose,7,1,Jul_W1,0.0,795.0
Ross's Goose,7,2,Jul_W2,0.0,584.0
Ross's Goose,7,3,Jul_W3,0.0,533.0
Ross's Goose,7,4,Jul_W4,0.0,790.0
Ross's Goose,8,1,Aug_W1,0.0,597.0
Ross's Goose,8,2,Aug_W2,0.0,666.0
Ross's Goose,8,3,Aug_W3,0.0,822.0
Ross's Goose,8,4,Aug_W4,0.0,1123.0
Ross's Goose,9,1,Sep_W1,0.0,909.0
Ross's Goose,9,2,Sep_W2,0.0015,957.0
Ross's Goose,9,3,Sep_W3,0.0010384,963.0
Ross's Goose,9,4,Sep_W4,0.0,1413.0
Ross's Goose,10,1,Oct_W1,0.0,976.0
Ross's Goose,10,2,Oct_W2,0.0,1330.0
Ross's Goose,10,3,Oct_W3,0.0,1073.0
Ross's Goose,10,4,Oct_W4,0.0,1123.0
Ross's Goose,11,1,Nov_W1,0.0,686.0
Ross's Goose,11,2,Nov_W2,0.0,662.0
Ross's Goose,11,3,Nov_W3,0.0,428.0
Ross's Goose,11,4,Nov_W4,0.0,339.0
Ross's Goose,12,1,Dec_W1,0.0,213.0
Ross's Goose,12,2,Dec_W2,0.0,275.0
Ross's Goose,12,3,Dec_W3,0.0,318.0
Ross's Goose,12,4,Dec_W4,0.0,931.0
Greater White-fronted Goose,1,1,Jan_W1,0.0,1028.0
Greater White-fronted Goose,1,2,Jan_W2,0.0,995.0
Greater White-fronted Goose,1,3,Jan_W3,0.0,1544.0
Greater White-fronted Goose,1,4,Jan_W4,0.0,1414.0
Greater White-fronted Goose,2,1,Feb_W1,0.0,1431.0
Greater White-fronted Goose,2,2,Feb_W2,0.0,1915.0
Greater White-fronted Goose,2,3,Feb_W3,0.0,1788.0
Greater White-fronted Goose,2,4,Feb_W4,0.0,669.0
Greater White-fronted Goose,3,1,Mar_W1,0.0015,543.0
Greater White-fronted Goose,3,2,Mar_W2,0.0027473,364.0
Greater White-fronted Goose,3,3,Mar_W3,0.0058737,681.0
Greater White-fronted Goose,3,4,Mar_W4,0.0009852,1015.0
Greater White-fronted Goose,4,1,Apr_W1,0.0039894,752.0
Greater White-fronted Goose,4,2,Apr_W2,0.0009242,1082.0
Greater White-fronted Goose,4,3,Apr_W3,0.0033473,1195.0
Greater White-fronted Goose,4,4,Apr_W4,0.0010772,2785.0
Greater White-fronted Goose,5,1,May_W1,0.0,1461.0
Greater White-fronted Goose,5,2,May_W2,0.0,1400.0
Greater White-fronted Goose,5,3,May_W3,0.0015,2046.0
Greater White-fronted Goose,5,4,May_W4,0.0012681,3943.0
Greater White-fronted Goose,6,1,Jun_W1,0.0,1548.0
Greater White-fronted Goose,6,2,Jun_W2,0.0,1075.0
Greater White-fronted Goose,6,3,Jun_W3,0.0,1107.0
Greater White-fronted Goose,6,4,Jun_W4,0.0,1051.0
Greater White-fronted Goose,7,1,Jul_W1,0.0,795.0
Greater White-fronted Goose,7,2,Jul_W2,0.0,584.0
Greater White-fronted Goose,7,3,Jul_W3,0.0,533.0
Greater White-fronted Goose,7,4,Jul_W4,0.0,790.0
Greater White-fronted Goose,8,1,Aug_W1,0.0,597.0
Greater White-fronted Goose,8,2,Aug_W2,0.0,666.0
Greater White-fronted Goose,8,3,Aug_W3,0.0,822.0
Greater White-fronted Goose,8,4,Aug_W4,0.0,1123.0
Greater White-fronted Goose,9,1,Sep_W1,0.0,909.0
Greater White-fronted Goose,9,2,Sep_W2,0.0,957.0
Greater White-fronted Goose,9,3,Sep_W3,0.0,963.0
Greater White-fronted Goose,9,4,Sep_W4,0.0015,1413.0
Greater White-fronted Goose,10,1,Oct_W1,0.0,976.0
Greater White-fronted Goose,10,2,Oct_W2,0.0007519,1330.0
Greater White-fronted Goose,10,3,Oct_W3,0.0,1073.0
Greater White-fronted Goose,10,4,Oct_W4,0.0,1123.0
Greater White-fronted Goose,11,1,Nov_W1,0.0,686.0
Greater White-fronted Goose,11,2,Nov_W2,0.0,662.0
Greater White-fronted Goose,11,3,Nov_W3,0.0023364,428.0
Greater White-fronted Goose,11,4,Nov_W4,0.0029499,339.0
Greater White-fronted Goose,12,1,Dec_W1,0.0,213.0
Greater White-fronted Goose,12,2,Dec_W2,0.0,275.0
Greater White-fronted Goose,12,3,Dec_W3,0.0,318.0
Greater White-fronted Goose,12,4,Dec_W4,0.0,931.0
Brant,1,1,Jan_W1,0.0,1028.0
Brant,1,2,Jan_W2,0.0,995.0
Brant,1,3,Jan_W3,0.0,1544.0
Brant,1,4,Jan_W4,0.0,1414.0
Brant,2,1,Feb_W1,0.0,1431.0
Brant,2,2,Feb_W2,0.0,1915.0
Brant,2,3,Feb_W3,0.0,1788.0
Brant,2,4,Feb_W4,0.0,669.0
Brant,3,1,Mar_W1,0.0,543.0
Brant,3,2,Mar_W2,0.0,364.0
Brant,3,3,Mar_W3,0.0,681.0
Brant,3,4,Mar_W4,0.0,1015.0
Brant,4,1,Apr_W1,0.0,752.0
Brant,4,2,Apr_W2,0.0,1082.0
Brant,4,3,Apr_W3,0.0,1195.0
Brant,4,4,Apr_W4,0.0015,2785.0
Brant,5,1,May_W1,0.0013689,1461.0
Brant,5,2,May_W2,0.0,1400.0
Brant,5,3,May_W3,0.0004888,2046.0
Brant,5,4,May_W4,0.0015,3943.0
Brant,6,1,Jun_W1,0.0,1548.0
Brant,6,2,Jun_W2,0.0,1075.0
Brant,6,3,Jun_W3,0.0015,1107.0
Brant,6,4,Jun_W4,0.0,1051.0
Brant,7,1,Jul_W1,0.0,795.0
Brant,7,2,Jul_W2,0.0,584.0
Brant,7,3,Jul_W3,0.0,533.0
Brant,7,4,Jul_W4,0.0,790.0
Brant,8,1,Aug_W1,0.0,597.0
Brant,8,2,Aug_W2,0.0,666.0
Brant,8,3,Aug_W3,0.0,822.0
Brant,8,4,Aug_W4,0.0,1123.0
Brant,9,1,Sep_W1,0.0,909.0
Brant,9,2,Sep_W2,0.0,957.0
Brant,9,3,Sep_W3,0.0,963.0
Brant,9,4,Sep_W4,0.0,1413.0
Brant,10,1,Oct_W1,0.0,976.0
Brant,10,2,Oct_W2,0.0,1330.0
Brant,10,3,Oct_W3,0.0015,1073.0
Brant,10,4,Oct_W4,0.0,1123.0
Brant,11,1,Nov_W1,0.0,686.0
Brant,11,2,Nov_W2,0.0,662.0
Brant,11,3,Nov_W3,0.0,428.0
Brant,11,4,Nov_W4,0.0,339.0
Brant,12,1,Dec_W1,0.0,213.0
Brant,12,2,Dec_W2,0.0,275.0
Brant,12,3,Dec_W3,0.0,318.0
Brant,12,4,Dec_W4,0.0,931.0
Cackling Goose,1,1,Jan_W1,0.0,1028.0
Cackling Goose,1,2,Jan_W2,0.0,995.0
Cackling Goose,1,3,Jan_W3,0.0,1544.0
Cackling Goose,1,4,Jan_W4,0.0,1414.0
Cackling Goose,2,1,Feb_W1,0.0,1431.0
Cackling Goose,2,2,Feb_W2,0.0,1915.0
Cackling Goose,2,3,Feb_W3,0.0,1788.0
Cackling Goose,2,4,Feb_W4,0.0,669.0
Cackling Goose,3,1,Mar_W1,0.0,543.0
Cackling Goose,3,2,Mar_W2,0.0,364.0
Cackling Goose,3,3,Mar_W3,0.0014684,681.0
Cackling Goose,3,4,Mar_W4,0.0078818,1015.0
Cackling Goose,4,1,Apr_W1,0.0053191,752.0
Cackling Goose,4,2,Apr_W2,0.0092421,1082.0
Cackling Goose,4,3,Apr_W3,0.0058577,1195.0
Cackling Goose,4,4,Apr_W4,0.0014363,2785.0
Cackling Goose,5,1,May_W1,0.0013689,1461.0
Cackling Goose,5,2,May_W2,0.0,1400.0
Cackling Goose,5,3,May_W3,0.0024438,2046.0
Cackling Goose,5,4,May_W4,0.0002536,3943.0
Cackling Goose,6,1,Jun_W1,0.0,1548.0
Cackling Goose,6,2,Jun_W2,0.0,1075.0
Cackling Goose,6,3,Jun_W3,0.0,1107.0
Cackling Goose,6,4,Jun_W4,0.0,1051.0
Cackling Goose,7,1,Jul_W1,0.0,795.0
Cackling Goose,7,2,Jul_W2,0.0,584.0
Cackling Goose,7,3,Jul_W3,0.0,533.0
Cackling Goose,7,4,Jul_W4,0.0,790.0
Cackling Goose,8,1,Aug_W1,0.0,597.0
Cackling Goose,8,2,Aug_W2,0.0,666.0
Cackling Goose,8,3,Aug_W3,0.0,822.0
Cackling Goose,8,4,Aug_W4,0.0,1123.0
Cackling Goose,9,1,Sep_W1,0.0022002,909.0
Cackling Goose,9,2,Sep_W2,0.0062696,957.0
Cackling Goose,9,3,Sep_W3,0.0062305,963.0
Cackling Goose,9,4,Sep_W4,0.0141543,1413.0
Cackling Goose,10,1,Oct_W1,0.0143443,976.0
Cackling Goose,10,2,Oct_W2,0.0030075,1330.0
Cackling Goose,10,3,Oct_W3,0.0037279,1073.0
Cackling Goose,10,4,Oct_W4,0.0008905,1123.0
Cackling Goose,11,1,Nov_W1,0.0029155,686.0
Cackling Goose,11,2,Nov_W2,0.0,662.0
Cackling Goose,11,3,Nov_W3,0.0,428.0
Cackling Goose,11,4,Nov_W4,0.0,339.0
Cackling Goose,12,1,Dec_W1,0.0,213.0
Cackling Goose,12,2,Dec_W2,0.0,275.0
Cackling Goose,12,3,Dec_W3,0.0,318.0
Cackling Goose,12,4,Dec_W4,0.0,931.0
Canada Goose,1,1,Jan_W1,0.0029183,1028.0
Canada Goose,1,2,Jan_W2,0.0030151,995.0
Canada Goose,1,3,Jan_W3,0.007772,1544.0
Canada Goose,1,4,Jan_W4,0.0056577,1414.0
Canada Goose,2,1,Feb_W1,0.0027952,1431.0
Canada Goose,2,2,Feb_W2,0.002611,1915.0
Canada Goose,2,3,Feb_W3,0.0022371,1788.0
Canada Goose,2,4,Feb_W4,0.0059791,669.0
Canada Goose,3,1,Mar_W1,0.0294659,543.0
Canada Goose,3,2,Mar_W2,0.0769231,364.0
Canada Goose,3,3,Mar_W3,0.123348,681.0
Canada Goose,3,4,Mar_W4,0.2660099,1015.0
Canada Goose,4,1,Apr_W1,0.3590426,752.0
Canada Goose,4,2,Apr_W2,0.3696858,1082.0
Canada Goose,4,3,Apr_W3,0.348954,1195.0
Canada Goose,4,4,Apr_W4,0.3307002,2785.0
Canada Goose,5,1,May_W1,0.2908966,1461.0
Canada Goose,5,2,May_W2,0.2692857,1400.0
Canada Goose,5,3,May_W3,0.2634409,2046.0
Canada Goose,5,4,May_W4,0.3243723,3943.0
Canada Goose,6,1,Jun_W1,0.3339793,1548.0
Canada Goose,6,2,Jun_W2,0.2427907,1075.0
Canada Goose,6,3,Jun_W3,0.171635,1107.0
Canada Goose,6,4,Jun_W4,0.1398668,1051.0
Canada Goose,7,1,Jul_W1,0.1320755,795.0
Canada Goose,7,2,Jul_W2,0.1472603,584.0
Canada Goose,7,3,Jul_W3,0.1707317,533.0
Canada Goose,7,4,Jul_W4,0.2291139,790.0
Canada Goose,8,1,Aug_W1,0.2931323,597.0
Canada Goose,8,2,Aug_W2,0.2672673,666.0
Canada Goose,8,3,Aug_W3,0.2080292,822.0
Canada Goose,8,4,Aug_W4,0.1852182,1123.0
Canada Goose,9,1,Sep_W1,0.1980198,909.0
Canada Goose,9,2,Sep_W2,0.2685475,957.0
Canada Goose,9,3,Sep_W3,0.3634476,963.0
Canada Goose,9,4,Sep_W4,0.3198868,1413.0
Canada Goose,10,1,Oct_W1,0.2182377,976.0
Canada Goose,10,2,Oct_W2,0.1458647,1330.0
Canada Goose,10,3,Oct_W3,0.1453868,1073.0
Canada Goose,10,4,Oct_W4,0.0614426,1123.0
Canada Goose,11,1,Nov_W1,0.0539359,686.0
Canada Goose,11,2,Nov_W2,0.021148,662.0
Canada Goose,11,3,Nov_W3,0.0186916,428.0
Canada Goose,11,4,Nov_W4,0.0265487,339.0
Canada Goose,12,1,Dec_W1,0.028169,213.0
Canada Goose,12,2,Dec_W2,0.0472727,275.0
Canada Goose,12,3,Dec_W3,0.0283019,318.0
Canada Goose,12,4,Dec_W4,0.0139635,931.0
Mute Swan,1,1,Jan_W1,0.0048638,1028.0
Mute Swan,1,2,Jan_W2,0.001005,995.0
Mute Swan,1,3,Jan_W3,0.001943,1544.0
Mute Swan,1,4,Jan_W4,0.0,1414.0
Mute Swan,2,1,Feb_W1,0.0006988,1431.0
Mute Swan,2,2,Feb_W2,0.0005222,1915.0
Mute Swan,2,3,Feb_W3,0.0011186,1788.0
Mute Swan,2,4,Feb_W4,0.0029895,669.0
Mute Swan,3,1,Mar_W1,0.0015,543.0
Mute Swan,3,2,Mar_W2,0.0,364.0
Mute Swan,3,3,Mar_W3,0.0029369,681.0
Mute Swan,3,4,Mar_W4,0.0,1015.0
Mute Swan,4,1,Apr_W1,0.0015,752.0
