species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.035306,0.0,0.0,22,2,15-32;41-8,summer|winter,No,classic_bimodal
Ross's Goose,vagrant,irregular,0.016636,0.0,0.0,7,1,14-10,winter,No,
Greater White-fronted Goose,single-season,summer,0.005874,0.0,0.0,14,1,11-9,winter,No,low_presence
Brant,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.014344,0.0,0.0,18,2,15-32;37-10,summer|winter,No,classic_bimodal
Canada Goose,single-season,summer,0.369686,0.002237,0.0061,48,1,40-8,winter,No,
Mute Swan,single-season,summer,0.012369,0.0,0.0,43,1,28-12,winter,No,
Trumpeter Swan,vagrant,irregular,0.037559,0.0,0.0,41,3,0-9;22-29;31-36,winter|summer|summer,No,three_valleys_irregular
Tundra Swan,two-passage-migrant,two-passage,0.065728,0.0,0.0,32,2,1-10;17-37,winter|summer,Yes,classic_bimodal
Wood Duck,single-season,summer,0.064991,0.0,0.0,34,1,38-10,winter,No,
Garganey,vagrant,irregular,0.021218,0.0,0.0,2,1,17-15,winter,No,low_annual_presence
Blue-winged Teal,two-passage-migrant,two-passage,0.180766,0.0,0.0,29,2,23-28;38-13,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.102804,0.0,0.0,30,2,21-29;39-13,summer|winter,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.10438,0.0,0.0,35,2,24-29;41-12,summer|winter,No,classic_bimodal
Eurasian Wigeon,vagrant,irregular,0.003232,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.202492,0.0,0.0,34,2,18-30;41-12,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.297908,0.031149,0.1046,48,0,,,No,seasonal_variation|min_max_near_boundary
American Black Duck,vagrant,irregular,0.132339,0.001074,0.0081,48,4,0-4;6-10;17-30;42-45,winter|winter|summer|winter,No,many_valleys
Northern Pintail,two-passage-migrant,two-passage,0.159836,0.0,0.0,34,2,17-30;41-12,summer|winter,No,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.184426,0.0,0.0,33,2,18-29;41-12,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.012939,0.0,0.0,28,2,23-37;41-12,summer|winter,No,classic_bimodal
Redhead,single-season,summer,0.162162,0.0,0.0,35,1,42-32,winter,No,
Ring-necked Duck,two-passage-migrant,two-passage,0.120287,0.0,0.0,37,2,18-33;41-11,summer|winter,No,classic_bimodal
Greater Scaup,two-passage-migrant,two-passage,0.247903,0.0,0.0,31,2,18-31;42-13,summer|winter,No,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.157502,0.0,0.0,34,2,19-32;42-12,summer|winter,No,classic_bimodal
King Eider,vagrant,irregular,0.004695,0.0,0.0,16,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Eider,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Harlequin Duck,single-season,winter,0.014248,0.0,0.0,26,1,0-32,summer,No,overwintering
Surf Scoter,two-passage-migrant,two-passage,0.241353,0.0,0.0,23,2,19-33;41-16,summer|winter,No,classic_bimodal
White-winged Scoter,two-passage-migrant,two-passage,0.339236,0.0,0.0,39,2,20-30;42-15,summer|winter,No,classic_bimodal
Black Scoter,single-season,summer,0.223672,0.0,0.0,21,1,43-35,winter,No,
Long-tailed Duck,two-passage-migrant,two-passage,0.402332,0.0,0.0,43,2,19-35;43-13,summer|winter,No,classic_bimodal
Bufflehead,two-passage-migrant,two-passage,0.309038,0.0,0.0,43,2,0-11;18-37,winter|summer,No,classic_bimodal
Common Goldeneye,single-season,winter,0.327988,0.00335,0.0102,48,1,18-35,summer,No,overwintering
Barrow's Goldeneye,vagrant,irregular,0.005874,0.0,0.0,5,1,11-8,summer,No,low_annual_presence
Hooded Merganser,two-passage-migrant,two-passage,0.113703,0.002747,0.0242,48,2,6-10;18-24,winter|summer,No,classic_bimodal
Common Merganser,resident,year-round,0.328141,0.047236,0.144,48,0,,,No,seasonal_variation|min_max_near_boundary
Red-breasted Merganser,single-season,summer,0.387355,0.002747,0.0071,48,1,43-13,winter,No,
Ruddy Duck,two-passage-migrant,two-passage,0.005137,0.0,0.0,15,2,18-24;26-16,summer|winter,No,classic_bimodal
Helmeted Guineafowl,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,single-season,winter,0.102332,0.00466,0.0455,48,1,33-39,summer,No,overwintering
Ruffed Grouse,single-season,winter,0.130827,0.007299,0.0558,48,1,24-33,summer,No,overwintering
Sharp-tailed Grouse,single-season,winter,0.113703,0.005662,0.0498,48,1,30-36,summer,No,overwintering
Greater Prairie-Chicken,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spruce Grouse,single-season,summer,0.085633,0.000699,0.0082,48,1,0-14,winter,No,
Ring-necked Pheasant,single-season,summer,0.005025,0.0,0.0,26,1,29-27,winter,Yes,
Rock Pigeon,resident,year-round,0.149091,0.018734,0.1257,48,0,,,No,seasonal_variation|min_max_near_boundary
Eurasian Collared-Dove,vagrant,irregular,0.002738,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Inca Dove,vagrant,irregular,0.001504,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Ground Dove,vagrant,irregular,0.007456,0.0,0.0,4,1,40-37,winter,No,low_annual_presence
White-winged Dove,vagrant,irregular,0.013954,0.0,0.0,15,3,25-33;35-39;41-20,summer|mixed|winter,No,three_valleys_irregular
Mourning Dove,resident,year-round,0.201878,0.034743,0.1721,48,0,,,No,seasonal_variation|min_max_near_boundary
Yellow-billed Cuckoo,two-passage-migrant,two-passage,0.023884,0.0,0.0,15,2,24-31;37-21,summer|winter,No,classic_bimodal
Black-billed Cuckoo,single-season,summer,0.059943,0.0,0.0,21,1,30-18,winter,No,
Common Nighthawk,single-season,summer,0.043368,0.0,0.0,18,1,33-17,winter,No,
Chuck-will's-widow,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Whip-poor-will,two-passage-migrant,two-passage,0.01955,0.0,0.0,18,2,26-31;33-15,summer|winter,No,classic_bimodal
Chimney Swift,two-passage-migrant,two-passage,0.074309,0.0,0.0,24,2,24-28;35-16,summer|winter,No,classic_bimodal
Ruby-throated Hummingbird,single-season,summer,0.18878,0.0,0.0,21,1,34-16,winter,No,
Virginia Rail,single-season,summer,0.02907,0.0,0.0,21,1,27-16,winter,No,
Sora,two-passage-migrant,two-passage,0.026486,0.0,0.0,22,2,26-30;35-16,summer|winter,No,classic_bimodal
Common Gallinule,single-season,summer,0.006323,0.0,0.0,13,1,23-21,winter,No,low_presence
American Coot,two-passage-migrant,two-passage,0.00932,0.0,0.0,28,2,28-37;39-14,summer|winter,No,classic_bimodal
Purple Gallinule,vagrant,irregular,0.004098,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Yellow Rail,vagrant,irregular,0.007752,0.0,0.0,4,1,21-19,winter,No,low_annual_presence
Sandhill Crane,single-season,summer,0.37908,0.0,0.0,35,1,35-10,winter,No,
Whooping Crane,vagrant,irregular,0.000924,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Avocet,vagrant,irregular,0.002143,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency
Black-bellied Plover,two-passage-migrant,two-passage,0.13811,0.0,0.0,22,2,21-29;40-17,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.23053,0.0,0.0,20,1,39-30,winter,No,
Killdeer,single-season,summer,0.254286,0.0,0.0,32,1,34-11,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.267142,0.0,0.0,25,2,20-26;36-17,summer|winter,No,classic_bimodal
Piping Plover,single-season,summer,0.157241,0.0,0.0,22,1,33-15,winter,No,
Wilson's Plover,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Upland Sandpiper,single-season,summer,0.055185,0.0,0.0,15,1,27-17,winter,No,
Hudsonian Whimbrel,two-passage-migrant,two-passage,0.084707,0.0,0.0,16,2,21-25;33-17,summer|winter,No,classic_bimodal
Bar-tailed Godwit,vagrant,irregular,0.002796,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Hudsonian Godwit,vagrant,irregular,0.008905,0.0,0.0,8,1,32-30,winter,No,
Marbled Godwit,vagrant,irregular,0.003551,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency
Short-billed Dowitcher,two-passage-migrant,two-passage,0.02346,0.0,0.0,13,2,20-29;33-16,summer|winter,No,classic_bimodal|low_presence
Long-billed Dowitcher,vagrant,irregular,0.007314,0.0,0.0,3,1,34-32,winter,No,low_annual_presence
American Woodcock,two-passage-migrant,two-passage,0.048115,0.0,0.0,32,2,25-34;39-10,summer|winter,No,classic_bimodal
Wilson's Snipe,two-passage-migrant,two-passage,0.076227,0.0,0.0,31,2,27-31;40-12,summer|winter,No,classic_bimodal
Wilson's Phalarope,vagrant,irregular,0.005376,0.0,0.0,6,1,19-17,winter,No,
Red Phalarope,vagrant,irregular,0.01959,0.0,0.0,8,1,42-36,winter,No,
Red-necked Phalarope,single-season,summer,0.017764,0.0,0.0,10,1,34-32,winter,No,low_presence
Spotted Sandpiper,single-season,summer,0.112658,0.0,0.0,22,1,34-15,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.090024,0.0,0.0,21,2,19-27;35-15,summer|winter,No,classic_bimodal
Lesser Yellowlegs,two-passage-migrant,two-passage,0.127737,0.0,0.0,26,2,20-24;35-15,summer|winter,No,classic_bimodal
Willet,two-passage-migrant,two-passage,0.019467,0.0,0.0,15,2,20-35;37-18,summer|winter,No,classic_bimodal
Greater Yellowlegs,two-passage-migrant,two-passage,0.12115,0.0,0.0,28,2,19-26;41-13,summer|winter,No,classic_bimodal
Ruddy Turnstone,two-passage-migrant,two-passage,0.086376,0.0,0.0,22,2,21-27;35-17,summer|winter,No,classic_bimodal
Red Knot,two-passage-migrant,two-passage,0.012174,0.0,0.0,10,2,20-29;33-18,summer|winter,No,classic_bimodal|low_presence
Ruff,vagrant,irregular,0.006843,0.0,0.0,2,1,20-17,winter,No,low_annual_presence
