species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 8-14,March 22-31,April 15-21,September 8-14,September 15-21,November 1-7,,,,,
Ross's Goose,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,March 8-14,September 15-21
Greater White-fronted Goose,single-season,summer,,March 15-21,March 15-21,March 15-21,,,,,,,,,,,
Brant,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 15-21
Cackling Goose,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,April 15-21,September 8-14,October 1-7,October 1-7,,,,,
Canada Goose,single-season,summer,,March 8-14,April 8-14,October 22-31,,,,,,,,,,,
Mute Swan,single-season,summer,,April 8-14,June 22-30,July 22-31,,,,,,,,,,,
Trumpeter Swan,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,January 1-7,December 8-14
Tundra Swan,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,May 1-7,October 15-21,December 1-7,January 1-7,,,,,
Wood Duck,single-season,summer,,March 22-31,April 22-30,October 8-14,,,,,,,,,,,
Garganey,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 8-14
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,June 15-21,August 8-14,August 22-31,October 8-14,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,June 1-7,August 15-21,September 15-21,October 15-21,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,April 8-14,May 8-14,June 22-30,August 15-21,October 15-21,November 1-7,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,May 22-31
American Wigeon,two-passage-migrant,two-passage,,,,,April 8-14,April 15-21,May 8-14,August 22-31,September 15-21,November 1-7,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
