species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,vagrant,irregular,0.030702,0.0,0.0,7,2,0-8;14-40,winter|summer,No,low_annual_presence
Ross's Goose,vagrant,irregular,0.008197,0.0,0.0,2,1,14-10,winter,No,low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.02439,0.0,0.0,6,3,4-8;12-42;44-47,winter|summer|winter,No,low_annual_presence
Cackling Goose,vagrant,irregular,0.030303,0.0,0.0,3,2,10-41;44-8,summer|winter,No,low_annual_presence
Canada Goose,resident,year-round,0.544643,0.078261,0.1437,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.195652,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,single-season,winter,0.15625,0.0,0.0,44,1,23-29,summer,No,overwintering
Tundra Swan,single-season,winter,0.091463,0.0,0.0,23,1,15-39,summer,Yes,overwintering
Wood Duck,single-season,summer,0.25,0.0,0.0,37,1,40-8,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.047945,0.0,0.0,13,2,19-26;35-10,summer|winter,No,classic_bimodal|low_presence
Northern Shoveler,two-passage-migrant,two-passage,0.024096,0.0,0.0,14,3,1-10;18-37;43-46,winter|summer|winter,Yes,three_valley_migrant|low_presence
Gadwall,vagrant,irregular,0.04918,0.0,0.0,18,3,15-28;30-35;39-44,summer|summer|winter,Yes,three_valleys_irregular
American Wigeon,two-passage-migrant,two-passage,0.065574,0.0,0.0,13,3,0-7;16-37;41-46,winter|summer|winter,No,three_valley_migrant|low_presence
Mallard,resident,year-round,0.463415,0.045455,0.0981,48,0,,,No,seasonal_variation|min_max_near_boundary
American Black Duck,single-season,winter,0.090909,0.0,0.0,34,2,15-26;28-31,summer|summer,No,overwintering|two_summer_valleys_merged
Northern Pintail,two-passage-migrant,two-passage,0.040984,0.0,0.0,12,3,2-7;16-37;40-45,winter|summer|winter,No,three_valley_migrant|low_presence
Green-winged Teal,two-passage-migrant,two-passage,0.057377,0.0,0.0,16,2,18-29;40-8,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.073771,0.0,0.0,14,3,5-10;15-37;39-47,winter|summer|winter,No,three_valley_migrant|low_presence
Redhead,single-season,winter,0.090164,0.0,0.0,25,1,15-37,summer,Yes,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.286585,0.0,0.0,26,2,17-37;39-7,summer|winter,No,classic_bimodal
Greater Scaup,two-passage-migrant,two-passage,0.032787,0.0,0.0,12,2,20-37;39-43,summer|winter,No,classic_bimodal|low_presence
Lesser Scaup,vagrant,irregular,0.098361,0.0,0.0,18,3,17-29;31-37;43-6,summer|summer|winter,No,three_valleys_irregular
Long-tailed Duck,vagrant,irregular,0.041667,0.0,0.0,3,2,9-39;41-6,summer|winter,No,low_annual_presence
Bufflehead,two-passage-migrant,two-passage,0.329268,0.0,0.0,24,2,0-7;17-39,winter|summer,Yes,classic_bimodal
Common Goldeneye,single-season,winter,0.222222,0.0,0.0,25,1,14-37,summer,Yes,overwintering
Hooded Merganser,vagrant,irregular,0.25,0.0,0.0,34,3,0-7;19-24;29-38,winter|summer|summer,No,three_valleys_irregular
Common Merganser,single-season,winter,0.329268,0.0,0.0,30,1,15-40,summer,Yes,overwintering
Red-breasted Merganser,two-passage-migrant,two-passage,0.057377,0.0,0.0,13,2,0-11;17-38,winter|summer,No,classic_bimodal|low_presence
Ruddy Duck,two-passage-migrant,two-passage,0.04918,0.0,0.0,10,2,19-35;43-10,summer|winter,No,classic_bimodal|low_presence
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,resident,year-round,0.232558,0.004348,0.0187,48,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,single-season,winter,0.090164,0.0,0.0,42,1,27-30,summer,No,overwintering
Ring-necked Pheasant,two-passage-migrant,two-passage,0.043478,0.0,0.0,20,3,5-9;27-37;43-47,winter|summer|winter,No,three_valley_migrant
Chukar,vagrant,irregular,0.007634,0.0,0.0,1,1,9-7,winter,No,low_annual_presence
Rock Pigeon,vagrant,irregular,0.15126,0.0,0.0,44,1,15-22,summer,No,overwintering|low_annual_presence
Mourning Dove,resident,year-round,0.710526,0.216216,0.3043,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,two-passage-migrant,two-passage,0.078947,0.0,0.0,11,2,27-32;34-17,summer|winter,No,classic_bimodal|low_presence
Black-billed Cuckoo,single-season,summer,0.103448,0.0,0.0,11,1,30-16,winter,No,low_presence
Common Nighthawk,two-passage-migrant,two-passage,0.21875,0.0,0.0,10,2,20-30;33-18,summer|winter,No,classic_bimodal|low_presence
Eastern Whip-poor-will,single-season,summer,0.032258,0.0,0.0,11,1,27-14,winter,No,low_presence
Chimney Swift,single-season,summer,0.08,0.0,0.0,15,1,31-15,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.40625,0.0,0.0,20,1,35-16,winter,No,
Virginia Rail,two-passage-migrant,two-passage,0.080645,0.0,0.0,10,2,24-30;32-14,summer|winter,No,classic_bimodal|low_presence
Sora,two-passage-migrant,two-passage,0.048387,0.0,0.0,10,2,24-30;32-14,summer|winter,No,classic_bimodal|low_presence
Common Gallinule,vagrant,irregular,0.010417,0.0,0.0,1,1,24-22,winter,No,low_annual_presence
American Coot,two-passage-migrant,two-passage,0.021739,0.0,0.0,13,2,0-11;16-37,winter|summer,No,classic_bimodal|low_presence
Sandhill Crane,single-season,summer,0.213115,0.0,0.0,36,1,43-7,winter,No,
Black-bellied Plover,vagrant,irregular,0.045455,0.0,0.0,1,1,40-38,winter,No,low_annual_presence
American Golden-Plover,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Killdeer,single-season,summer,0.21875,0.0,0.0,32,1,40-7,winter,No,
Semipalmated Plover,vagrant,irregular,0.009901,0.0,0.0,1,1,18-16,winter,No,low_annual_presence
Upland Sandpiper,vagrant,irregular,0.010417,0.0,0.0,5,2,17-22;24-15,summer|winter,No,low_annual_presence
Hudsonian Whimbrel,vagrant,irregular,0.007042,0.0,0.0,1,1,20-18,winter,No,low_annual_presence
Short-billed Dowitcher,vagrant,irregular,0.015625,0.0,0.0,1,1,19-17,winter,No,low_annual_presence
Long-billed Dowitcher,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Woodcock,two-passage-migrant,two-passage,0.075,0.0,0.0,19,2,24-34;41-9,summer|winter,No,classic_bimodal
Wilson's Snipe,two-passage-migrant,two-passage,0.054688,0.0,0.0,20,2,28-33;41-10,summer|winter,No,classic_bimodal
Spotted Sandpiper,two-passage-migrant,two-passage,0.15625,0.0,0.0,16,2,21-26;34-14,summer|winter,No,classic_bimodal
Solitary Sandpiper,vagrant,irregular,0.0625,0.0,0.0,8,2,18-25;34-15,summer|winter,No,
Lesser Yellowlegs,two-passage-migrant,two-passage,0.054795,0.0,0.0,11,2,19-26;35-14,summer|winter,No,classic_bimodal|low_presence
Greater Yellowlegs,vagrant,irregular,0.123288,0.0,0.0,12,3,17-31;33-38;40-14,summer|summer|winter,No,three_valleys_irregular|low_presence
Dunlin,vagrant,irregular,0.027273,0.0,0.0,5,2,19-38;40-14,summer|winter,No,low_annual_presence
Least Sandpiper,vagrant,irregular,0.015873,0.0,0.0,6,2,19-26;31-15,summer|winter,No,low_annual_presence
Pectoral Sandpiper,vagrant,irregular,0.045455,0.0,0.0,8,2,18-31;40-14,summer|winter,No,low_annual_presence
Semipalmated Sandpiper,vagrant,irregular,0.026316,0.0,0.0,3,2,19-25;29-17,summer|winter,No,low_annual_presence
Bonaparte's Gull,vagrant,irregular,0.027273,0.0,0.0,5,2,16-37;42-12,summer|winter,No,low_annual_presence
Ring-billed Gull,two-passage-migrant,two-passage,0.269841,0.0,0.0,45,2,1-6;16-21,winter|summer,No,classic_bimodal
American Herring Gull,two-passage-migrant,two-passage,0.097222,0.0,0.0,37,2,2-6;23-26,winter|summer,No,classic_bimodal
Caspian Tern,single-season,summer,0.069767,0.0,0.0,17,1,33-14,winter,No,
Black Tern,single-season,summer,0.112903,0.0,0.0,12,1,28-16,winter,No,low_presence
Forster's Tern,vagrant,irregular,0.023256,0.0,0.0,2,2,17-28;30-15,summer|winter,No,low_annual_presence
Common Tern,vagrant,irregular,0.008929,0.0,0.0,1,1,17-15,winter,No,low_annual_presence
Pied-billed Grebe,two-passage-migrant,two-passage,0.15,0.0,0.0,34,2,27-30;42-10,summer|winter,No,classic_bimodal
