species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,February 15-21,December 1-7
Ross's Goose,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,March 22-31,April 8-14
Greater White-fronted Goose,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,January 22-31,November 22-30
Cackling Goose,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,March 8-14,November 22-30
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,August 15-21,October 15-21,June 15-21,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 1-7,March 22-31,April 15-21,,
Wood Duck,single-season,summer,,March 8-14,September 1-7,October 22-31,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 1-7,July 22-31,September 15-21,September 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 8-14,October 15-21,November 15-21,November 15-21,,,,,
Gadwall,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,January 1-7,December 22-31
American Wigeon,two-passage-migrant,two-passage,,,,,March 1-7,April 8-14,April 22-30,October 15-21,October 15-21,November 1-7,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 1-7,December 8-14,April 15-21,,
Northern Pintail,two-passage-migrant,two-passage,,,,,March 1-7,April 8-14,April 22-30,October 15-21,October 15-21,October 22-31,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 8-14,April 8-14,May 8-14,August 15-21,October 15-21,October 22-31,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,April 15-21,October 15-21,October 15-21,October 15-21,,,,,
Redhead,single-season,winter,,,,,,,,,,,October 15-21,April 8-14,April 15-21,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,May 1-7,October 15-21,October 15-21,October 15-21,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,December 1-7,April 8-14,April 22-30,October 15-21,October 15-21,October 15-21,,,,,
Lesser Scaup,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,January 15-21,December 22-31
Long-tailed Duck,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,November 1-7
Bufflehead,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,May 1-7,November 1-7,November 15-21,December 8-14,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 15-21,February 22-28,April 8-14,,
Hooded Merganser,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,January 1-7,December 22-31
Common Merganser,single-season,winter,,,,,,,,,,,November 8-14,March 22-31,April 15-21,,
