species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.019751,0.0,0.0,26,2,4-8;10-34,winter|summer,Yes,classic_bimodal
Ross's Goose,two-passage-migrant,two-passage,0.008264,0.0,0.0,24,3,5-10;12-41;44-47,winter|summer|winter,No,three_valley_migrant
Graylag Goose,vagrant,irregular,0.001649,0.0,0.0,8,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,two-passage-migrant,two-passage,0.016489,0.0,0.0,19,3,4-7;10-37;39-47,winter|summer|winter,No,three_valley_migrant
Brant,vagrant,irregular,0.026068,0.0,0.0,2,1,1-47,winter,No,low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.014553,0.0,0.0,26,2,5-10;12-40,winter|summer,Yes,classic_bimodal
Canada Goose,resident,year-round,0.613724,0.19722,0.3213,48,0,,,No,seasonal_variation
Mute Swan,single-season,winter,0.097068,0.004054,0.0418,48,2,18-21;26-33,summer|summer,No,overwintering|two_summer_valleys_merged
Trumpeter Swan,two-passage-migrant,two-passage,0.017553,0.0,0.0,46,3,3-6;22-35;41-45,winter|summer|winter,No,three_valley_migrant
Tundra Swan,two-passage-migrant,two-passage,0.022851,0.0,0.0,25,2,0-6;12-39,winter|summer,Yes,classic_bimodal
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.187731,0.000556,0.003,48,1,41-8,winter,No,
Mandarin Duck,vagrant,irregular,0.001058,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Blue-winged Teal,two-passage-migrant,two-passage,0.066699,0.0,0.0,32,2,18-31;38-10,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.035035,0.0,0.0,38,2,0-3;16-33,winter|summer,Yes,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.048041,0.0,0.0,36,2,0-8;15-35,winter|summer,Yes,classic_bimodal
Eurasian Wigeon,vagrant,irregular,0.006238,0.0,0.0,1,1,14-12,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.037359,0.0,0.0,33,2,16-32;44-7,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.523578,0.1443,0.2756,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.074581,0.0,0.0,43,1,13-33,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.017748,0.0,0.0,32,3,1-6;14-35;40-43,winter|summer|winter,Yes,three_valley_migrant
Green-winged Teal,two-passage-migrant,two-passage,0.058129,0.0,0.0,35,2,15-31;42-7,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.048241,0.0,0.0,29,2,1-6;15-37,winter|summer,No,classic_bimodal
Redhead,single-season,winter,0.078709,0.0,0.0,34,1,15-35,summer,Yes,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.079797,0.0,0.0,39,2,0-6;16-35,winter|summer,No,classic_bimodal
