species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,September 22-30,November 15-21,December 15-21,,,,,
Ross's Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,March 22-31,November 15-21,November 22-30,November 22-30,,,,,
Graylag Goose,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,February 8-14,December 8-14
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 8-14,March 8-14,October 15-21,October 15-21,October 15-21,,,,,
Brant,vagrant,irregular,irregular,,January 1-7,,,,,,,,,,,January 1-7,January 1-7
Cackling Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,March 22-31,November 8-14,November 15-21,February 1-7,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,single-season,winter,,,,,,,,,,,September 15-21,November 8-14,May 8-14,,
Trumpeter Swan,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,June 8-14,October 1-7,November 1-7,November 1-7,,,,,
Tundra Swan,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,March 22-31,November 1-7,December 1-7,December 22-31,,,,,
Muscovy Duck,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,December 15-21
Wood Duck,single-season,summer,,March 8-14,May 1-7,November 1-7,,,,,,,,,,,
Mandarin Duck,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,March 15-21,March 15-21
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,May 8-14,September 1-7,October 1-7,October 8-14,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,February 1-7,April 1-7,April 22-30,September 15-21,November 15-21,December 8-14,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,March 8-14,April 8-14,April 15-21,October 1-7,October 22-31,December 8-14,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,April 8-14,April 8-14
American Wigeon,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,September 8-14,October 15-21,November 8-14,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 15-21,February 1-7,April 1-7,,
Northern Pintail,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,April 8-14,October 1-7,October 8-14,October 22-31,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 1-7,April 8-14,April 15-21,September 1-7,October 15-21,November 8-14,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,October 15-21,November 15-21,November 15-21,,,,,
Redhead,single-season,winter,,,,,,,,,,,October 1-7,March 22-31,April 15-21,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,October 1-7,November 1-7,December 1-7,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,February 1-7,March 22-31,April 15-21,October 15-21,November 1-7,November 15-21,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,April 22-30,October 8-14,October 22-31,December 15-21,,,,,
Surf Scoter,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,April 1-7,October 8-14,November 8-14,December 8-14,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,February 8-14,February 8-14,February 8-14,October 15-21,October 15-21,November 15-21,,,,,
Black Scoter,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,April 15-21,November 22-30
Long-tailed Duck,two-passage-migrant,two-passage,,,,,January 22-31,February 1-7,February 1-7,October 15-21,October 15-21,October 15-21,,,,,
Bufflehead,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,October 22-31,November 8-14,December 15-21,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 22-31,February 1-7,April 1-7,,
Hooded Merganser,single-season,winter,,,,,,,,,,,October 15-21,November 8-14,April 22-30,,
Common Merganser,single-season,winter,,,,,,,,,,,November 15-21,February 1-7,April 8-14,,
Red-breasted Merganser,two-passage-migrant,two-passage,,,,,March 8-14,March 22-31,April 22-30,November 8-14,November 8-14,December 8-14,,,,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,April 22-30,September 22-30,October 15-21,December 1-7,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,July 8-14,July 15-21
Northern Bobwhite,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,January 1-7,October 22-31
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,February 1-7,November 15-21
Ring-necked Pheasant,resident,year-round,year-round,,,,,,,,,,,,,,
Red Junglefowl,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,,
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,January 1-7,December 22-31
White-winged Dove,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 8-14,May 22-31,September 22-30,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 8-14,May 22-31,September 15-21,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 8-14,September 1-7,September 22-30,,,,,,,,,,,
Eastern Whip-poor-will,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Chimney Swift,single-season,summer,,May 1-7,August 1-7,October 1-7,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,August 22-31,September 22-30,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,September 22-30,December 1-7
King Rail,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,,
Virginia Rail,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,May 8-14,August 15-21,August 15-21,August 15-21,,,,,
Sora,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,June 15-21,August 8-14,August 15-21,September 1-7,,,,,
Common Gallinule,single-season,summer,,June 1-7,September 1-7,October 1-7,,,,,,,,,,,
American Coot,two-passage-migrant,two-passage,,,,,March 8-14,April 8-14,April 22-30,October 1-7,November 8-14,December 22-31,,,,,
Yellow Rail,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 1-7,May 8-14
Sandhill Crane,single-season,summer,,February 15-21,October 1-7,December 1-7,,,,,,,,,,,
Whooping Crane,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 15-21,October 22-31
American Avocet,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,April 8-14,November 8-14
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 15-21,September 8-14,September 15-21,September 22-30,,,,,
American Golden-Plover,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 1-7,September 22-30
Killdeer,single-season,summer,,February 22-28,October 1-7,November 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,August 1-7,August 8-14,August 22-31,,,,,
Upland Sandpiper,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,June 22-30
Hudsonian Whimbrel,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Marbled Godwit,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,June 1-7
Short-billed Dowitcher,single-season,summer,,July 8-14,July 8-14,August 8-14,,,,,,,,,,,
Long-billed Dowitcher,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,September 15-21
American Woodcock,single-season,winter,,,,,,,,,,,March 1-7,March 15-21,April 15-21,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 1-7,September 8-14,October 15-21,October 22-31,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,August 15-21
Red-necked Phalarope,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 8-14,September 15-21
Spotted Sandpiper,single-season,summer,,April 15-21,May 8-14,October 1-7,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 15-21,July 8-14,July 22-31,September 15-21,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 15-21,July 8-14,August 15-21,September 22-30,,,,,
Willet,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,April 22-30,August 22-31
