species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.007254,0.0,0.0,1,1,21-19,winter,No,low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.009804,0.0,0.0,20,2,11-34;39-6,summer|winter,No,classic_bimodal
Ross's Goose,vagrant,irregular,0.018092,0.0,0.0,3,1,9-7,winter,No,low_annual_presence
Graylag Goose,vagrant,irregular,0.0003,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Swan Goose,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.009058,0.0,0.0,6,1,0-45,summer,No,low_annual_presence
Brant,vagrant,irregular,0.002304,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,vagrant,irregular,0.006579,0.0,0.0,8,2,9-35;37-7,summer|winter,No,
Canada Goose,single-season,summer,0.580071,0.022945,0.0396,48,1,1-6,winter,No,
Mute Swan,single-season,winter,0.045113,0.001842,0.0408,48,1,28-31,summer,No,overwintering
Trumpeter Swan,resident,year-round,0.209302,0.066667,0.3185,48,0,,,No,seasonal_variation
Tundra Swan,two-passage-migrant,two-passage,0.040332,0.0,0.0,31,2,3-6;16-37,winter|summer,Yes,classic_bimodal
Muscovy Duck,vagrant,irregular,0.000114,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.246032,0.0,0.0,41,1,39-8,winter,No,
Blue-winged Teal,single-season,summer,0.191906,0.0,0.0,30,1,38-11,winter,No,
Northern Shoveler,two-passage-migrant,two-passage,0.041667,0.0,0.0,27,2,20-28;36-8,summer|winter,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.053333,0.0,0.0,42,3,0-8;19-33;42-45,winter|summer|winter,No,three_valley_migrant
Eurasian Wigeon,vagrant,irregular,0.009023,0.0,0.0,2,1,11-9,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.085302,0.0,0.0,37,2,17-30;39-8,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.519369,0.107937,0.2078,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.127451,0.001401,0.011,48,1,15-26,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.030842,0.0,0.0,37,2,0-6;18-29,winter|summer,Yes,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.119122,0.0,0.0,39,2,21-26;41-9,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.045077,0.0,0.0,30,2,0-7;15-36,winter|summer,Yes,classic_bimodal
Redhead,two-passage-migrant,two-passage,0.223256,0.001397,0.0063,48,2,2-6;17-34,winter|summer,No,classic_bimodal
Ring-necked Duck,two-passage-migrant,two-passage,0.221785,0.000635,0.0029,48,2,17-35;38-8,summer|winter,No,classic_bimodal
Greater Scaup,single-season,winter,0.113548,0.0,0.0,42,1,17-34,summer,No,overwintering
Lesser Scaup,two-passage-migrant,two-passage,0.087782,0.0,0.0,35,3,0-8;19-34;43-46,winter|summer|winter,No,three_valley_migrant
King Eider,vagrant,irregular,0.045,0.0,0.0,2,1,44-42,winter,No,low_annual_presence
Harlequin Duck,two-passage-migrant,two-passage,0.030246,0.0,0.0,11,2,1-8;11-42,winter|summer,Yes,classic_bimodal|low_presence
Surf Scoter,single-season,summer,0.110077,0.0,0.0,21,1,44-35,winter,No,
White-winged Scoter,two-passage-migrant,two-passage,0.12093,0.0,0.0,38,2,2-7;16-36,winter|summer,No,classic_bimodal
Black Scoter,single-season,winter,0.057364,0.0,0.0,15,1,44-37,summer,No,overwintering
Long-tailed Duck,single-season,winter,0.361667,0.0,0.0,43,1,16-38,summer,No,overwintering
Bufflehead,single-season,winter,0.491453,0.0,0.0,38,1,18-37,summer,No,overwintering
Common Goldeneye,single-season,winter,0.304864,0.0,0.0,46,1,16-37,summer,No,overwintering
Hooded Merganser,two-passage-migrant,two-passage,0.219454,0.006083,0.0277,48,2,0-6;17-24,winter|summer,No,classic_bimodal
Common Merganser,resident,year-round,0.385528,0.048807,0.1266,48,0,,,No,seasonal_variation|min_max_near_boundary
Red-breasted Merganser,single-season,winter,0.388333,0.013208,0.034,48,1,21-36,summer,No,overwintering
Ruddy Duck,two-passage-migrant,two-passage,0.012329,0.0,0.0,18,2,4-11;15-47,winter|summer,No,classic_bimodal
Helmeted Guineafowl,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.00829,0.0,0.0,6,1,23-19,winter,No,low_annual_presence
Wild Turkey,resident,year-round,0.114224,0.013954,0.1222,48,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,resident,year-round,0.056671,0.005587,0.0986,48,0,,,No,seasonal_variation|min_max_near_boundary
Ring-necked Pheasant,two-passage-migrant,two-passage,0.006612,0.0,0.0,32,2,3-16;20-47,winter|summer,No,classic_bimodal
Chukar,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.168161,0.026415,0.1571,48,0,,,No,seasonal_variation|min_max_near_boundary
Eurasian Collared-Dove,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency
Common Ground Dove,vagrant,irregular,0.012821,0.0,0.0,3,1,42-40,winter,No,low_annual_presence
White-winged Dove,vagrant,irregular,0.014528,0.0,0.0,5,2,19-25;27-16,summer|winter,No,low_annual_presence
Mourning Dove,resident,year-round,0.59375,0.253333,0.4267,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.036859,0.0,0.0,23,1,38-17,winter,No,
Black-billed Cuckoo,single-season,summer,0.053977,0.0,0.0,19,1,34-16,winter,No,
Common Nighthawk,single-season,summer,0.07919,0.0,0.0,19,1,33-16,winter,No,
Chuck-will's-widow,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Whip-poor-will,two-passage-migrant,two-passage,0.036299,0.0,0.0,23,2,28-31;34-15,summer|winter,No,classic_bimodal
White-collared Swift,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Chimney Swift,single-season,summer,0.160219,0.0,0.0,22,1,32-15,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.402253,0.0,0.0,23,1,35-15,winter,No,
