species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,June 1-7
Snow Goose,two-passage-migrant,two-passage,,,,,February 22-28,February 22-28,March 15-21,September 22-30,September 22-30,September 22-30,,,,,
Ross's Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,March 22-31
Graylag Goose,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,,
Swan Goose,vagrant,irregular,irregular,,January 1-7,,,,,,,,,,,January 1-7,January 1-7
Greater White-fronted Goose,vagrant,irregular,irregular,,December 15-21,,,,,,,,,,,April 8-14,December 22-31
Brant,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,November 1-7,November 1-7
Cackling Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,October 8-14
Canada Goose,single-season,summer,,February 22-28,March 22-31,January 1-7,,,,,,,,,,,
Mute Swan,single-season,winter,,,,,,,,,,,September 1-7,March 15-21,July 22-31,,
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,October 15-21,December 8-14,December 22-31,,,,,
Muscovy Duck,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,,
Wood Duck,single-season,summer,,March 8-14,October 1-7,October 15-21,,,,,,,,,,,
Blue-winged Teal,single-season,summer,,April 1-7,August 22-31,October 8-14,,,,,,,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 8-14,April 22-30,May 22-31,August 8-14,September 8-14,September 22-30,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,March 8-14,April 22-30,May 15-21,September 15-21,October 22-31,November 8-14,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,March 15-21,March 22-31
American Wigeon,two-passage-migrant,two-passage,,,,,March 8-14,April 8-14,May 1-7,August 22-31,October 1-7,October 15-21,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,July 22-31,February 22-28,April 15-21,,
Northern Pintail,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,May 8-14,August 15-21,October 15-21,November 8-14,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,June 1-7,July 22-31,September 1-7,November 1-7,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 15-21,October 8-14,November 1-7,December 22-31,,,,,
Redhead,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,May 1-7,September 22-30,October 22-31,January 8-14,,,,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,March 8-14,April 8-14,May 1-7,October 1-7,October 8-14,October 8-14,,,,,
Greater Scaup,single-season,winter,,,,,,,,,,,September 22-30,April 15-21,May 1-7,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,March 8-14,March 22-31,May 15-21,September 22-30,October 22-31,November 15-21,,,,,
King Eider,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,November 22-30,December 1-7
Harlequin Duck,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 15-21,November 22-30,December 8-14,January 1-7,,,,,
Surf Scoter,single-season,summer,,October 1-7,October 22-31,November 22-30,,,,,,,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 8-14,October 8-14,October 22-31,December 22-31,,,,,
Black Scoter,single-season,winter,,,,,,,,,,,October 15-21,October 22-31,November 22-30,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,October 22-31,November 22-30,April 22-30,,
Bufflehead,single-season,winter,,,,,,,,,,,October 15-21,November 8-14,May 8-14,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 15-21,March 22-31,April 22-30,,
Hooded Merganser,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,May 1-7,July 8-14,November 15-21,December 22-31,,,,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,October 8-14,November 22-30,June 1-7,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,April 15-21,January 22-31,January 22-31,January 22-31,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
Northern Bobwhite,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,May 22-31,June 15-21
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,resident,year-round,year-round,,,,,,,,,,,,,,
Ring-necked Pheasant,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,May 22-31,January 1-7,January 8-14,January 15-21,,,,,
Chukar,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,April 8-14,October 1-7
Common Ground Dove,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 1-7,November 15-21
White-winged Dove,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,November 8-14
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 15-21,June 15-21,October 8-14,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 8-14,June 22-30,September 8-14,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 8-14,August 15-21,September 1-7,,,,,,,,,,,
Chuck-will's-widow,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Eastern Whip-poor-will,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,July 22-31,September 1-7,September 8-14,September 8-14,,,,,
White-collared Swift,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Chimney Swift,single-season,summer,,May 1-7,May 15-21,August 22-31,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 1-7,May 15-21,September 15-21,,,,,,,,,,,
King Rail,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,May 15-21,June 1-7
Virginia Rail,single-season,summer,,April 15-21,May 15-21,September 22-30,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,April 22-30,May 15-21,June 22-30,September 8-14,September 8-14,September 15-21,,,,,
Common Gallinule,single-season,summer,,April 22-30,August 1-7,September 22-30,,,,,,,,,,,
American Coot,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,January 1-7,December 22-31
Purple Gallinule,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,June 1-7
Sandhill Crane,single-season,summer,,March 8-14,September 8-14,October 22-31,,,,,,,,,,,
Whooping Crane,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,March 15-21,March 15-21
American Avocet,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,October 8-14,November 15-21
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,June 1-7,August 15-21,September 22-30,November 1-7,,,,,
American Golden-Plover,single-season,summer,,September 8-14,September 22-30,October 15-21,,,,,,,,,,,
Killdeer,single-season,summer,,March 8-14,May 15-21,October 8-14,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 1-7,July 22-31,August 22-31,October 1-7,,,,,
Piping Plover,single-season,summer,,April 22-30,June 1-7,September 1-7,,,,,,,,,,,
Southern Lapwing,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,June 22-30,December 22-31
Wilson's Plover,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Upland Sandpiper,single-season,summer,,May 1-7,June 22-30,August 1-7,,,,,,,,,,,
