species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.027698,0.0,0.0,2,1,40-38,winter,No,low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.060224,0.0,0.0,24,2,1-6;8-34,winter|summer,Yes,classic_bimodal
Ross's Goose,two-passage-migrant,two-passage,0.035014,0.0,0.0,16,2,2-10;12-41,winter|summer,No,classic_bimodal
Graylag Goose,vagrant,irregular,0.002308,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,two-passage-migrant,two-passage,0.031606,0.0,0.0,20,2,1-6;10-42,winter|summer,Yes,classic_bimodal
Cackling Goose,two-passage-migrant,two-passage,0.036052,0.0,0.0,27,2,1-6;13-35,winter|summer,Yes,classic_bimodal
Canada Goose,resident,year-round,0.630592,0.069444,0.1101,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.269138,0.042969,0.1597,48,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,single-season,winter,0.079595,0.003736,0.0469,48,1,26-32,summer,No,overwintering
Tundra Swan,two-passage-migrant,two-passage,0.028384,0.0,0.0,28,2,1-5;13-38,winter|summer,Yes,classic_bimodal
Egyptian Goose,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Muscovy Duck,vagrant,irregular,0.021012,0.0,0.0,16,1,41-38,winter,No,low_annual_presence
Wood Duck,single-season,summer,0.272977,0.000742,0.0027,48,1,43-7,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.134807,0.0,0.0,33,2,17-32;40-9,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.145883,0.0,0.0,37,2,0-7;15-35,winter|summer,No,classic_bimodal
Gadwall,two-passage-migrant,two-passage,0.164512,0.0,0.0,32,2,1-6;15-35,winter|summer,Yes,classic_bimodal
Eurasian Wigeon,vagrant,irregular,0.012561,0.0,0.0,1,1,10-8,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.117478,0.0,0.0,35,2,15-35;44-6,summer|winter,Yes,classic_bimodal
Mallard,resident,year-round,0.462687,0.080556,0.1741,48,0,,,No,seasonal_variation|min_max_near_boundary
American Black Duck,single-season,winter,0.11288,0.0,0.0,40,1,14-34,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.075366,0.0,0.0,34,2,16-34;44-4,summer|winter,Yes,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.113855,0.0,0.0,36,2,17-32;43-6,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.111633,0.0,0.0,34,2,0-5;15-36,winter|summer,Yes,classic_bimodal
Redhead,single-season,winter,0.119859,0.0,0.0,31,1,14-35,summer,Yes,overwintering
Ring-necked Duck,two-passage-migrant,two-passage,0.277323,0.0,0.0,34,2,0-6;16-35,winter|summer,Yes,classic_bimodal
Greater Scaup,two-passage-migrant,two-passage,0.030769,0.0,0.0,26,2,0-4;15-36,winter|summer,No,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.150443,0.0,0.0,34,2,0-6;16-36,winter|summer,Yes,classic_bimodal
Harlequin Duck,vagrant,irregular,0.050644,0.0,0.0,27,1,10-42,summer,Yes,overwintering|low_annual_presence
Surf Scoter,two-passage-migrant,two-passage,0.008596,0.0,0.0,10,2,15-38;43-13,summer|winter,No,classic_bimodal|low_presence
White-winged Scoter,two-passage-migrant,two-passage,0.016435,0.0,0.0,13,2,0-8;10-42,winter|summer,No,classic_bimodal|low_presence
Black Scoter,vagrant,irregular,0.019608,0.0,0.0,5,1,0-40,summer,No,
Long-tailed Duck,single-season,winter,0.017284,0.0,0.0,11,1,1-43,summer,No,overwintering|low_presence
Bufflehead,two-passage-migrant,two-passage,0.371208,0.0,0.0,28,2,0-6;16-39,winter|summer,Yes,classic_bimodal
Common Goldeneye,single-season,winter,0.123846,0.0,0.0,26,1,13-39,summer,Yes,overwintering
Hooded Merganser,two-passage-migrant,two-passage,0.208683,0.002079,0.01,48,2,1-5;15-37,winter|summer,No,classic_bimodal
Common Merganser,vagrant,irregular,0.191905,0.0,0.0,38,3,0-5;15-25;27-43,winter|summer|summer,No,three_valleys_irregular
Red-breasted Merganser,two-passage-migrant,two-passage,0.087134,0.0,0.0,29,2,15-42;44-7,summer|winter,No,classic_bimodal
Ruddy Duck,two-passage-migrant,two-passage,0.164279,0.0,0.0,43,2,0-8;16-34,winter|summer,No,classic_bimodal
Helmeted Guineafowl,vagrant,irregular,0.000756,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.002075,0.0,0.0,13,1,0-47,winter,No,low_peak_frequency|low_presence
Wild Turkey,resident,year-round,0.109069,0.031659,0.2903,48,0,,,No,seasonal_variation
Ruffed Grouse,vagrant,irregular,0.003023,0.0,0.0,20,1,0-47,winter,No,low_peak_frequency
Ring-necked Pheasant,single-season,winter,0.041237,0.002743,0.0665,48,1,30-34,summer,No,overwintering
Indian Peafowl,vagrant,irregular,0.002418,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.075641,0.015873,0.2098,48,0,,,No,seasonal_variation
Mourning Dove,resident,year-round,0.591797,0.219547,0.371,48,0,,,No,seasonal_variation
Yellow-billed Cuckoo,single-season,summer,0.093771,0.0,0.0,23,1,35-16,winter,No,
Black-billed Cuckoo,single-season,summer,0.034223,0.0,0.0,19,1,35-16,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.030303,0.0,0.0,19,2,23-28;36-16,summer|winter,No,classic_bimodal
Chuck-will's-widow,single-season,summer,0.049281,0.0,0.0,14,1,29-16,winter,No,low_presence
Eastern Whip-poor-will,single-season,summer,0.054757,0.0,0.0,17,1,30-16,winter,No,
Chimney Swift,single-season,summer,0.118123,0.0,0.0,24,1,37-14,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.374161,0.0,0.0,25,1,37-16,winter,No,
Rufous Hummingbird,vagrant,irregular,0.041485,0.0,0.0,1,1,42-40,winter,No,low_annual_presence
King Rail,vagrant,irregular,0.000684,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Virginia Rail,single-season,summer,0.024681,0.0,0.0,27,1,31-12,winter,No,
Sora,vagrant,irregular,0.047301,0.0,0.0,24,3,22-26;28-32;34-13,summer|summer|winter,No,three_valleys_irregular
Common Gallinule,two-passage-migrant,two-passage,0.018006,0.0,0.0,24,2,23-28;36-12,summer|winter,No,classic_bimodal
American Coot,two-passage-migrant,two-passage,0.204465,0.0,0.0,43,2,0-8;15-34,winter|summer,No,classic_bimodal
Yellow Rail,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black Rail,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Limpkin,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,resident,year-round,0.487699,0.043059,0.0883,48,0,,,No,seasonal_variation|min_max_near_boundary
Whooping Crane,vagrant,irregular,0.040393,0.0,0.0,19,2,15-36;44-13,summer|winter,No,classic_bimodal|low_annual_presence
Black-necked Stilt,vagrant,irregular,0.000713,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-bellied Plover,vagrant,irregular,0.0015,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Golden-Plover,vagrant,irregular,0.012618,0.0,0.0,6,1,37-31,winter,No,low_annual_presence
Killdeer,single-season,summer,0.232087,0.0,0.0,39,1,41-6,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.037793,0.0,0.0,13,2,20-28;35-15,summer|winter,No,classic_bimodal|low_presence
Piping Plover,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Upland Sandpiper,vagrant,irregular,0.004245,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Short-billed Dowitcher,two-passage-migrant,two-passage,0.018692,0.0,0.0,11,2,18-33;35-16,summer|winter,No,classic_bimodal|low_presence
Long-billed Dowitcher,vagrant,irregular,0.005515,0.0,0.0,2,1,17-15,winter,No,low_annual_presence
American Woodcock,two-passage-migrant,two-passage,0.032468,0.0,0.0,34,2,22-37;40-6,summer|winter,No,classic_bimodal
Wilson's Snipe,two-passage-migrant,two-passage,0.071656,0.0,0.0,35,2,17-29;42-10,summer|winter,No,classic_bimodal
Wilson's Phalarope,vagrant,irregular,0.005854,0.0,0.0,2,1,18-16,winter,No,low_annual_presence
Red-necked Phalarope,vagrant,irregular,0.012461,0.0,0.0,3,1,35-33,winter,No,low_annual_presence
Spotted Sandpiper,single-season,summer,0.058542,0.0,0.0,23,1,32-14,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.114887,0.0,0.0,22,2,18-25;35-14,summer|winter,No,classic_bimodal
Lesser Yellowlegs,two-passage-migrant,two-passage,0.064453,0.0,0.0,29,2,19-26;40-10,summer|winter,No,classic_bimodal
Willet,vagrant,irregular,0.000613,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater Yellowlegs,two-passage-migrant,two-passage,0.0631,0.0,0.0,28,2,18-28;41-10,summer|winter,No,classic_bimodal
Ruddy Turnstone,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Stilt Sandpiper,vagrant,irregular,0.020505,0.0,0.0,9,1,38-29,winter,No,
Sanderling,vagrant,irregular,0.001678,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Dunlin,two-passage-migrant,two-passage,0.022676,0.0,0.0,14,2,20-36;40-14,summer|winter,No,classic_bimodal|low_presence
Baird's Sandpiper,vagrant,irregular,0.019531,0.0,0.0,3,1,31-29,winter,No,low_annual_presence
White-rumped Sandpiper,vagrant,irregular,0.011338,0.0,0.0,2,1,19-17,winter,No,low_annual_presence
Least Sandpiper,two-passage-migrant,two-passage,0.050781,0.0,0.0,17,2,20-24;35-14,summer|winter,No,classic_bimodal
Pectoral Sandpiper,two-passage-migrant,two-passage,0.043614,0.0,0.0,24,2,17-27;40-10,summer|winter,No,classic_bimodal
Semipalmated Sandpiper,two-passage-migrant,two-passage,0.015625,0.0,0.0,17,2,20-28;34-16,summer|winter,No,classic_bimodal
Little Gull,vagrant,irregular,0.010592,0.0,0.0,1,1,12-10,winter,No,low_annual_presence
Bonaparte's Gull,two-passage-migrant,two-passage,0.130435,0.0,0.0,33,2,0-10;15-37,winter|summer,Yes,classic_bimodal
Franklin's Gull,vagrant,irregular,0.001401,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ring-billed Gull,two-passage-migrant,two-passage,0.345938,0.005476,0.0158,48,2,1-6;12-25,winter|summer,No,classic_bimodal
American Herring Gull,two-passage-migrant,two-passage,0.111111,0.0,0.0,39,2,2-7;10-37,winter|summer,No,classic_bimodal
Great Black-backed Gull,vagrant,irregular,0.000934,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Glaucous Gull,vagrant,irregular,0.011111,0.0,0.0,5,1,0-43,summer,No,low_annual_presence
Lesser Black-backed Gull,vagrant,irregular,0.0103,0.0,0.0,6,1,0-41,summer,No,low_annual_presence
Caspian Tern,vagrant,irregular,0.004149,0.0,0.0,16,1,0-47,winter,No,low_peak_frequency
