species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,November 1-7
Snow Goose,two-passage-migrant,two-passage,,,,,February 22-28,February 22-28,February 22-28,September 22-30,November 15-21,January 1-7,,,,,
Ross's Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,March 22-31,November 15-21,November 15-21,November 15-21,,,,,
Graylag Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 1-7,November 15-21
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,March 8-14,November 22-30,December 8-14,January 1-7,,,,,
Cackling Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 1-7,April 1-7,October 1-7,November 22-30,January 1-7,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,September 8-14,October 15-21,July 8-14,,
Tundra Swan,two-passage-migrant,two-passage,,,,,February 15-21,March 1-7,April 1-7,October 22-31,November 8-14,December 1-7,,,,,
Egyptian Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,March 8-14
Muscovy Duck,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,January 1-7,December 1-7
Wood Duck,single-season,summer,,March 1-7,October 8-14,November 15-21,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,May 1-7,September 8-14,October 1-7,October 22-31,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 15-21,October 1-7,November 1-7,December 8-14,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,October 1-7,November 1-7,January 1-7,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,March 8-14
American Wigeon,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,October 1-7,October 22-31,November 22-30,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 22-30,October 15-21,April 8-14,,
Northern Pintail,two-passage-migrant,two-passage,,,,,February 8-14,March 8-14,April 22-30,September 22-30,October 22-31,November 22-30,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,May 1-7,September 8-14,October 8-14,November 15-21,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,February 15-21,March 15-21,April 15-21,October 8-14,November 1-7,December 22-31,,,,,
Redhead,single-season,winter,,,,,,,,,,,October 1-7,November 1-7,April 8-14,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,October 1-7,October 22-31,December 22-31,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,February 8-14,March 1-7,April 15-21,October 8-14,October 22-31,December 8-14,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,April 22-30,October 8-14,November 1-7,December 8-14,,,,,
Harlequin Duck,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,January 1-7,December 22-31
Surf Scoter,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,April 15-21,October 22-31,October 22-31,November 15-21,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,November 22-30,December 8-14,December 15-21,,,,,
Black Scoter,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 1-7,December 1-7
Long-tailed Duck,single-season,winter,,,,,,,,,,,December 1-7,December 1-7,January 1-7,,
Bufflehead,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,November 1-7,November 15-21,December 15-21,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 1-7,March 1-7,April 1-7,,
