species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 1-7,March 8-14,October 1-7,November 8-14,November 22-30,,,,,
Ross's Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 1-7,October 8-14,October 22-31,October 22-31,,,,,
Graylag Goose,vagrant,irregular,irregular,,January 22-31,,,,,,,,,,,,
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,February 22-28,March 1-7,March 8-14,October 22-31,November 1-7,December 22-31,,,,,
Brant,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 1-7,October 1-7
Cackling Goose,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,October 1-7,December 15-21,December 22-31,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,May 1-7,December 1-7
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 8-14,November 8-14,March 22-31,,
Muscovy Duck,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,October 1-7,October 1-7
Wood Duck,single-season,summer,,March 8-14,April 22-30,November 8-14,,,,,,,,,,,
Mandarin Duck,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 1-7,October 15-21
Blue-winged Teal,single-season,summer,,March 22-31,April 15-21,May 8-14,,,,,,,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 1-7,March 8-14,April 22-30,October 15-21,November 1-7,December 15-21,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 1-7,March 8-14,April 22-30,,
Eurasian Wigeon,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,,
American Wigeon,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,April 8-14,September 22-30,October 15-21,December 8-14,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,October 1-7,November 1-7,April 8-14,,
Northern Pintail,single-season,winter,,,,,,,,,,,October 1-7,March 8-14,April 8-14,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 22-30,September 1-7,October 15-21,December 1-7,,,,,
Canvasback,single-season,winter,,,,,,,,,,,October 15-21,November 8-14,April 1-7,,
Redhead,single-season,winter,,,,,,,,,,,October 8-14,November 15-21,April 15-21,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,October 1-7,April 1-7,April 22-30,,
Greater Scaup,single-season,winter,,,,,,,,,,,October 15-21,January 8-14,April 22-30,,
Lesser Scaup,single-season,winter,,,,,,,,,,,October 8-14,April 1-7,May 1-7,,
Surf Scoter,two-passage-migrant,two-passage,,,,,April 1-7,April 1-7,April 1-7,October 15-21,October 22-31,December 1-7,,,,,
White-winged Scoter,single-season,winter,,,,,,,,,,,October 22-31,October 22-31,February 8-14,,
Black Scoter,two-passage-migrant,two-passage,,,,,December 22-31,January 8-14,January 8-14,October 22-31,November 15-21,November 15-21,,,,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,November 1-7,January 8-14,January 8-14,,
Bufflehead,single-season,winter,,,,,,,,,,,October 22-31,November 15-21,April 22-30,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 8-14,January 8-14,April 1-7,,
Barrow's Goldeneye,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,January 1-7,December 22-31
Smew,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,December 22-31,December 22-31
Hooded Merganser,single-season,winter,,,,,,,,,,,October 22-31,November 15-21,April 8-14,,
Common Merganser,single-season,winter,,,,,,,,,,,November 22-30,January 8-14,April 1-7,,
Red-breasted Merganser,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,April 22-30,October 15-21,January 8-14,January 15-21,,,,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,April 22-30,October 1-7,November 8-14,December 15-21,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,March 15-21,March 15-21
Northern Bobwhite,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,March 15-21,October 22-31
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,vagrant,irregular,irregular,,December 8-14,,,,,,,,,,,April 1-7,December 8-14
Ring-necked Pheasant,single-season,summer,,March 22-31,May 22-31,June 1-7,,,,,,,,,,,
Indian Peafowl,vagrant,irregular,irregular,,February 15-21,,,,,,,,,,,February 15-21,February 15-21
Chukar,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,October 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,January 1-7,July 15-21
White-winged Dove,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,July 1-7,July 8-14
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 8-14,June 1-7,August 1-7,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 8-14,May 22-31,June 22-30,,,,,,,,,,,
Common Nighthawk,two-passage-migrant,two-passage,,,,,May 8-14,May 22-31,June 1-7,August 15-21,August 22-31,September 15-21,,,,,
Chuck-will's-widow,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,July 22-31
Eastern Whip-poor-will,single-season,summer,,April 15-21,April 15-21,April 15-21,,,,,,,,,,,
Chimney Swift,single-season,summer,,April 22-30,May 15-21,September 22-30,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 1-7,August 22-31,September 22-30,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 1-7,December 1-7
King Rail,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,February 1-7,February 1-7
Virginia Rail,two-passage-migrant,two-passage,,,,,April 8-14,May 1-7,July 22-31,December 15-21,December 15-21,December 15-21,,,,,
Sora,single-season,summer,,April 15-21,May 1-7,May 22-31,,,,,,,,,,,
Common Gallinule,single-season,summer,,April 22-30,September 1-7,October 8-14,,,,,,,,,,,
American Coot,single-season,winter,,,,,,,,,,,September 22-30,November 1-7,April 22-30,,
Sandhill Crane,resident,year-round,year-round,,,,,,,,,,,,,,
American Avocet,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,October 22-31
Black-bellied Plover,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,August 15-21,November 1-7
American Golden-Plover,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 1-7,October 8-14
Killdeer,single-season,summer,,February 22-28,August 1-7,November 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 15-21,July 22-31,August 1-7,September 1-7,,,,,
Upland Sandpiper,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,July 15-21,July 15-21
Hudsonian Whimbrel,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 15-21,August 15-21
Short-billed Dowitcher,vagrant,irregular,irregular,,August 1-7,,,,,,,,,,,May 8-14,September 1-7
Long-billed Dowitcher,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,September 15-21,October 15-21
American Woodcock,single-season,summer,,February 22-28,April 8-14,July 8-14,,,,,,,,,,,
Wilson's Snipe,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,March 8-14,November 15-21
Wilson's Phalarope,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,October 15-21
