species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.006825,0.0,0.0,22,2,0-10;12-45,winter|summer,No,classic_bimodal
Ross's Goose,vagrant,irregular,0.009825,0.0,0.0,8,1,13-10,winter,No,
Graylag Goose,vagrant,irregular,0.008455,0.0,0.0,43,3,2-27;32-35;37-47,summer|summer|winter,No,three_valleys_irregular|low_annual_presence
Greater White-fronted Goose,single-season,winter,0.006905,0.0,0.0,11,1,13-7,summer,No,overwintering|low_presence
Brant,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,single-season,summer,0.005996,0.0,0.0,19,1,37-35,winter,No,
Canada Goose,resident,year-round,0.577238,0.090478,0.1567,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.216157,0.058019,0.2684,48,0,,,No,seasonal_variation
Black Swan,vagrant,irregular,0.004428,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Trumpeter Swan,single-season,winter,0.015014,0.0,0.0,46,1,15-46,summer,No,overwintering
Tundra Swan,two-passage-migrant,two-passage,0.036686,0.0,0.0,30,2,3-7;12-38,winter|summer,Yes,classic_bimodal
Muscovy Duck,vagrant,irregular,0.000985,0.0,0.0,10,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Wood Duck,single-season,summer,0.160546,0.004036,0.0251,48,1,43-7,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.08991,0.0,0.0,40,2,18-32;34-10,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.058192,0.0,0.0,42,2,0-8;17-38,winter|summer,No,classic_bimodal
Gadwall,single-season,winter,0.045033,0.0,0.0,38,1,16-37,summer,Yes,overwintering
American Wigeon,two-passage-migrant,two-passage,0.033409,0.0,0.0,38,2,16-34;43-47,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.541847,0.139867,0.2581,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.029396,0.001074,0.0365,48,1,17-24,summer,No,overwintering
Northern Pintail,single-season,winter,0.014438,0.0,0.0,37,1,11-43,summer,Yes,overwintering
Green-winged Teal,single-season,winter,0.027983,0.0,0.0,43,1,16-29,summer,Yes,overwintering
