species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,March 22-31,December 15-21,December 15-21,December 22-31,,,,,
Ross's Goose,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,March 22-31,December 8-14
Graylag Goose,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,January 1-7,December 1-7
Greater White-fronted Goose,single-season,winter,,,,,,,,,,,March 1-7,March 1-7,April 1-7,,
Brant,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 8-14,November 8-14
Cackling Goose,single-season,summer,,October 1-7,October 1-7,October 1-7,,,,,,,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 15-21
Trumpeter Swan,single-season,winter,,,,,,,,,,,December 22-31,January 15-21,April 15-21,,
Tundra Swan,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 22-31,October 22-31,November 15-21,January 15-21,,,,,
Muscovy Duck,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,,
Wood Duck,single-season,summer,,March 1-7,May 1-7,November 15-21,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 8-14,September 8-14,September 8-14,September 8-14,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 8-14,April 15-21,May 1-7,October 22-31,December 1-7,December 15-21,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 15-21,April 1-7,April 22-30,,
American Wigeon,two-passage-migrant,two-passage,,,,,January 8-14,March 8-14,April 22-30,September 22-30,October 22-31,November 1-7,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,July 8-14,January 1-7,May 1-7,,
Northern Pintail,single-season,winter,,,,,,,,,,,December 1-7,March 1-7,March 15-21,,
Green-winged Teal,single-season,winter,,,,,,,,,,,August 15-21,April 8-14,April 22-30,,
Canvasback,single-season,winter,,,,,,,,,,,October 15-21,March 22-31,April 15-21,,
Redhead,single-season,winter,,,,,,,,,,,September 22-30,March 8-14,April 22-30,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,May 1-7,October 8-14,November 1-7,November 22-30,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,January 1-7,March 8-14,April 8-14,October 22-31,October 22-31,October 22-31,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 1-7,April 8-14,May 8-14,October 15-21,November 1-7,December 8-14,,,,,
Harlequin Duck,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,February 15-21
Surf Scoter,single-season,summer,,October 15-21,October 15-21,November 1-7,,,,,,,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,February 1-7,February 1-7,February 1-7,October 22-31,October 22-31,November 8-14,,,,,
Black Scoter,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,October 15-21,December 1-7
Long-tailed Duck,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,January 1-7,February 1-7,February 1-7,,,,,
Bufflehead,two-passage-migrant,two-passage,,,,,March 1-7,April 8-14,May 1-7,October 22-31,November 8-14,December 8-14,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 15-21,February 1-7,April 8-14,,
Barrow's Goldeneye,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,March 8-14
Hooded Merganser,single-season,winter,,,,,,,,,,,October 22-31,March 8-14,April 22-30,,
Common Merganser,single-season,winter,,,,,,,,,,,November 15-21,March 8-14,April 15-21,,
Red-breasted Merganser,single-season,summer,,March 1-7,April 1-7,April 22-30,,,,,,,,,,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 8-14,September 22-30,November 1-7,December 22-31,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 22-31,May 1-7
Northern Bobwhite,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 22-30,August 22-31
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,January 15-21,December 22-31
Ring-necked Pheasant,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,January 15-21,December 15-21
Silver Pheasant,vagrant,irregular,irregular,,December 8-14,,,,,,,,,,,December 8-14,December 8-14
Indian Peafowl,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,July 22-31
Chukar,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 15-21,May 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,September 1-7,September 8-14
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 15-21,June 1-7,August 8-14,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 8-14,May 22-31,July 1-7,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 15-21,May 22-31,September 15-21,,,,,,,,,,,
Eastern Whip-poor-will,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,May 1-7,October 15-21
Chimney Swift,single-season,summer,,April 22-30,July 22-31,October 1-7,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,August 22-31,September 22-30,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,January 1-7,December 22-31
Virginia Rail,single-season,summer,,April 8-14,May 1-7,September 1-7,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 8-14,September 8-14,September 8-14,September 8-14,,,,,
Common Gallinule,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 8-14,May 15-21
American Coot,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,May 8-14,September 22-30,November 1-7,December 8-14,,,,,
Yellow Rail,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,April 22-30
Sandhill Crane,single-season,summer,,February 22-28,March 8-14,November 8-14,,,,,,,,,,,
Whooping Crane,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 15-21
Black-necked Stilt,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
American Avocet,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,August 8-14
Black-bellied Plover,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,April 22-30,September 22-30
American Golden-Plover,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 1-7
Killdeer,single-season,summer,,March 1-7,April 22-30,November 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,May 8-14,August 1-7,August 22-31,September 1-7,,,,,
Upland Sandpiper,single-season,summer,,June 1-7,June 8-14,June 22-30,,,,,,,,,,,
Hudsonian Whimbrel,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,June 8-14,June 22-30
Marbled Godwit,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,April 22-30
Short-billed Dowitcher,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,May 8-14,August 22-31
Long-billed Dowitcher,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,April 22-30,September 15-21
American Woodcock,single-season,summer,,March 1-7,March 15-21,May 15-21,,,,,,,,,,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 1-7,August 15-21,October 1-7,November 8-14,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 8-14
Spotted Sandpiper,single-season,summer,,April 15-21,July 22-31,October 1-7,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 15-21,July 8-14,August 8-14,October 1-7,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 15-21,July 8-14,August 8-14,October 8-14,,,,,
Willet,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,May 1-7
Greater Yellowlegs,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,August 8-14,September 1-7,October 1-7,,,,,
Ruddy Turnstone,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,June 1-7
Ruff,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,May 1-7
Stilt Sandpiper,vagrant,irregular,irregular,,July 22-31,,,,,,,,,,,July 8-14,September 1-7
Buff-breasted Sandpiper,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,September 1-7,September 8-14
Sanderling,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 15-21
Dunlin,single-season,summer,,May 15-21,May 15-21,May 15-21,,,,,,,,,,,
Baird's Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,October 22-31
White-rumped Sandpiper,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,October 8-14,October 22-31
Least Sandpiper,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,May 15-21,July 8-14,August 8-14,September 8-14,,,,,
Pectoral Sandpiper,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 1-7,July 15-21,August 22-31,October 8-14,,,,,
Semipalmated Sandpiper,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,May 22-31,July 15-21,August 22-31,September 1-7,,,,,
Bonaparte's Gull,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,May 8-14,November 8-14,November 8-14,November 8-14,,,,,
Franklin's Gull,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,April 8-14,October 8-14
Ring-billed Gull,single-season,summer,,February 22-28,November 15-21,January 8-14,,,,,,,,,,,
American Herring Gull,single-season,winter,,,,,,,,,,,August 1-7,December 8-14,May 22-31,,
Great Black-backed Gull,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 1-7,December 22-31
Glaucous Gull,single-season,winter,,,,,,,,,,,December 15-21,December 22-31,January 15-21,,
Lesser Black-backed Gull,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,December 1-7,December 8-14,December 22-31,,,,,
Slaty-backed Gull,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,March 8-14
Iceland Gull,single-season,summer,,December 22-31,December 22-31,December 22-31,,,,,,,,,,,
Caspian Tern,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,May 8-14,August 1-7,August 1-7,August 15-21,,,,,
Black Tern,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 1-7,June 1-7
Forster's Tern,single-season,summer,,April 22-30,May 1-7,May 8-14,,,,,,,,,,,
Arctic Tern,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,,
Common Tern,single-season,summer,,May 8-14,May 8-14,May 8-14,,,,,,,,,,,
Pied-billed Grebe,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,May 1-7,September 8-14,November 1-7,November 22-30,,,,,
Horned Grebe,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,May 1-7,November 1-7,November 15-21,December 15-21,,,,,
