Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Snow Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0012706,0.0,0.0,0.0,0.0014085,0.009009,0.0077864,0.0104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001221,0.0,0.0013055,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0033003,0.0029851,0.0,0.0
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089021,0.0,0.0,0.0,0.0,0.0,0.0
Cackling Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027027,0.0055617,0.0014881,0.0019324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001221,0.0,0.0,0.0,0.0017606,0.0,0.0,0.0,0.0,0.0,0.0,0.0033003,0.0,0.0,0.0
Canada Goose,0.0789793,0.0616822,0.0699153,0.0822981,0.0489796,0.049236,0.0279543,0.0772834,0.1182796,0.2157165,0.3169014,0.3243243,0.3859844,0.3712798,0.3623188,0.3768769,0.3328137,0.267834,0.194537,0.2256792,0.1249174,0.0707143,0.0420842,0.033603,0.0273438,0.0290237,0.0556537,0.0504144,0.0589411,0.0634328,0.0382775,0.0647343,0.0914826,0.1416361,0.196347,0.2101828,0.1584158,0.1056338,0.0936902,0.0886076,0.0596206,0.1364985,0.0953757,0.1260163,0.0627063,0.0656716,0.0543319,0.0583333
Mute Swan,0.0534629,0.046729,0.0466102,0.0776398,0.0387755,0.0458404,0.025413,0.028103,0.0340502,0.0261941,0.0253521,0.0207207,0.0233593,0.0282738,0.0280193,0.0315315,0.0241621,0.0265888,0.0193205,0.0188431,0.0191672,0.015,0.012024,0.0143124,0.0078125,0.0184697,0.0185512,0.0227901,0.007992,0.0049751,0.0047847,0.010628,0.0157729,0.01221,0.0167428,0.0156658,0.0237624,0.0316901,0.0267686,0.0189873,0.0054201,0.0207715,0.017341,0.0223577,0.0264026,0.0149254,0.0337739,0.0283333
Trumpeter Swan,0.0243013,0.0130841,0.0127119,0.0046584,0.0142857,0.0186757,0.0127065,0.0163934,0.0215054,0.0539291,0.056338,0.0558559,0.0812013,0.0602679,0.0676329,0.0908408,0.0779423,0.0557717,0.0373085,0.0613497,0.0568407,0.035,0.0474282,0.0273802,0.028125,0.0334213,0.0362191,0.0338398,0.041958,0.0385572,0.041866,0.0463768,0.033123,0.045177,0.0273973,0.0313316,0.0534653,0.0352113,0.0286807,0.0142405,0.0108401,0.0029674,0.017341,0.0081301,0.0165017,0.0059701,0.0176211,0.01
Tundra Swan,0.0,0.0018692,0.0042373,0.0108696,0.0061224,0.0,0.0,0.0,0.0,0.0061633,0.0183099,0.0144144,0.025584,0.0096726,0.0057971,0.0022523,0.0,0.0,0.0015,0.0004382,0.0006609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001912,0.0,0.0,0.0178042,0.0028902,0.0101626,0.0,0.0,0.0015,0.0015
Muscovy Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood Duck,0.0,0.0,0.0,0.0015528,0.0,0.0016978,0.0,0.0070258,0.0035842,0.0046225,0.0169014,0.0666667,0.10901,0.1369048,0.1352657,0.1238739,0.1122369,0.080415,0.0532978,0.0687993,0.0733642,0.085,0.0915164,0.0914748,0.0875,0.0985048,0.1219081,0.1388122,0.1628372,0.1492537,0.1782297,0.1652174,0.20347,0.1562882,0.130898,0.151436,0.1267327,0.0880282,0.0688337,0.0268987,0.0189702,0.0089021,0.0,0.0,0.0,0.0,0.0,0.0
Blue-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015408,0.0014085,0.0135135,0.0355951,0.0751488,0.1014493,0.1043544,0.0756041,0.0473411,0.0333111,0.0280456,0.0165235,0.01,0.008016,0.0024891,0.0023437,0.0008795,0.0053004,0.0041436,0.008991,0.0074627,0.0167464,0.0183575,0.0268139,0.013431,0.0076104,0.0117493,0.0019802,0.0052817,0.0015,0.0031646,0.00271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
