species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,single-season,summer,,March 22-31,April 8-14,April 8-14,,,,,,,,,,,
Ross's Goose,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,March 22-31,November 8-14
Cackling Goose,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,March 22-31,December 1-7
Canada Goose,single-season,winter,,,,,,,,,,,August 1-7,April 1-7,June 8-14,,
Mute Swan,single-season,winter,,,,,,,,,,,September 1-7,January 22-31,July 22-31,,
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,two-passage-migrant,two-passage,,,,,March 8-14,April 1-7,April 15-21,November 8-14,November 8-14,November 22-30,,,,,
Muscovy Duck,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,March 1-7,September 8-14
Wood Duck,single-season,summer,,March 22-31,September 1-7,October 15-21,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,June 1-7,August 15-21,September 1-7,September 1-7,,,,,
Northern Shoveler,single-season,summer,,April 1-7,April 8-14,May 8-14,,,,,,,,,,,
Gadwall,two-passage-migrant,two-passage,,,,,March 1-7,April 15-21,April 22-30,October 1-7,October 15-21,October 15-21,,,,,
American Wigeon,single-season,summer,,March 22-31,April 8-14,May 1-7,,,,,,,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 1-7,April 8-14,April 22-30,,
Northern Pintail,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,January 8-14,November 15-21
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,May 1-7,August 22-31,September 22-30,October 15-21,,,,,
Canvasback,single-season,winter,,,,,,,,,,,January 1-7,January 22-31,January 22-31,,
Redhead,two-passage-migrant,two-passage,,,,,December 15-21,January 22-31,May 1-7,October 15-21,October 15-21,October 15-21,,,,,
Ring-necked Duck,single-season,summer,,March 22-31,April 8-14,May 8-14,,,,,,,,,,,
Greater Scaup,single-season,winter,,,,,,,,,,,December 15-21,March 1-7,April 22-30,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,December 22-31,April 8-14,May 15-21,October 15-21,October 15-21,October 15-21,,,,,
Harlequin Duck,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,,
Surf Scoter,two-passage-migrant,two-passage,,,,,February 1-7,February 1-7,February 1-7,October 8-14,October 22-31,October 22-31,,,,,
White-winged Scoter,single-season,winter,,,,,,,,,,,October 8-14,February 1-7,April 22-30,,
Black Scoter,two-passage-migrant,two-passage,,,,,March 15-21,March 15-21,March 15-21,November 1-7,November 1-7,November 1-7,,,,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,October 22-31,February 1-7,April 8-14,,
Bufflehead,single-season,winter,,,,,,,,,,,October 15-21,April 8-14,May 8-14,,
Common Goldeneye,single-season,winter,,,,,,,,,,,November 1-7,February 1-7,April 22-30,,
Barrow's Goldeneye,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,October 22-31
Hooded Merganser,single-season,winter,,,,,,,,,,,July 22-31,April 1-7,May 8-14,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,October 15-21,April 8-14,May 22-31,,
Ruddy Duck,two-passage-migrant,two-passage,,,,,April 8-14,April 15-21,April 22-30,January 8-14,January 22-31,January 22-31,,,,,
Helmeted Guineafowl,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,,
Northern Bobwhite,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,September 22-30
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,single-season,winter,,,,,,,,,,,September 22-30,May 8-14,June 1-7,,
Ring-necked Pheasant,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,January 1-7,December 8-14
Indian Peafowl,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 15-21
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,,
White-winged Dove,vagrant,irregular,irregular,,August 1-7,,,,,,,,,,,August 1-7,August 1-7
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,single-season,summer,,May 15-21,June 8-14,August 1-7,,,,,,,,,,,
Black-billed Cuckoo,single-season,summer,,May 15-21,May 22-31,July 22-31,,,,,,,,,,,
Common Nighthawk,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 8-14,August 22-31,August 22-31,September 8-14,,,,,
Eastern Whip-poor-will,single-season,summer,,May 15-21,June 1-7,June 8-14,,,,,,,,,,,
Chimney Swift,single-season,summer,,May 8-14,June 22-30,August 15-21,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,August 22-31,September 15-21,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,August 8-14,August 8-14
Virginia Rail,single-season,summer,,April 15-21,May 22-31,August 15-21,,,,,,,,,,,
Sora,single-season,summer,,April 22-30,May 8-14,August 15-21,,,,,,,,,,,
Common Gallinule,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,September 22-30
American Coot,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,May 15-21,October 8-14,November 15-21,November 15-21,,,,,
Yellow Rail,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,,
Sandhill Crane,single-season,summer,,March 8-14,April 15-21,October 15-21,,,,,,,,,,,
American Avocet,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,July 1-7,August 8-14
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,May 22-31,August 15-21,August 15-21,August 15-21,,,,,
American Golden-Plover,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,June 15-21,October 8-14
Killdeer,single-season,summer,,March 15-21,April 22-30,October 8-14,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 8-14,July 22-31,September 1-7,October 1-7,,,,,
Piping Plover,single-season,summer,,April 8-14,July 8-14,September 1-7,,,,,,,,,,,
Upland Sandpiper,single-season,summer,,April 22-30,June 8-14,July 8-14,,,,,,,,,,,
Hudsonian Whimbrel,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,June 15-21
Marbled Godwit,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,July 8-14
Short-billed Dowitcher,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,August 22-31
Long-billed Dowitcher,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,,
American Woodcock,two-passage-migrant,two-passage,,,,,March 8-14,March 22-31,July 8-14,September 22-30,September 22-30,October 1-7,,,,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,May 8-14,September 8-14,October 1-7,October 1-7,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,June 1-7
Red-necked Phalarope,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,August 8-14,August 8-14
Spotted Sandpiper,single-season,summer,,May 1-7,May 22-31,September 8-14,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,May 1-7,May 8-14,May 15-21,July 22-31,September 1-7,September 15-21,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 22-30,May 8-14,May 15-21,July 15-21,August 15-21,September 8-14,,,,,
Willet,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,May 1-7,August 15-21
Greater Yellowlegs,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,August 1-7,August 15-21,August 22-31,,,,,
Ruddy Turnstone,single-season,summer,,May 22-31,May 22-31,May 22-31,,,,,,,,,,,
Red Knot,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,,
Stilt Sandpiper,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 8-14,September 8-14
Buff-breasted Sandpiper,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,August 15-21,September 15-21
Sanderling,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,June 8-14,July 15-21,September 15-21,October 22-31,,,,,
Dunlin,single-season,summer,,May 8-14,May 22-31,June 1-7,,,,,,,,,,,
Baird's Sandpiper,single-season,summer,,August 15-21,August 22-31,September 8-14,,,,,,,,,,,
White-rumped Sandpiper,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,June 15-21
Least Sandpiper,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,July 1-7,August 15-21,September 1-7,,,,,
Pectoral Sandpiper,single-season,summer,,August 15-21,September 1-7,September 8-14,,,,,,,,,,,
Semipalmated Sandpiper,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 8-14,July 15-21,August 15-21,September 8-14,,,,,
Parasitic Jaeger,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,September 8-14,September 8-14
Little Gull,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 1-7,November 22-30
Black-legged Kittiwake,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,July 8-14,July 8-14
Bonaparte's Gull,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,April 22-30,October 1-7,November 8-14,December 15-21,,,,,
Laughing Gull,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 15-21
Franklin's Gull,vagrant,irregular,irregular,,July 22-31,,,,,,,,,,,July 22-31,October 15-21
Ring-billed Gull,resident,year-round,year-round,,,,,,,,,,,,,,
American Herring Gull,resident,year-round,year-round,,,,,,,,,,,,,,
Great Black-backed Gull,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,January 22-31,December 22-31
Glaucous Gull,two-passage-migrant,two-passage,,,,,February 22-28,February 22-28,February 22-28,December 22-31,December 22-31,December 22-31,,,,,
Lesser Black-backed Gull,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,January 22-31,September 15-21
Iceland Gull,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,November 8-14
Caspian Tern,single-season,summer,,April 15-21,August 1-7,August 22-31,,,,,,,,,,,
Black Tern,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,July 15-21
Forster's Tern,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,June 1-7,October 15-21
Common Tern,single-season,summer,,July 8-14,July 8-14,July 8-14,,,,,,,,,,,
Pied-billed Grebe,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,January 1-7,December 15-21
Horned Grebe,single-season,winter,,,,,,,,,,,September 22-30,November 1-7,May 1-7,,
Red-necked Grebe,single-season,winter,,,,,,,,,,,September 22-30,April 8-14,May 1-7,,
Eared Grebe,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,,
Western Grebe,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,January 22-31,May 1-7
Red-throated Loon,two-passage-migrant,two-passage,,,,,February 1-7,February 1-7,February 1-7,November 1-7,November 1-7,November 1-7,,,,,
Pacific Loon,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 15-21
Common Loon,two-passage-migrant,two-passage,,,,,April 1-7,April 8-14,November 22-30,February 1-7,February 1-7,February 1-7,,,,,
Double-crested Cormorant,single-season,summer,,April 8-14,April 22-30,October 22-31,,,,,,,,,,,
American Bittern,single-season,summer,,April 22-30,April 22-30,June 1-7,,,,,,,,,,,
Least Bittern,single-season,summer,,June 1-7,August 15-21,September 1-7,,,,,,,,,,,
Black-crowned Night Heron,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,August 8-14
Little Blue Heron,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 15-21,April 22-30
Green Heron,single-season,summer,,May 1-7,August 15-21,September 22-30,,,,,,,,,,,
Western Cattle-Egret,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
Great Egret,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,April 22-30,July 22-31,August 15-21,October 1-7,,,,,
Great Blue Heron,single-season,summer,,June 15-21,August 1-7,October 22-31,,,,,,,,,,,
American White Pelican,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,April 1-7,October 1-7
Turkey Vulture,single-season,summer,,March 22-31,April 8-14,October 8-14,,,,,,,,,,,
Osprey,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,June 15-21,September 1-7,September 1-7,October 15-21,,,,,
Swallow-tailed Kite,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,August 22-31
Golden Eagle,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 1-7,November 1-7
Sharp-shinned Hawk,resident,year-round,year-round,,,,,,,,,,,,,,
Cooper's Hawk,single-season,winter,,,,,,,,,,,July 1-7,August 15-21,May 22-31,,
American Goshawk,single-season,winter,,,,,,,,,,,November 1-7,January 22-31,February 22-28,,
Northern Harrier,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,February 8-14,December 8-14
Bald Eagle,resident,year-round,year-round,,,,,,,,,,,,,,
Broad-winged Hawk,single-season,summer,,April 15-21,August 15-21,September 15-21,,,,,,,,,,,
Red-shouldered Hawk,single-season,summer,,March 1-7,March 15-21,January 8-14,,,,,,,,,,,
Red-tailed Hawk,resident,year-round,year-round,,,,,,,,,,,,,,
Rough-legged Hawk,single-season,winter,,,,,,,,,,,October 15-21,November 1-7,May 8-14,,
Eastern Screech-Owl,two-passage-migrant,two-passage,,,,,December 15-21,December 15-21,December 22-31,October 8-14,November 1-7,November 1-7,,,,,
Snowy Owl,single-season,winter,,,,,,,,,,,November 22-30,December 22-31,March 8-14,,
Great Horned Owl,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,January 1-7,December 22-31
Barred Owl,resident,year-round,year-round,,,,,,,,,,,,,,
Great Gray Owl,vagrant,irregular,irregular,,February 15-21,,,,,,,,,,,February 15-21,February 15-21
Long-eared Owl,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,July 22-31
Short-eared Owl,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,April 8-14,November 1-7
Boreal Owl,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,February 22-28
Northern Saw-whet Owl,single-season,summer,,March 1-7,March 1-7,March 1-7,,,,,,,,,,,
Belted Kingfisher,single-season,summer,,April 1-7,August 15-21,October 15-21,,,,,,,,,,,
Yellow-bellied Sapsucker,single-season,summer,,April 1-7,April 15-21,October 1-7,,,,,,,,,,,
Red-headed Woodpecker,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,January 1-7,December 15-21
Red-bellied Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Downy Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Hairy Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Pileated Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Northern Flicker,single-season,summer,,April 1-7,April 22-30,October 8-14,,,,,,,,,,,
American Kestrel,single-season,summer,,March 15-21,April 1-7,October 1-7,,,,,,,,,,,
Merlin,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,January 1-7,December 22-31
