species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.031915,0.0,0.0,10,2,17-35;39-10,summer|winter,No,classic_bimodal|low_presence
Ross's Goose,vagrant,irregular,0.00303,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.012987,0.0,0.0,3,2,6-12;14-4,winter|summer,No,low_annual_presence
Brant,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,vagrant,irregular,0.01227,0.0,0.0,10,2,16-31;34-10,summer|winter,No,classic_bimodal|low_presence|low_annual_presence
Canada Goose,single-season,summer,0.613497,0.0,0.0,47,1,0-8,winter,No,
Mute Swan,resident,year-round,0.3,0.020305,0.0677,48,0,,,No,seasonal_variation|min_max_near_boundary
Trumpeter Swan,two-passage-migrant,two-passage,0.078652,0.0015,0.0191,48,2,3-6;23-30,winter|summer,No,classic_bimodal
Tundra Swan,single-season,winter,0.169118,0.0,0.0,27,1,0-38,summer,Yes,overwintering
Wood Duck,single-season,summer,0.076433,0.0,0.0,32,1,39-9,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.099265,0.0,0.0,28,2,21-29;36-11,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.066667,0.0,0.0,24,2,19-33;43-10,summer|winter,No,classic_bimodal
Gadwall,vagrant,irregular,0.095541,0.0,0.0,37,3,2-7;9-12;23-30,winter|winter|summer,No,three_valleys_irregular
Eurasian Wigeon,vagrant,irregular,0.011029,0.0,0.0,3,1,17-15,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.166667,0.0,0.0,29,2,21-30;41-10,summer|winter,No,classic_bimodal
Mallard,single-season,summer,0.547771,0.015625,0.0285,48,1,3-8,winter,No,
American Black Duck,two-passage-migrant,two-passage,0.12987,0.0,0.0,45,2,3-9;20-25,winter|summer,No,classic_bimodal
Northern Pintail,two-passage-migrant,two-passage,0.121019,0.0,0.0,23,2,17-33;38-10,summer|winter,No,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.152866,0.0,0.0,29,2,18-29;41-12,summer|winter,No,classic_bimodal
Canvasback,vagrant,irregular,0.081818,0.0,0.0,32,3,0-11;20-30;35-38,winter|summer|mixed,No,three_valleys_irregular
Redhead,two-passage-migrant,two-passage,0.478261,0.0,0.0,46,2,4-9;18-33,winter|summer,No,classic_bimodal
Ring-necked Duck,two-passage-migrant,two-passage,0.160606,0.0,0.0,35,2,21-34;41-10,summer|winter,No,classic_bimodal
Greater Scaup,two-passage-migrant,two-passage,0.171975,0.0,0.0,31,2,0-9;18-33,winter|summer,No,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.20303,0.0,0.0,32,2,19-33;43-10,summer|winter,No,classic_bimodal
Harlequin Duck,vagrant,irregular,0.027778,0.0,0.0,7,2,0-11;15-38,winter|summer,No,
Surf Scoter,two-passage-migrant,two-passage,0.070922,0.0,0.0,14,2,17-34;42-15,summer|winter,No,classic_bimodal|low_presence
White-winged Scoter,two-passage-migrant,two-passage,0.255435,0.0,0.0,31,2,0-10;18-33,winter|summer,No,classic_bimodal
Black Scoter,two-passage-migrant,two-passage,0.065274,0.0,0.0,18,2,16-36;44-14,summer|winter,No,classic_bimodal
Long-tailed Duck,two-passage-migrant,two-passage,0.375,0.0,0.0,36,2,2-9;19-36,winter|summer,Yes,classic_bimodal
Bufflehead,two-passage-migrant,two-passage,0.430303,0.0,0.0,35,2,0-10;19-37,winter|summer,No,classic_bimodal
Common Goldeneye,single-season,winter,0.475862,0.009901,0.0208,48,1,22-31,summer,No,overwintering
Hooded Merganser,two-passage-migrant,two-passage,0.304348,0.0,0.0,44,2,0-10;19-27,winter|summer,No,classic_bimodal
Common Merganser,resident,year-round,0.448529,0.015873,0.0354,48,0,,,No,seasonal_variation|min_max_near_boundary
Red-breasted Merganser,single-season,summer,0.436364,0.005076,0.0116,48,1,6-9,winter,No,
Ruddy Duck,vagrant,irregular,0.009091,0.0,0.0,7,1,18-13,winter,No,
Northern Bobwhite,vagrant,irregular,0.004773,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,single-season,winter,0.104,0.0,0.0,43,1,18-40,summer,No,overwintering
Ruffed Grouse,single-season,winter,0.11236,0.0,0.0,47,1,22-28,summer,No,overwintering
Sharp-tailed Grouse,single-season,winter,0.111111,0.0,0.0,41,1,14-38,summer,No,overwintering
Spruce Grouse,vagrant,irregular,0.006897,0.0,0.0,13,2,3-31;33-47,summer|winter,No,classic_bimodal|low_presence|low_annual_presence
Ring-necked Pheasant,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Indian Peafowl,vagrant,irregular,0.001672,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Red Junglefowl,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Chukar,vagrant,irregular,0.007353,0.0,0.0,1,1,42-40,winter,No,low_annual_presence
Rock Pigeon,resident,year-round,0.166667,0.021622,0.1297,48,0,,,No,seasonal_variation|min_max_near_boundary
Mourning Dove,resident,year-round,0.263959,0.009524,0.0361,48,0,,,No,seasonal_variation|min_max_near_boundary
Yellow-billed Cuckoo,vagrant,irregular,0.003021,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency
Black-billed Cuckoo,single-season,summer,0.031434,0.0,0.0,13,1,25-17,winter,No,low_presence
Common Nighthawk,two-passage-migrant,two-passage,0.046847,0.0,0.0,17,2,21-29;35-18,summer|winter,No,classic_bimodal
Eastern Whip-poor-will,single-season,summer,0.006689,0.0,0.0,16,1,24-22,winter,No,
Chimney Swift,single-season,summer,0.143419,0.0,0.0,23,1,33-16,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.301639,0.0,0.0,21,1,35-16,winter,No,
Virginia Rail,single-season,summer,0.019646,0.0,0.0,17,1,26-16,winter,No,
Sora,two-passage-migrant,two-passage,0.024955,0.0,0.0,13,2,27-33;35-15,summer|winter,No,classic_bimodal|low_presence
American Coot,two-passage-migrant,two-passage,0.039164,0.0,0.0,22,2,0-10;16-33,winter|summer,No,classic_bimodal
Sandhill Crane,single-season,summer,0.292208,0.0,0.0,34,1,41-10,winter,No,
Whooping Crane,vagrant,irregular,0.014706,0.0,0.0,2,1,18-15,winter,No,low_annual_presence
American Avocet,vagrant,irregular,0.002625,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-bellied Plover,two-passage-migrant,two-passage,0.041582,0.0,0.0,18,2,22-31;41-17,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.096244,0.0,0.0,11,1,41-31,winter,No,low_presence
Killdeer,single-season,summer,0.235294,0.0,0.0,34,1,36-10,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.111712,0.0,0.0,18,2,20-29;36-17,summer|winter,No,classic_bimodal
Piping Plover,two-passage-migrant,two-passage,0.04401,0.0,0.0,17,2,18-22;26-16,summer|winter,No,classic_bimodal
Upland Sandpiper,vagrant,irregular,0.003677,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Hudsonian Whimbrel,two-passage-migrant,two-passage,0.027383,0.0,0.0,10,2,20-30;33-17,summer|winter,No,classic_bimodal|low_presence
Hudsonian Godwit,vagrant,irregular,0.008913,0.0,0.0,4,1,19-17,winter,No,low_annual_presence
Marbled Godwit,vagrant,irregular,0.008913,0.0,0.0,2,1,19-17,winter,No,low_annual_presence
Short-billed Dowitcher,two-passage-migrant,two-passage,0.033868,0.0,0.0,11,2,20-30;32-16,summer|winter,No,classic_bimodal|low_presence
Long-billed Dowitcher,vagrant,irregular,0.007353,0.0,0.0,2,2,17-39;41-15,summer|winter,No,low_annual_presence
American Woodcock,two-passage-migrant,two-passage,0.027586,0.0,0.0,26,2,26-35;37-10,summer|winter,No,classic_bimodal
Wilson's Snipe,two-passage-migrant,two-passage,0.024242,0.0,0.0,27,2,26-29;43-13,summer|winter,No,classic_bimodal
Wilson's Phalarope,vagrant,irregular,0.01426,0.0,0.0,3,1,19-16,winter,No,low_annual_presence
Red-necked Phalarope,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spotted Sandpiper,single-season,summer,0.112576,0.0,0.0,22,1,35-15,winter,No,
Solitary Sandpiper,two-passage-migrant,two-passage,0.028829,0.0,0.0,18,2,19-24;36-16,summer|winter,No,classic_bimodal
Lesser Yellowlegs,two-passage-migrant,two-passage,0.077206,0.0,0.0,20,2,20-28;34-14,summer|winter,No,classic_bimodal
Willet,vagrant,irregular,0.007353,0.0,0.0,5,1,20-15,winter,No,
Greater Yellowlegs,two-passage-migrant,two-passage,0.125,0.0,0.0,25,2,19-29;41-12,summer|winter,No,classic_bimodal
Ruddy Turnstone,vagrant,irregular,0.017241,0.0,0.0,9,1,21-17,winter,No,
Red Knot,vagrant,irregular,0.01982,0.0,0.0,2,1,32-30,winter,No,low_annual_presence
Stilt Sandpiper,vagrant,irregular,0.016393,0.0,0.0,4,1,33-29,winter,No,
Buff-breasted Sandpiper,vagrant,irregular,0.003604,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sanderling,two-passage-migrant,two-passage,0.037931,0.0,0.0,15,2,20-30;36-18,summer|winter,No,classic_bimodal
Dunlin,two-passage-migrant,two-passage,0.054348,0.0,0.0,13,2,21-36;42-17,summer|winter,No,classic_bimodal|low_presence
Purple Sandpiper,vagrant,irregular,0.002611,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Baird's Sandpiper,vagrant,irregular,0.064865,0.0,0.0,7,1,34-29,winter,No,
White-rumped Sandpiper,vagrant,irregular,0.007099,0.0,0.0,7,3,22-31;33-37;39-18,summer|summer|winter,No,
Least Sandpiper,vagrant,irregular,0.084685,0.0,0.0,16,3,20-24;26-29;33-16,summer|summer|winter,No,three_valleys_irregular
Pectoral Sandpiper,two-passage-migrant,two-passage,0.042253,0.0,0.0,17,2,17-29;40-15,summer|winter,No,classic_bimodal
Semipalmated Sandpiper,two-passage-migrant,two-passage,0.064865,0.0,0.0,12,2,22-28;34-18,summer|winter,No,classic_bimodal|low_presence
Long-tailed Jaeger,vagrant,irregular,0.001802,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Parasitic Jaeger,vagrant,irregular,0.003546,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Little Gull,vagrant,irregular,0.00303,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
