species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,May 1-7,October 1-7,October 15-21,October 15-21,,,,,
Ross's Goose,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 1-7
Greater White-fronted Goose,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,February 8-14,April 22-30
Brant,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Cackling Goose,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 22-31,October 22-31
Canada Goose,single-season,summer,,March 8-14,March 22-31,December 15-21,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,two-passage-migrant,two-passage,,,,,February 22-28,April 8-14,June 15-21,August 22-31,November 15-21,January 15-21,,,,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 22-31,November 8-14,December 22-31,,
Wood Duck,single-season,summer,,March 15-21,April 15-21,October 15-21,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 1-7,May 1-7,June 1-7,August 15-21,September 1-7,September 22-30,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 15-21,September 15-21,September 15-21,September 22-30,,,,,
Gadwall,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,January 1-7,December 22-31
Eurasian Wigeon,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 22-30,May 8-14
American Wigeon,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,June 1-7,August 22-31,October 1-7,November 1-7,,,,,
Mallard,single-season,summer,,March 8-14,April 15-21,January 15-21,,,,,,,,,,,
American Black Duck,two-passage-migrant,two-passage,,,,,March 15-21,April 8-14,May 8-14,July 15-21,November 15-21,December 15-21,,,,,
Northern Pintail,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 1-7,September 15-21,September 15-21,October 8-14,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,April 8-14,April 15-21,May 8-14,August 15-21,October 15-21,November 1-7,,,,,
Canvasback,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,January 1-7,December 15-21
Redhead,two-passage-migrant,two-passage,,,,,March 15-21,March 22-31,May 8-14,September 15-21,November 1-7,January 22-31,,,,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,June 1-7,September 22-30,November 1-7,November 1-7,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 8-14,September 15-21,November 1-7,November 22-30,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 15-21,September 15-21,October 15-21,November 15-21,,,,,
Harlequin Duck,vagrant,irregular,irregular,,December 8-14,,,,,,,,,,,April 1-7,December 8-14
Surf Scoter,two-passage-migrant,two-passage,,,,,May 1-7,May 1-7,May 1-7,September 22-30,October 15-21,November 8-14,,,,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,May 8-14,September 15-21,November 1-7,December 15-21,,,,,
Black Scoter,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,April 22-30,October 8-14,October 22-31,November 22-30,,,,,
Long-tailed Duck,two-passage-migrant,two-passage,,,,,March 15-21,April 22-30,May 15-21,October 8-14,November 1-7,January 8-14,,,,,
Bufflehead,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 15-21,October 15-21,November 1-7,December 1-7,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,September 1-7,April 1-7,June 8-14,,
Hooded Merganser,two-passage-migrant,two-passage,,,,,March 22-31,April 1-7,May 15-21,August 1-7,November 1-7,December 1-7,,,,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,summer,,March 15-21,April 22-30,February 8-14,,,,,,,,,,,
Ruddy Duck,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 15-21,October 1-7
Northern Bobwhite,vagrant,irregular,irregular,,July 22-31,,,,,,,,,,,July 22-31,July 22-31
Wild Turkey,single-season,winter,,,,,,,,,,,November 8-14,January 22-31,May 8-14,,
Ruffed Grouse,single-season,winter,,,,,,,,,,,August 8-14,November 15-21,June 8-14,,
Sharp-tailed Grouse,single-season,winter,,,,,,,,,,,October 22-31,February 22-28,April 8-14,,
Spruce Grouse,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 15-21,December 1-7
Ring-necked Pheasant,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,April 8-14,April 8-14
Indian Peafowl,vagrant,irregular,irregular,,June 22-30,,,,,,,,,,,June 8-14,June 22-30
Red Junglefowl,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
Chukar,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 8-14,November 8-14
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,May 22-31,October 1-7
Black-billed Cuckoo,single-season,summer,,May 15-21,June 8-14,July 1-7,,,,,,,,,,,
Common Nighthawk,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,June 1-7,August 15-21,August 22-31,September 15-21,,,,,
Eastern Whip-poor-will,single-season,summer,,June 22-30,June 22-30,June 22-30,,,,,,,,,,,
Chimney Swift,single-season,summer,,May 8-14,June 8-14,September 1-7,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,September 1-7,September 15-21,,,,,,,,,,,
Virginia Rail,single-season,summer,,May 8-14,June 8-14,July 8-14,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,June 22-30,September 15-21,September 15-21,September 15-21,,,,,
American Coot,two-passage-migrant,two-passage,,,,,March 22-31,March 22-31,March 22-31,September 15-21,October 22-31,December 1-7,,,,,
Sandhill Crane,single-season,summer,,March 22-31,April 8-14,November 1-7,,,,,,,,,,,
Whooping Crane,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 8-14
American Avocet,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,October 22-31
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 8-14,September 1-7,October 8-14,November 1-7,,,,,
American Golden-Plover,single-season,summer,,September 1-7,September 22-30,November 1-7,,,,,,,,,,,
Killdeer,single-season,summer,,March 22-31,May 22-31,September 22-30,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,May 22-31,August 15-21,August 22-31,September 22-30,,,,,
Piping Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,May 8-14,June 22-30,July 8-14,July 8-14,,,,,
Upland Sandpiper,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 22-30,June 22-30
Hudsonian Whimbrel,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,May 22-31,August 22-31,September 1-7,September 1-7,,,,,
Hudsonian Godwit,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,August 22-31
Marbled Godwit,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 22-31
Short-billed Dowitcher,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,August 22-31,August 22-31,August 22-31,,,,,
Long-billed Dowitcher,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,November 1-7
American Woodcock,two-passage-migrant,two-passage,,,,,March 22-31,April 1-7,May 22-31,October 1-7,October 1-7,October 1-7,,,,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,June 22-30,August 15-21,October 1-7,November 1-7,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 8-14,May 22-31
Red-necked Phalarope,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 15-21,August 15-21
Spotted Sandpiper,single-season,summer,,May 1-7,May 22-31,September 15-21,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,May 15-21,July 8-14,August 22-31,September 22-30,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 22-31,August 8-14,August 15-21,September 8-14,,,,,
Willet,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,June 8-14
Greater Yellowlegs,two-passage-migrant,two-passage,,,,,April 8-14,May 1-7,May 15-21,August 15-21,September 8-14,October 1-7,,,,,
Ruddy Turnstone,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,September 22-30
Red Knot,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,September 1-7
Stilt Sandpiper,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 15-21,September 1-7
Buff-breasted Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,September 8-14
Sanderling,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,May 22-31,August 22-31,September 15-21,September 22-30,,,,,
Dunlin,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,June 1-7,October 8-14,November 1-7,November 8-14,,,,,
Purple Sandpiper,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,October 22-31
Baird's Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,July 15-21,September 15-21
White-rumped Sandpiper,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,October 15-21
Least Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,May 1-7,September 22-30
Pectoral Sandpiper,two-passage-migrant,two-passage,,,,,May 1-7,May 1-7,May 1-7,August 15-21,September 22-30,October 22-31,,,,,
Semipalmated Sandpiper,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,June 8-14,August 8-14,August 22-31,September 8-14,,,,,
Long-tailed Jaeger,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,August 22-31
Parasitic Jaeger,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,August 22-31,October 15-21
Little Gull,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,July 8-14
Black-legged Kittiwake,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,November 1-7,December 22-31
Sabine's Gull,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,September 22-30,October 1-7
Bonaparte's Gull,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,May 22-31,August 22-31,November 1-7,November 8-14,,,,,
Laughing Gull,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
Franklin's Gull,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,June 1-7,November 1-7
Black-tailed Gull,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,July 8-14,July 8-14
Ring-billed Gull,single-season,summer,,March 8-14,September 8-14,November 22-30,,,,,,,,,,,
American Herring Gull,resident,year-round,year-round,,,,,,,,,,,,,,
Great Black-backed Gull,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,April 22-30,October 8-14,November 22-30,December 1-7,,,,,
Glaucous Gull,two-passage-migrant,two-passage,,,,,April 8-14,April 15-21,April 22-30,November 1-7,December 15-21,January 1-7,,,,,
Lesser Black-backed Gull,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,November 1-7
California Gull,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Iceland Gull,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,April 8-14,November 8-14
Caspian Tern,single-season,summer,,April 22-30,July 8-14,September 1-7,,,,,,,,,,,
Black Tern,single-season,summer,,May 15-21,June 8-14,August 1-7,,,,,,,,,,,
Forster's Tern,single-season,summer,,June 1-7,July 15-21,July 15-21,,,,,,,,,,,
Common Tern,single-season,summer,,May 1-7,May 15-21,August 22-31,,,,,,,,,,,
Pied-billed Grebe,single-season,summer,,April 8-14,September 15-21,November 1-7,,,,,,,,,,,
Horned Grebe,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 1-7,September 15-21,November 1-7,November 22-30,,,,,
Red-necked Grebe,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,August 15-21,September 22-30,November 15-21,,,,,
Western Grebe,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,January 8-14
Red-throated Loon,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 8-14,September 15-21,October 1-7,November 1-7,,,,,
Pacific Loon,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,December 1-7,December 1-7
Common Loon,single-season,summer,,April 1-7,October 15-21,November 15-21,,,,,,,,,,,
Magnificent Frigatebird,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,September 22-30,September 22-30
Double-crested Cormorant,single-season,summer,,April 1-7,September 15-21,October 22-31,,,,,,,,,,,
American Bittern,single-season,summer,,April 15-21,June 1-7,September 15-21,,,,,,,,,,,
Least Bittern,single-season,summer,,September 8-14,September 15-21,September 15-21,,,,,,,,,,,
Black-crowned Night Heron,single-season,summer,,April 22-30,June 8-14,September 1-7,,,,,,,,,,,
Snowy Egret,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,April 22-30,May 22-31
Green Heron,single-season,summer,,May 15-21,August 8-14,September 15-21,,,,,,,,,,,
Great Egret,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,April 8-14,November 22-30
Great Blue Heron,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,March 22-31,December 8-14
American White Pelican,single-season,summer,,April 22-30,May 22-31,August 22-31,,,,,,,,,,,
Black Vulture,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,April 1-7,September 15-21
Turkey Vulture,single-season,summer,,March 22-31,September 22-30,November 8-14,,,,,,,,,,,
Osprey,single-season,summer,,April 8-14,September 15-21,October 1-7,,,,,,,,,,,
Swallow-tailed Kite,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,September 15-21,September 15-21
Golden Eagle,two-passage-migrant,two-passage,,,,,March 15-21,March 22-31,March 22-31,October 15-21,November 8-14,November 22-30,,,,,
Sharp-shinned Hawk,two-passage-migrant,two-passage,,,,,April 1-7,May 1-7,May 15-21,August 15-21,September 15-21,November 8-14,,,,,
