species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.016085,0.0,0.0,1,1,20-18,winter,No,low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.023192,0.0,0.0,26,3,0-7;9-33;40-43,winter|summer|winter,No,three_valley_migrant
Ross's Goose,vagrant,irregular,0.009518,0.0,0.0,9,2,5-8;12-3,winter|summer,No,
Graylag Goose,vagrant,irregular,0.000553,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Swan Goose,vagrant,irregular,0.000866,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.013325,0.0,0.0,8,1,6-3,summer,No,
Brant,vagrant,irregular,0.021986,0.0,0.0,1,1,39-37,winter,No,low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.013643,0.0,0.0,25,3,1-4;11-35;43-47,winter|summer|winter,Yes,three_valley_migrant
Canada Goose,resident,year-round,0.656794,0.183349,0.2792,48,0,,,No,seasonal_variation
Mute Swan,resident,year-round,0.36377,0.158779,0.4365,48,0,,,No,seasonal_variation
Trumpeter Swan,resident,year-round,0.031463,0.003463,0.1101,48,0,,,No,seasonal_variation|min_max_near_boundary
Tundra Swan,single-season,winter,0.109365,0.0,0.0,32,1,12-38,summer,Yes,overwintering
Muscovy Duck,vagrant,irregular,0.000866,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.278788,0.0,0.0,47,1,42-8,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.150023,0.0,0.0,37,2,19-32;37-10,summer|winter,No,classic_bimodal
Cinnamon Teal,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Shoveler,two-passage-migrant,two-passage,0.099864,0.0,0.0,40,2,0-6;17-35,winter|summer,No,classic_bimodal
Gadwall,single-season,winter,0.150221,0.0,0.0,44,1,16-34,summer,No,overwintering
Eurasian Wigeon,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.122996,0.0,0.0,45,2,0-3;16-34,winter|summer,No,classic_bimodal
Mallard,resident,year-round,0.660246,0.254417,0.3853,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.058709,0.0,0.0,47,2,15-27;29-33,summer|summer,No,overwintering|two_summer_valleys_merged
Northern Pintail,single-season,winter,0.02961,0.0,0.0,34,1,14-34,summer,Yes,overwintering
Green-winged Teal,two-passage-migrant,two-passage,0.08676,0.0,0.0,42,2,0-7;16-33,winter|summer,No,classic_bimodal
Canvasback,single-season,winter,0.211429,0.0,0.0,47,1,16-39,summer,No,overwintering
Redhead,single-season,winter,0.2,0.0,0.0,46,1,16-34,summer,No,overwintering
Ring-necked Duck,single-season,winter,0.21324,0.0,0.0,44,1,15-36,summer,No,overwintering
Greater Scaup,single-season,winter,0.125087,0.0,0.0,43,1,16-37,summer,No,overwintering
Lesser Scaup,single-season,winter,0.187889,0.0,0.0,47,1,17-36,summer,No,overwintering
King Eider,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Surf Scoter,two-passage-migrant,two-passage,0.022091,0.0,0.0,19,2,8-39;43-5,summer|winter,No,classic_bimodal
White-winged Scoter,vagrant,irregular,0.017021,0.0,0.0,30,3,0-3;5-8;10-35,winter|winter|summer,Yes,three_valleys_irregular
Black Scoter,two-passage-migrant,two-passage,0.012721,0.0,0.0,17,2,3-38;44-47,summer|winter,No,classic_bimodal
Long-tailed Duck,single-season,winter,0.031091,0.0,0.0,38,2,15-23;26-40,summer|summer,No,overwintering|two_summer_valleys_merged
Bufflehead,single-season,winter,0.270427,0.0,0.0,43,1,17-38,summer,No,overwintering
Common Goldeneye,single-season,winter,0.192534,0.0,0.0,38,1,13-39,summer,Yes,overwintering
Hooded Merganser,single-season,winter,0.155855,0.0007,0.0045,48,1,15-38,summer,No,overwintering
Common Merganser,single-season,winter,0.260287,0.0,0.0,47,1,15-40,summer,No,overwintering
Red-breasted Merganser,single-season,winter,0.11572,0.0,0.0,41,1,17-39,summer,No,overwintering
Ruddy Duck,single-season,winter,0.158321,0.0,0.0,46,1,16-35,summer,No,overwintering
Helmeted Guineafowl,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,11,1,0-47,winter,No,low_peak_frequency|low_presence
Wild Turkey,resident,year-round,0.074945,0.021649,0.2889,48,0,,,No,seasonal_variation
Ruffed Grouse,vagrant,irregular,0.0015,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ring-necked Pheasant,single-season,winter,0.023963,0.0,0.0,46,1,27-45,summer,No,overwintering
Green Pheasant,vagrant,irregular,0.001178,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Indian Peafowl,vagrant,irregular,0.000553,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Chukar,vagrant,irregular,0.00076,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.082387,0.037346,0.4533,48,0,,,No,seasonal_variation
Mourning Dove,resident,year-round,0.651124,0.351281,0.5395,48,0,,,No,
Yellow-billed Cuckoo,single-season,summer,0.032562,0.0,0.0,24,1,35-17,winter,No,
Black-billed Cuckoo,single-season,summer,0.034916,0.0,0.0,21,1,28-16,winter,No,
Common Nighthawk,two-passage-migrant,two-passage,0.041263,0.0,0.0,20,2,26-29;35-17,summer|winter,No,classic_bimodal
Eastern Whip-poor-will,single-season,summer,0.007506,0.0,0.0,12,1,17-15,winter,No,low_presence
Chimney Swift,single-season,summer,0.226866,0.0,0.0,27,1,38-14,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.384779,0.0,0.0,25,1,36-16,winter,No,
Rufous Hummingbird,vagrant,irregular,0.006803,0.0,0.0,2,1,37-35,winter,No,low_annual_presence
King Rail,vagrant,irregular,0.014146,0.0,0.0,2,1,17-15,winter,No,low_annual_presence
Virginia Rail,single-season,summer,0.072401,0.0,0.0,30,1,37-11,winter,No,
Sora,two-passage-migrant,two-passage,0.119894,0.0,0.0,30,2,20-30;38-12,summer|winter,No,classic_bimodal
Common Gallinule,single-season,summer,0.085171,0.0,0.0,32,1,38-12,winter,No,
American Coot,two-passage-migrant,two-passage,0.188512,0.001038,0.0055,48,2,0-8;18-32,winter|summer,No,classic_bimodal
Purple Gallinule,vagrant,irregular,0.000711,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Yellow Rail,vagrant,irregular,0.000289,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,resident,year-round,0.136585,0.011062,0.081,48,0,,,No,seasonal_variation|min_max_near_boundary
Whooping Crane,vagrant,irregular,0.004042,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-necked Stilt,vagrant,irregular,0.004075,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Avocet,vagrant,irregular,0.010965,0.0,0.0,8,2,16-25;27-14,summer|winter,No,low_annual_presence
Black-bellied Plover,two-passage-migrant,two-passage,0.033428,0.0,0.0,20,2,21-30;41-17,summer|winter,No,classic_bimodal
American Golden-Plover,single-season,summer,0.025974,0.0,0.0,16,1,37-29,winter,No,
Killdeer,single-season,summer,0.473868,0.0,0.0,43,1,41-6,winter,No,
Semipalmated Plover,two-passage-migrant,two-passage,0.051452,0.0,0.0,25,2,22-26;37-16,summer|winter,No,classic_bimodal
Piping Plover,vagrant,irregular,0.016606,0.0,0.0,3,1,16-14,winter,No,low_annual_presence
Snowy Plover,vagrant,irregular,0.023227,0.0,0.0,1,1,13-11,winter,No,low_annual_presence
Upland Sandpiper,vagrant,irregular,0.008772,0.0,0.0,8,1,27-25,winter,No,low_annual_presence
Hudsonian Whimbrel,vagrant,irregular,0.014908,0.0,0.0,9,1,20-17,winter,No,
Hudsonian Godwit,vagrant,irregular,0.003411,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Marbled Godwit,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
