species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Snow Goose,two-passage-migrant,two-passage,,,,,March 1-7,March 1-7,March 1-7,September 15-21,October 8-14,October 22-31,,,,,
Ross's Goose,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,February 1-7,November 8-14
Graylag Goose,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,,
Swan Goose,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,,
Greater White-fronted Goose,vagrant,irregular,irregular,,February 1-7,,,,,,,,,,,January 1-7,December 1-7
Brant,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 15-21
Cackling Goose,two-passage-migrant,two-passage,,,,,February 8-14,March 1-7,March 15-21,October 1-7,October 8-14,November 15-21,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 22-31,December 22-31,March 22-31,,
Muscovy Duck,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,,
Wood Duck,single-season,summer,,March 8-14,September 15-21,November 8-14,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,May 15-21,September 8-14,September 8-14,October 1-7,,,,,
Cinnamon Teal,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,April 22-30
Northern Shoveler,two-passage-migrant,two-passage,,,,,February 22-28,April 8-14,May 1-7,October 1-7,November 1-7,December 8-14,,,,,
Gadwall,single-season,winter,,,,,,,,,,,September 22-30,November 1-7,April 22-30,,
Eurasian Wigeon,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
American Wigeon,two-passage-migrant,two-passage,,,,,February 1-7,March 22-31,April 22-30,September 22-30,October 22-31,December 8-14,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 15-21,January 1-7,April 15-21,,
Northern Pintail,single-season,winter,,,,,,,,,,,September 22-30,March 1-7,April 8-14,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,September 15-21,November 1-7,December 8-14,,,,,
Canvasback,single-season,winter,,,,,,,,,,,November 1-7,March 1-7,April 22-30,,
Redhead,single-season,winter,,,,,,,,,,,September 22-30,March 8-14,April 22-30,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,October 8-14,March 22-31,April 15-21,,
Greater Scaup,single-season,winter,,,,,,,,,,,October 15-21,March 22-31,April 22-30,,
Lesser Scaup,single-season,winter,,,,,,,,,,,October 8-14,April 1-7,May 1-7,,
