Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Snow Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017422,0.007776,0.0046012,0.0,0.0,0.0,0.0036657,0.0026298,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001626,0.004886,0.0105402,0.003367,0.031457,0.0091575,0.0156047,0.0039216,0.001992,0.0015,0.0,0.0,0.0,0.0,0.0087527
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052265,0.0155521,0.0,0.0,0.0,0.0,0.0,0.0019724,0.0024291,0.0076482,0.0067771,0.0024783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.003252,0.0016287,0.0,0.0,0.0115894,0.0091575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.0,0.0,0.0040486,0.0,0.0,0.0,0.0,0.0,0.0069686,0.0311042,0.006135,0.0019048,0.0015,0.0,0.0014663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043764
Brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cackling Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0017513,0.0014663,0.0059172,0.0048583,0.0044614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0079051,0.020202,0.0215232,0.007326,0.0169051,0.0098039,0.0059761,0.0015,0.0,0.0082645,0.0,0.0,0.0
Canada Goose,0.021398,0.0448598,0.034413,0.0177112,0.0179533,0.0092593,0.0118203,0.0286225,0.1289199,0.2472784,0.3711656,0.4485714,0.5063584,0.5210158,0.5593842,0.5154504,0.5093117,0.4404079,0.4299699,0.4144981,0.3326134,0.2325,0.2014388,0.1819389,0.21673,0.204499,0.2056338,0.2323838,0.2340426,0.2828096,0.3252747,0.2921615,0.3216667,0.3544715,0.4022801,0.4110672,0.3787879,0.3162252,0.2912088,0.2210663,0.1784314,0.1414343,0.039823,0.0641283,0.0798898,0.0273632,0.0276074,0.0284464
Mute Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001992,0.0,0.0,0.0,0.0,0.0,0.0
Trumpeter Swan,0.0014265,0.0018692,0.0020243,0.006812,0.0359066,0.0055556,0.0023641,0.0268336,0.0383275,0.0637636,0.0506135,0.0628571,0.0277457,0.0350263,0.0227273,0.0124918,0.0097166,0.0095602,0.0120482,0.0142503,0.0172786,0.015,0.0043165,0.002656,0.0019011,0.00409,0.0015,0.0014993,0.0019342,0.0055453,0.0021978,0.0011876,0.0015,0.0097561,0.0114007,0.0158103,0.0117845,0.0182119,0.0347985,0.0208062,0.027451,0.0159363,0.0176991,0.002004,0.0,0.0049751,0.0046012,0.0109409
Tundra Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008757,0.0095308,0.0026298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054945,0.006502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muscovy Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001992,0.0,0.0015,0.0,0.0,0.0,0.0
