species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.031457,0.0,0.0,17,3,0-8;10-34;40-46,winter|summer|winter,No,three_valley_migrant
Ross's Goose,vagrant,irregular,0.015552,0.0,0.0,12,3,10-16;19-36;39-7,mixed|summer|winter,No,three_valleys_irregular|low_presence|low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.031104,0.0,0.0,8,1,11-7,summer,No,
Brant,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.021523,0.0,0.0,17,2,0-14;16-34,winter|summer,No,classic_bimodal
Canada Goose,single-season,summer,0.559384,0.009259,0.0166,48,1,42-7,winter,No,
Mute Swan,vagrant,irregular,0.001992,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Trumpeter Swan,two-passage-migrant,two-passage,0.063764,0.0,0.0,47,3,0-3;22-32;43-46,winter|summer|winter,No,three_valley_migrant
Tundra Swan,vagrant,irregular,0.009531,0.0,0.0,5,2,15-37;40-13,summer|winter,No,
Muscovy Duck,vagrant,irregular,0.001992,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.133333,0.0,0.0,46,1,41-11,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.164373,0.0,0.0,28,2,20-30;34-12,summer|winter,No,classic_bimodal
Northern Shoveler,single-season,summer,0.070348,0.0,0.0,26,1,19-11,winter,No,
Gadwall,vagrant,irregular,0.021261,0.0,0.0,30,3,19-24;27-32;40-10,summer|summer|winter,No,three_valleys_irregular
Eurasian Wigeon,vagrant,irregular,0.001619,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.07478,0.0,0.0,43,3,4-9;18-33;40-47,winter|summer|winter,No,three_valley_migrant
Mallard,resident,year-round,0.522767,0.138298,0.2645,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.097978,0.001439,0.0147,48,1,20-32,summer,No,overwintering
Northern Pintail,single-season,winter,0.018328,0.0,0.0,35,1,16-32,summer,No,overwintering
Green-winged Teal,two-passage-migrant,two-passage,0.084813,0.0,0.0,38,2,20-30;41-12,summer|winter,No,classic_bimodal
Canvasback,two-passage-migrant,two-passage,0.021053,0.0,0.0,34,2,17-37;42-46,summer|winter,No,classic_bimodal
Redhead,two-passage-migrant,two-passage,0.106227,0.0,0.0,33,2,0-11;18-33,winter|summer,Yes,classic_bimodal
Ring-necked Duck,two-passage-migrant,two-passage,0.153226,0.0,0.0,46,2,3-11;19-36,winter|summer,No,classic_bimodal
Greater Scaup,two-passage-migrant,two-passage,0.074122,0.0,0.0,36,2,2-12;18-34,winter|summer,Yes,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.092702,0.0,0.0,41,2,0-10;20-35,winter|summer,No,classic_bimodal
Common Eider,vagrant,irregular,0.05531,0.0,0.0,2,1,43-41,winter,No,low_annual_presence
Harlequin Duck,single-season,winter,0.046092,0.0,0.0,14,1,0-38,summer,Yes,overwintering|low_presence
Surf Scoter,single-season,summer,0.054616,0.0,0.0,19,1,43-35,winter,No,
White-winged Scoter,single-season,winter,0.059761,0.0,0.0,29,1,2-35,summer,Yes,overwintering
Black Scoter,single-season,winter,0.03663,0.0,0.0,18,1,44-36,summer,No,overwintering
Long-tailed Duck,single-season,winter,0.168142,0.0,0.0,37,1,11-37,summer,No,overwintering
Bufflehead,two-passage-migrant,two-passage,0.334648,0.0,0.0,45,2,3-11;19-37,winter|summer,No,classic_bimodal
Common Goldeneye,single-season,winter,0.336088,0.0015,0.0045,48,1,16-38,summer,No,overwintering
Hooded Merganser,single-season,summer,0.138728,0.003704,0.0267,48,1,3-7,winter,No,
Common Merganser,resident,year-round,0.209249,0.053121,0.2539,48,0,,,No,seasonal_variation
Red-breasted Merganser,single-season,winter,0.145644,0.009242,0.0635,48,1,22-34,summer,No,overwintering
Ruddy Duck,single-season,summer,0.023643,0.0,0.0,14,1,19-11,winter,No,low_presence
Northern Bobwhite,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wild Turkey,resident,year-round,0.050988,0.008996,0.1764,48,0,,,No,seasonal_variation|min_max_near_boundary
Ruffed Grouse,resident,year-round,0.102613,0.01,0.0975,48,0,,,No,seasonal_variation|min_max_near_boundary
Sharp-tailed Grouse,vagrant,irregular,0.000753,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spruce Grouse,vagrant,irregular,0.007669,0.0,0.0,38,3,13-27;33-36;42-9,summer|summer|winter,No,three_valleys_irregular
Ring-necked Pheasant,vagrant,irregular,0.001869,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
