species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,two-passage-migrant,two-passage,,,,,March 8-14,March 8-14,March 8-14,September 22-30,October 8-14,October 22-31,,,,,
Ross's Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 1-7,October 15-21
Greater White-fronted Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,January 15-21,December 22-31
Brant,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,July 15-21,October 22-31
Cackling Goose,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,April 22-30,September 22-30,October 8-14,November 8-14,,,,,
Canada Goose,single-season,summer,,March 1-7,April 15-21,November 8-14,,,,,,,,,,,
Mute Swan,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,May 22-31,November 8-14
Trumpeter Swan,two-passage-migrant,two-passage,,,,,February 1-7,March 8-14,June 8-14,September 8-14,October 15-21,November 15-21,,,,,
Tundra Swan,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,October 22-31
Muscovy Duck,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 8-14,November 22-30
Wood Duck,single-season,summer,,April 1-7,September 1-7,November 1-7,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,April 8-14,May 1-7,May 22-31,August 22-31,September 1-7,September 8-14,,,,,
Northern Shoveler,single-season,summer,,April 1-7,April 22-30,May 15-21,,,,,,,,,,,
Gadwall,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,February 22-28,November 22-30
Eurasian Wigeon,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
American Wigeon,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 8-14,September 15-21,October 15-21,October 22-31,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 8-14,March 8-14,May 22-31,,
Northern Pintail,single-season,winter,,,,,,,,,,,September 8-14,April 15-21,April 22-30,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 22-31,August 22-31,October 15-21,November 1-7,,,,,
Canvasback,two-passage-migrant,two-passage,,,,,December 22-31,May 1-7,May 1-7,October 15-21,October 15-21,November 8-14,,,,,
Redhead,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,May 8-14,September 15-21,October 15-21,December 15-21,,,,,
Ring-necked Duck,two-passage-migrant,two-passage,,,,,April 1-7,April 15-21,May 15-21,October 8-14,October 15-21,December 1-7,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,April 8-14,April 15-21,May 8-14,September 22-30,October 22-31,December 15-21,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 22-31,October 1-7,October 15-21,December 8-14,,,,,
Common Eider,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 22-30
Harlequin Duck,single-season,winter,,,,,,,,,,,October 22-31,November 22-30,December 22-31,,
Surf Scoter,single-season,summer,,October 1-7,October 22-31,November 15-21,,,,,,,,,,,
White-winged Scoter,single-season,winter,,,,,,,,,,,October 1-7,November 8-14,January 8-14,,
Black Scoter,single-season,winter,,,,,,,,,,,October 8-14,October 15-21,November 22-30,,
Long-tailed Duck,single-season,winter,,,,,,,,,,,October 15-21,November 15-21,March 15-21,,
Bufflehead,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,May 15-21,October 15-21,November 1-7,January 15-21,,,,,
Common Goldeneye,single-season,winter,,,,,,,,,,,October 22-31,December 1-7,April 22-30,,
Hooded Merganser,single-season,summer,,March 1-7,April 1-7,January 15-21,,,,,,,,,,,
Common Merganser,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Merganser,single-season,winter,,,,,,,,,,,September 22-30,October 22-31,June 8-14,,
Ruddy Duck,single-season,summer,,April 1-7,April 8-14,May 15-21,,,,,,,,,,,
Northern Bobwhite,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,April 15-21
Wild Turkey,resident,year-round,year-round,,,,,,,,,,,,,,
Ruffed Grouse,resident,year-round,year-round,,,,,,,,,,,,,,
Sharp-tailed Grouse,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,,
Spruce Grouse,vagrant,irregular,irregular,,March 15-21,,,,,,,,,,,January 1-7,December 22-31
Ring-necked Pheasant,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,September 22-30
Chukar,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,April 1-7,April 1-7
Rock Pigeon,resident,year-round,year-round,,,,,,,,,,,,,,
Eurasian Collared-Dove,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Common Ground Dove,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,October 22-31,December 1-7
White-winged Dove,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,June 15-21,November 1-7
Mourning Dove,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-billed Cuckoo,two-passage-migrant,two-passage,,,,,June 8-14,July 1-7,July 15-21,September 1-7,September 15-21,September 22-30,,,,,
Black-billed Cuckoo,single-season,summer,,June 1-7,July 1-7,July 22-31,,,,,,,,,,,
Common Nighthawk,single-season,summer,,May 22-31,August 22-31,August 22-31,,,,,,,,,,,
Eastern Whip-poor-will,single-season,summer,,May 8-14,August 15-21,September 1-7,,,,,,,,,,,
Chimney Swift,single-season,summer,,May 8-14,June 1-7,August 15-21,,,,,,,,,,,
Ruby-throated Hummingbird,single-season,summer,,May 8-14,August 15-21,September 8-14,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,July 15-21,July 22-31
Virginia Rail,single-season,summer,,May 8-14,July 1-7,August 8-14,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,May 1-7,May 22-31,July 1-7,September 8-14,September 15-21,September 22-30,,,,,
American Coot,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 1-7,September 1-7,October 22-31,November 15-21,,,,,
Sandhill Crane,single-season,summer,,April 1-7,April 8-14,September 22-30,,,,,,,,,,,
Black-necked Stilt,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 15-21
American Avocet,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,November 1-7
Black-bellied Plover,two-passage-migrant,two-passage,,,,,May 22-31,May 22-31,June 1-7,September 1-7,September 15-21,October 1-7,,,,,
American Golden-Plover,single-season,summer,,September 8-14,September 22-30,October 22-31,,,,,,,,,,,
Killdeer,single-season,summer,,April 1-7,May 1-7,August 8-14,,,,,,,,,,,
