species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,two-passage-migrant,two-passage,0.14003,0.0,0.0,32,2,0-7;11-33,winter|summer,Yes,classic_bimodal
Ross's Goose,vagrant,irregular,0.020833,0.0,0.0,22,3,0-3;11-33;35-39,winter|summer|mixed,No,three_valleys_irregular
Graylag Goose,vagrant,irregular,0.0015,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,two-passage-migrant,two-passage,0.049746,0.0,0.0,32,2,12-36;38-6,summer|winter,Yes,classic_bimodal
Cackling Goose,two-passage-migrant,two-passage,0.068493,0.0,0.0,27,2,0-7;11-34,winter|summer,Yes,classic_bimodal
Canada Goose,resident,year-round,0.597837,0.17655,0.2953,48,0,,,No,seasonal_variation
Mute Swan,resident,year-round,0.244427,0.077381,0.3166,48,0,,,No,seasonal_variation
Black Swan,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Trumpeter Swan,resident,year-round,0.034709,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Tundra Swan,single-season,winter,0.136738,0.0,0.0,28,1,12-38,summer,Yes,overwintering
Egyptian Goose,vagrant,irregular,0.004717,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ruddy Shelduck,vagrant,irregular,0.008415,0.0,0.0,2,1,24-22,winter,No,low_annual_presence
Muscovy Duck,vagrant,irregular,0.009982,0.0,0.0,15,1,33-28,winter,No,low_annual_presence
Wood Duck,single-season,summer,0.243626,0.0,0.0,46,1,40-8,winter,No,
Blue-winged Teal,single-season,summer,0.351524,0.0,0.0,38,1,39-10,winter,No,
Cinnamon Teal,vagrant,irregular,0.028618,0.0,0.0,4,1,16-12,winter,No,low_annual_presence
Northern Shoveler,single-season,summer,0.418203,0.020472,0.049,48,1,2-6,winter,No,
Gadwall,resident,year-round,0.368341,0.068733,0.1866,48,0,,,No,seasonal_variation|min_max_near_boundary
Eurasian Wigeon,vagrant,irregular,0.005988,0.0,0.0,5,1,11-8,summer,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.154376,0.0,0.0,46,2,20-32;44-6,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.585253,0.292641,0.5,48,0,,,No,
American Black Duck,single-season,winter,0.260296,0.006036,0.0232,48,1,10-26,summer,No,overwintering
Northern Pintail,single-season,winter,0.098109,0.0,0.0,45,1,16-32,summer,No,overwintering
Green-winged Teal,single-season,summer,0.197605,0.003003,0.0152,48,1,44-7,winter,No,
Canvasback,two-passage-migrant,two-passage,0.136986,0.001403,0.0102,48,2,0-4;19-34,winter|summer,No,classic_bimodal
