species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.0328,0.0,0.0,41,3,5-23;26-29;32-39,summer|summer|summer,No,three_valleys_irregular|low_annual_presence
Snow Goose,single-season,summer,0.006998,0.0,0.0,17,1,35-33,winter,No,
Ross's Goose,vagrant,irregular,0.005144,0.0,0.0,8,1,10-8,winter,No,low_annual_presence
Graylag Goose,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Swan Goose,vagrant,irregular,0.000154,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,single-season,summer,0.008358,0.0,0.0,15,1,41-39,winter,No,
Cackling Goose,vagrant,irregular,0.00416,0.0,0.0,20,1,0-47,winter,Yes,low_peak_frequency
Canada Goose,resident,year-round,0.566667,0.105409,0.186,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.272007,0.077396,0.2845,48,0,,,No,seasonal_variation
Trumpeter Swan,single-season,winter,0.106734,0.001491,0.014,48,1,11-39,summer,No,overwintering
Tundra Swan,single-season,winter,0.052451,0.0,0.0,30,1,11-39,summer,Yes,overwintering
Ruddy Shelduck,vagrant,irregular,0.000489,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Muscovy Duck,vagrant,irregular,0.000832,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.156975,0.005865,0.0374,48,1,43-7,winter,No,
Blue-winged Teal,two-passage-migrant,two-passage,0.054161,0.0,0.0,34,2,17-30;39-9,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.052301,0.0,0.0,36,2,0-7;16-33,winter|summer,Yes,classic_bimodal
Gadwall,single-season,winter,0.070774,0.0,0.0,39,1,15-35,summer,Yes,overwintering
Eurasian Wigeon,vagrant,irregular,0.007299,0.0,0.0,7,2,10-13;15-8,winter|winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.056722,0.0,0.0,39,2,1-6;15-32,winter|summer,Yes,classic_bimodal
Mallard,resident,year-round,0.536563,0.148639,0.277,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.092304,0.000294,0.0032,48,1,13-36,summer,No,overwintering
Northern Pintail,two-passage-migrant,two-passage,0.021301,0.0,0.0,35,2,2-6;11-33,winter|summer,Yes,classic_bimodal
Green-winged Teal,two-passage-migrant,two-passage,0.04796,0.0,0.0,40,2,1-7;16-30,winter|summer,Yes,classic_bimodal
Canvasback,single-season,winter,0.07534,0.0,0.0,37,1,14-41,summer,Yes,overwintering
Redhead,single-season,winter,0.104085,0.0,0.0,45,1,15-38,summer,No,overwintering
Ring-necked Duck,single-season,winter,0.167403,0.0,0.0,37,1,16-36,summer,Yes,overwintering
Greater Scaup,two-passage-migrant,two-passage,0.016944,0.0,0.0,31,2,15-41;43-6,summer|winter,Yes,classic_bimodal
Lesser Scaup,two-passage-migrant,two-passage,0.067178,0.0,0.0,33,2,1-6;16-37,winter|summer,Yes,classic_bimodal
Surf Scoter,single-season,summer,0.006941,0.0,0.0,13,1,40-38,winter,No,low_presence
White-winged Scoter,vagrant,irregular,0.004533,0.0,0.0,11,1,0-47,winter,No,low_peak_frequency|low_presence
Black Scoter,vagrant,irregular,0.011383,0.0,0.0,9,1,44-38,summer,No,
Long-tailed Duck,single-season,winter,0.006357,0.0,0.0,18,1,0-44,summer,No,overwintering
Bufflehead,two-passage-migrant,two-passage,0.235937,0.0,0.0,36,2,2-6;16-38,winter|summer,No,classic_bimodal
Common Goldeneye,single-season,winter,0.102622,0.0,0.0,39,1,14-38,summer,Yes,overwintering
Hooded Merganser,single-season,winter,0.115248,0.002099,0.0182,48,1,16-38,summer,No,overwintering
