species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,July 1-7,,,,,,,,,,,January 1-7,December 22-31
Snow Goose,single-season,summer,,September 15-21,September 15-21,September 15-21,,,,,,,,,,,
Ross's Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,January 15-21,September 22-30
Graylag Goose,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,December 1-7,December 1-7
Swan Goose,vagrant,irregular,irregular,,February 15-21,,,,,,,,,,,,
Greater White-fronted Goose,single-season,summer,,November 1-7,November 1-7,November 1-7,,,,,,,,,,,
Cackling Goose,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,January 1-7,December 22-31
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,single-season,winter,,,,,,,,,,,November 1-7,January 1-7,March 15-21,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 1-7,January 1-7,March 15-21,,
Ruddy Shelduck,vagrant,irregular,irregular,,December 8-14,,,,,,,,,,,,
Muscovy Duck,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,,
Wood Duck,single-season,summer,,March 1-7,September 8-14,November 15-21,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 1-7,May 1-7,August 22-31,September 8-14,October 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,April 22-30,September 15-21,November 8-14,December 22-31,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 1-7,January 1-7,April 15-21,,
Eurasian Wigeon,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,January 8-14,April 15-21
American Wigeon,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,September 8-14,October 22-31,December 15-21,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,October 8-14,January 1-7,April 1-7,,
Northern Pintail,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,March 15-21,September 15-21,January 1-7,January 8-14,,,,,
Green-winged Teal,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,April 22-30,August 22-31,October 15-21,January 1-7,,,,,
Canvasback,single-season,winter,,,,,,,,,,,November 15-21,March 8-14,April 8-14,,
Redhead,single-season,winter,,,,,,,,,,,October 22-31,March 8-14,April 15-21,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,October 8-14,March 22-31,April 22-30,,
Greater Scaup,two-passage-migrant,two-passage,,,,,February 22-28,March 8-14,April 15-21,November 15-21,November 15-21,November 15-21,,,,,
Lesser Scaup,two-passage-migrant,two-passage,,,,,February 22-28,April 1-7,April 22-30,October 15-21,November 15-21,December 15-21,,,,,
Surf Scoter,single-season,summer,,October 22-31,October 22-31,October 22-31,,,,,,,,,,,
White-winged Scoter,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,December 1-7
Black Scoter,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,December 22-31
