Species,Month,Week,Week_Label,Frequency,Sample_Size
Snow Goose,1,1,Jan_W1,0.0,47.0
Snow Goose,1,2,Jan_W2,0.0,24.0
Snow Goose,1,3,Jan_W3,0.0,20.0
Snow Goose,1,4,Jan_W4,0.0,43.0
Snow Goose,2,1,Feb_W1,0.0,33.0
Snow Goose,2,2,Feb_W2,0.0,45.0
Snow Goose,2,3,Feb_W3,0.0,85.0
Snow Goose,2,4,Feb_W4,0.0,27.0
Snow Goose,3,1,Mar_W1,0.0,25.0
Snow Goose,3,2,Mar_W2,0.0833333,24.0
Snow Goose,3,3,Mar_W3,0.0,35.0
Snow Goose,3,4,Mar_W4,0.0,63.0
Snow Goose,4,1,Apr_W1,0.0196078,51.0
Snow Goose,4,2,Apr_W2,0.0,71.0
Snow Goose,4,3,Apr_W3,0.0,175.0
Snow Goose,4,4,Apr_W4,0.0,228.0
Snow Goose,5,1,May_W1,0.0,204.0
Snow Goose,5,2,May_W2,0.0,268.0
Snow Goose,5,3,May_W3,0.0,551.0
Snow Goose,5,4,May_W4,0.0013532,739.0
Snow Goose,6,1,Jun_W1,0.0,397.0
Snow Goose,6,2,Jun_W2,0.0,520.0
Snow Goose,6,3,Jun_W3,0.0,339.0
Snow Goose,6,4,Jun_W4,0.0,576.0
Snow Goose,7,1,Jul_W1,0.0,325.0
Snow Goose,7,2,Jul_W2,0.0,301.0
Snow Goose,7,3,Jul_W3,0.0,252.0
Snow Goose,7,4,Jul_W4,0.0,415.0
Snow Goose,8,1,Aug_W1,0.0,341.0
Snow Goose,8,2,Aug_W2,0.0,286.0
Snow Goose,8,3,Aug_W3,0.0,244.0
Snow Goose,8,4,Aug_W4,0.0,295.0
Snow Goose,9,1,Sep_W1,0.0,248.0
Snow Goose,9,2,Sep_W2,0.0,209.0
Snow Goose,9,3,Sep_W3,0.0,162.0
Snow Goose,9,4,Sep_W4,0.0,222.0
Snow Goose,10,1,Oct_W1,0.0,190.0
Snow Goose,10,2,Oct_W2,0.0,134.0
Snow Goose,10,3,Oct_W3,0.0,89.0
Snow Goose,10,4,Oct_W4,0.027027,74.0
Snow Goose,11,1,Nov_W1,0.0,48.0
Snow Goose,11,2,Nov_W2,0.0,39.0
Snow Goose,11,3,Nov_W3,0.0,34.0
Snow Goose,11,4,Nov_W4,0.0,51.0
Snow Goose,12,1,Dec_W1,0.0,28.0
Snow Goose,12,2,Dec_W2,0.0,20.0
Snow Goose,12,3,Dec_W3,0.0,15.0
Snow Goose,12,4,Dec_W4,0.0,52.0
Ross's Goose,1,1,Jan_W1,0.0,47.0
Ross's Goose,1,2,Jan_W2,0.0,24.0
Ross's Goose,1,3,Jan_W3,0.0,20.0
Ross's Goose,1,4,Jan_W4,0.0,43.0
Ross's Goose,2,1,Feb_W1,0.0,33.0
Ross's Goose,2,2,Feb_W2,0.0,45.0
Ross's Goose,2,3,Feb_W3,0.0,85.0
