Species,Jan_W1,Jan_W2,Jan_W3,Jan_W4,Feb_W1,Feb_W2,Feb_W3,Feb_W4,Mar_W1,Mar_W2,Mar_W3,Mar_W4,Apr_W1,Apr_W2,Apr_W3,Apr_W4,May_W1,May_W2,May_W3,May_W4,Jun_W1,Jun_W2,Jun_W3,Jun_W4,Jul_W1,Jul_W2,Jul_W3,Jul_W4,Aug_W1,Aug_W2,Aug_W3,Aug_W4,Sep_W1,Sep_W2,Sep_W3,Sep_W4,Oct_W1,Oct_W2,Oct_W3,Oct_W4,Nov_W1,Nov_W2,Nov_W3,Nov_W4,Dec_W1,Dec_W2,Dec_W3,Dec_W4
Snow Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.0196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0013532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross's Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.011236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada Goose,0.0,0.0416667,0.05,0.0232558,0.0,0.0,0.0,0.0,0.12,0.1666667,0.2857143,0.2857143,0.4705882,0.4366197,0.4228571,0.4517544,0.4656863,0.4067164,0.5680581,0.608931,0.5465995,0.5288462,0.5221239,0.4131944,0.4246154,0.5149502,0.4960317,0.5566265,0.5307918,0.5769231,0.5778689,0.5220339,0.5766129,0.5837321,0.6111111,0.6621622,0.6105263,0.5746269,0.4494382,0.2162162,0.1458333,0.1538462,0.0588235,0.0588235,0.0357143,0.05,0.0,0.0384615
Mute Swan,0.0,0.0,0.05,0.0232558,0.0,0.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.004902,0.0074627,0.0036298,0.0054127,0.0151134,0.0038462,0.0117994,0.0069444,0.0092308,0.0033223,0.015873,0.0048193,0.0058651,0.0104895,0.0081967,0.0033898,0.0080645,0.0287081,0.0015,0.009009,0.0052632,0.0074627,0.0224719,0.0135135,0.0208333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trumpeter Swan,0.0638298,0.1666667,0.15,0.2790698,0.2121212,0.1333333,0.0941176,0.0740741,0.04,0.0833333,0.1428571,0.1111111,0.1764706,0.2676056,0.1657143,0.245614,0.2647059,0.25,0.4500907,0.4303112,0.3677582,0.3673077,0.4778761,0.3819444,0.4215385,0.5116279,0.4563492,0.5253012,0.5278592,0.5034965,0.5778689,0.5355932,0.5645161,0.5980861,0.6049383,0.5810811,0.5947368,0.5895522,0.4382022,0.2972973,0.1666667,0.1282051,0.1176471,0.0392157,0.1071429,0.0,0.0666667,0.0576923
Tundra Swan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.015873,0.0,0.0,0.0,0.0131579,0.0098039,0.0074627,0.0072595,0.0081191,0.0015,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0033898,0.0080645,0.0047847,0.0061728,0.0045045,0.0105263,0.0298507,0.011236,0.0,0.0416667,0.0,0.0,0.0015,0.0,0.0,0.0,0.0015
Wood Duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.015873,0.0,0.1126761,0.1942857,0.1096491,0.0784314,0.0671642,0.1016334,0.165088,0.2065491,0.2384615,0.3746313,0.2465278,0.32,0.2458472,0.1785714,0.2698795,0.340176,0.3811189,0.4918033,0.4915254,0.5040323,0.6076555,0.6111111,0.5720721,0.5,0.4253731,0.1685393,0.027027,0.0,0.0,0.0015,0.0,0.0357143,0.0,0.0,0.0
Blue-winged Teal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.084507,0.1314286,0.0964912,0.1127451,0.0746269,0.1324864,0.1163735,0.0982368,0.075,0.0855457,0.0399306,0.0430769,0.0398671,0.0436508,0.0289157,0.0703812,0.1048951,0.1434426,0.1118644,0.1129032,0.138756,0.154321,0.0945946,0.1052632,0.0895522,0.011236,0.0135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Shoveler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169,0.0,0.0219298,0.0245098,0.011194,0.0272232,0.0135318,0.0025189,0.0153846,0.0029499,0.0017361,0.0015,0.0015,0.0,0.0024096,0.0,0.0104895,0.0040984,0.0067797,0.0080645,0.0,0.0061728,0.0045045,0.0263158,0.0074627,0.011236,0.0135135,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
