species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Snow Goose,vagrant,irregular,0.083333,0.0,0.0,4,2,13-38;40-8,summer|winter,No,low_annual_presence
Ross's Goose,vagrant,irregular,0.083333,0.0,0.0,2,1,10-8,winter,No,low_annual_presence
Greater White-fronted Goose,vagrant,irregular,0.041667,0.0,0.0,4,2,10-37;39-8,summer|winter,No,low_annual_presence
Canada Goose,single-season,summer,0.662162,0.0,0.0,42,1,42-7,winter,No,
Mute Swan,vagrant,irregular,0.05,0.0,0.0,31,2,4-19;41-47,winter|winter,No,two_valleys_same_season
Trumpeter Swan,resident,year-round,0.604938,0.0,0.0,47,0,,,No,seasonal_variation|min_max_near_boundary
Tundra Swan,two-passage-migrant,two-passage,0.041667,0.0,0.0,20,2,20-31;41-9,summer|winter,No,classic_bimodal
Wood Duck,single-season,summer,0.611111,0.0,0.0,31,1,39-12,winter,No,
Blue-winged Teal,single-season,summer,0.154321,0.0,0.0,28,1,38-12,winter,No,
Northern Shoveler,two-passage-migrant,two-passage,0.028169,0.0,0.0,24,2,22-28;40-12,summer|winter,No,classic_bimodal
Gadwall,single-season,summer,0.074074,0.0,0.0,29,1,42-8,winter,No,
Eurasian Wigeon,vagrant,irregular,0.00726,0.0,0.0,1,1,19-17,winter,No,low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.157895,0.0,0.0,29,2,17-30;40-11,summer|winter,No,classic_bimodal
Mallard,resident,year-round,0.522388,0.047059,0.0901,48,0,,,No,seasonal_variation|min_max_near_boundary
American Black Duck,resident,year-round,0.139535,0.0,0.0,43,0,,,No,seasonal_variation|min_max_near_boundary
Northern Pintail,two-passage-migrant,two-passage,0.028169,0.0,0.0,17,2,18-31;39-12,summer|winter,No,classic_bimodal
Green-winged Teal,vagrant,irregular,0.083333,0.0,0.0,30,2,0-8;40-45,winter|winter,No,two_valleys_same_season
Canvasback,vagrant,irregular,0.039216,0.0,0.0,9,3,13-17;19-36;40-11,summer|summer|winter,No,
Redhead,vagrant,irregular,0.089552,0.0,0.0,28,3,13-26;28-31;42-10,summer|summer|winter,No,three_valleys_irregular
Ring-necked Duck,single-season,summer,0.395522,0.0,0.0,32,1,39-11,winter,No,
Greater Scaup,two-passage-migrant,two-passage,0.058824,0.0,0.0,18,3,0-10;18-32;40-44,winter|summer|winter,No,three_valley_migrant
Lesser Scaup,two-passage-migrant,two-passage,0.089552,0.0,0.0,30,2,24-28;40-7,summer|winter,No,classic_bimodal
Surf Scoter,vagrant,irregular,0.013513,0.0,0.0,2,1,39-34,winter,No,low_annual_presence
White-winged Scoter,two-passage-migrant,two-passage,0.051282,0.0,0.0,12,2,20-34;42-14,summer|winter,No,classic_bimodal|low_presence
Black Scoter,vagrant,irregular,0.027027,0.0,0.0,2,1,40-37,winter,No,low_annual_presence
Long-tailed Duck,single-season,winter,0.067568,0.0,0.0,19,1,4-37,summer,No,overwintering
Bufflehead,single-season,winter,0.411429,0.0,0.0,35,1,18-38,summer,No,overwintering
Common Goldeneye,single-season,winter,0.488372,0.0,0.0,43,1,17-41,summer,No,overwintering
Barrow's Goldeneye,vagrant,irregular,0.116279,0.0,0.0,5,1,8-47,summer,No,low_annual_presence
Hooded Merganser,single-season,summer,0.25,0.0,0.0,35,1,44-9,winter,No,
Common Merganser,resident,year-round,0.313725,0.035294,0.1125,48,0,,,No,seasonal_variation|min_max_near_boundary
