species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,October 22-31
Ross's Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,May 22-31
Greater White-fronted Goose,vagrant,irregular,irregular,,March 8-14,,,,,,,,,,,March 8-14,October 15-21
Canada Goose,single-season,summer,,March 1-7,September 22-30,November 8-14,,,,,,,,,,,
Mute Swan,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 15-21,November 1-7
Trumpeter Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Tundra Swan,two-passage-migrant,two-passage,,,,,March 15-21,March 15-21,March 22-31,September 1-7,November 1-7,November 1-7,,,,,
Wood Duck,single-season,summer,,April 8-14,September 15-21,October 15-21,,,,,,,,,,,
Blue-winged Teal,single-season,summer,,April 8-14,September 15-21,October 8-14,,,,,,,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,April 8-14,April 8-14,April 8-14,August 8-14,October 1-7,October 22-31,,,,,
Gadwall,single-season,summer,,March 8-14,September 15-21,November 8-14,,,,,,,,,,,
Eurasian Wigeon,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
American Wigeon,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,May 1-7,August 22-31,October 1-7,October 22-31,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,resident,year-round,year-round,,,,,,,,,,,,,,
Northern Pintail,two-passage-migrant,two-passage,,,,,April 8-14,April 8-14,April 8-14,September 1-7,September 15-21,October 15-21,,,,,
Green-winged Teal,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,March 8-14,December 15-21
Canvasback,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,April 1-7,November 15-21
Redhead,vagrant,irregular,irregular,,October 8-14,,,,,,,,,,,March 22-31,November 15-21
Ring-necked Duck,single-season,summer,,April 1-7,October 8-14,October 15-21,,,,,,,,,,,
Greater Scaup,two-passage-migrant,two-passage,,,,,March 22-31,April 1-7,April 1-7,September 8-14,October 1-7,October 22-31,,,,,
