species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.008469,0.0,0.0,3,1,21-19,winter,No,low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.020447,0.0,0.0,30,2,13-38;40-44,summer|winter,Yes,classic_bimodal
Ross's Goose,single-season,winter,0.014209,0.0,0.0,25,1,9-47,summer,No,overwintering
Graylag Goose,vagrant,irregular,0.046005,0.002258,0.0491,48,3,15-21;23-28;30-44,summer|summer|summer,No,three_valleys_irregular|low_annual_presence
Greater White-fronted Goose,two-passage-migrant,two-passage,0.016301,0.0,0.0,27,2,11-40;42-3,summer|winter,Yes,classic_bimodal
Cackling Goose,two-passage-migrant,two-passage,0.011128,0.0,0.0,26,2,10-37;42-47,summer|winter,Yes,classic_bimodal
Canada Goose,resident,year-round,0.65785,0.123884,0.1883,48,0,,,No,seasonal_variation|min_max_near_boundary
Mute Swan,resident,year-round,0.255582,0.048882,0.1913,48,0,,,No,seasonal_variation|min_max_near_boundary
Black Swan,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Trumpeter Swan,single-season,winter,0.130514,0.011607,0.0889,48,1,19-24,summer,No,overwintering
Tundra Swan,single-season,winter,0.021254,0.0,0.0,32,1,12-36,summer,Yes,overwintering
Egyptian Goose,vagrant,irregular,0.000497,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Muscovy Duck,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.201224,0.011292,0.0561,48,1,43-6,winter,No,
Mandarin Duck,vagrant,irregular,0.000293,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Blue-winged Teal,two-passage-migrant,two-passage,0.103566,0.0,0.0,33,2,17-31;35-9,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.091264,0.0,0.0,41,2,16-39;43-7,summer|winter,No,classic_bimodal
Gadwall,single-season,winter,0.093355,0.0,0.0,39,1,16-35,summer,Yes,overwintering
Eurasian Wigeon,vagrant,irregular,0.00286,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,two-passage-migrant,two-passage,0.049772,0.0,0.0,36,2,16-36;43-47,summer|winter,Yes,classic_bimodal
Mallard,resident,year-round,0.537597,0.170031,0.3163,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.073112,0.0,0.0,47,1,13-36,summer,No,overwintering
Northern Pintail,single-season,winter,0.024751,0.0,0.0,35,1,13-36,summer,Yes,overwintering
Green-winged Teal,single-season,winter,0.036349,0.000217,0.006,48,1,17-26,summer,No,overwintering
Canvasback,single-season,winter,0.068604,0.0,0.0,30,1,13-47,summer,Yes,overwintering
Redhead,single-season,winter,0.165187,0.0,0.0,32,1,14-47,summer,Yes,overwintering
Ring-necked Duck,single-season,winter,0.166867,0.0,0.0,46,1,16-47,summer,No,overwintering
Greater Scaup,single-season,winter,0.035513,0.0,0.0,32,1,13-47,summer,Yes,overwintering
Lesser Scaup,single-season,winter,0.118721,0.0,0.0,36,1,16-47,summer,Yes,overwintering
Harlequin Duck,vagrant,irregular,0.02502,0.0,0.0,8,1,14-6,summer,No,low_annual_presence
Surf Scoter,single-season,winter,0.011969,0.0,0.0,18,1,1-37,summer,Yes,overwintering
White-winged Scoter,two-passage-migrant,two-passage,0.01668,0.0,0.0,22,2,9-39;41-47,summer|winter,No,classic_bimodal
Black Scoter,vagrant,irregular,0.010154,0.0,0.0,8,2,4-39;44-47,summer|winter,No,
Long-tailed Duck,two-passage-migrant,two-passage,0.010164,0.0,0.0,21,2,10-38;41-47,summer|winter,No,classic_bimodal
Bufflehead,two-passage-migrant,two-passage,0.215913,0.0,0.0,43,2,1-6;16-39,winter|summer,Yes,classic_bimodal
Common Goldeneye,single-season,winter,0.164111,0.0,0.0,27,1,13-41,summer,Yes,overwintering
Hooded Merganser,single-season,winter,0.168146,0.002093,0.0125,48,2,15-25;27-39,summer|summer,No,overwintering|two_summer_valleys_merged
Common Merganser,single-season,winter,0.222222,0.0,0.0,47,1,14-42,summer,No,overwintering
Red-breasted Merganser,two-passage-migrant,two-passage,0.044774,0.0,0.0,33,2,16-40;44-3,summer|winter,Yes,classic_bimodal
Ruddy Duck,single-season,winter,0.046085,0.0,0.0,46,1,16-36,summer,Yes,overwintering
Helmeted Guineafowl,vagrant,irregular,0.0015,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.00375,0.0,0.0,37,1,0-47,winter,No,low_peak_frequency
Wild Turkey,resident,year-round,0.086023,0.021633,0.2515,48,0,,,No,seasonal_variation
Ruffed Grouse,vagrant,irregular,0.002589,0.0,0.0,30,1,0-47,winter,No,low_peak_frequency
Ring-necked Pheasant,single-season,winter,0.033434,0.000497,0.0149,48,1,26-44,summer,No,overwintering
Indian Peafowl,vagrant,irregular,0.0015,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Chukar,vagrant,irregular,0.000243,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.118429,0.038393,0.3242,48,0,,,No,seasonal_variation
Eurasian Collared-Dove,vagrant,irregular,0.00462,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
African Collared-Dove,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Mourning Dove,resident,year-round,0.552747,0.259427,0.4693,48,0,,,No,seasonal_variation
