species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,April 22-30,June 1-7
Snow Goose,two-passage-migrant,two-passage,,,,,December 8-14,March 1-7,April 1-7,October 22-31,October 22-31,October 22-31,,,,,
Ross's Goose,single-season,winter,,,,,,,,,,,January 15-21,February 8-14,March 1-7,,
Graylag Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,January 1-7,December 22-31
Greater White-fronted Goose,two-passage-migrant,two-passage,,,,,February 1-7,February 22-28,March 15-21,November 8-14,November 8-14,November 8-14,,,,,
Cackling Goose,two-passage-migrant,two-passage,,,,,January 1-7,February 22-28,March 8-14,October 15-21,November 8-14,November 8-14,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Black Swan,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,March 1-7,July 1-7
Trumpeter Swan,single-season,winter,,,,,,,,,,,July 8-14,February 1-7,May 15-21,,
Tundra Swan,single-season,winter,,,,,,,,,,,October 8-14,March 1-7,March 22-31,,
Egyptian Goose,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,,
Muscovy Duck,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
Wood Duck,single-season,summer,,February 22-28,April 8-14,November 15-21,,,,,,,,,,,
Mandarin Duck,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,May 1-7,September 1-7,September 1-7,September 15-21,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,March 1-7,March 22-31,April 22-30,November 1-7,November 8-14,November 15-21,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 1-7,March 1-7,April 22-30,,
Eurasian Wigeon,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 8-14,May 1-7
American Wigeon,two-passage-migrant,two-passage,,,,,January 15-21,March 15-21,April 22-30,October 8-14,October 15-21,November 15-21,,,,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,October 8-14,February 1-7,April 1-7,,
Northern Pintail,single-season,winter,,,,,,,,,,,October 8-14,March 1-7,April 1-7,,
Green-winged Teal,single-season,winter,,,,,,,,,,,July 22-31,March 22-31,May 1-7,,
Canvasback,single-season,winter,,,,,,,,,,,January 22-31,March 1-7,April 1-7,,
Redhead,single-season,winter,,,,,,,,,,,January 1-7,March 1-7,April 8-14,,
Ring-necked Duck,single-season,winter,,,,,,,,,,,January 1-7,March 15-21,April 22-30,,
Greater Scaup,single-season,winter,,,,,,,,,,,January 8-14,March 1-7,April 1-7,,
Lesser Scaup,single-season,winter,,,,,,,,,,,January 8-14,March 22-31,April 22-30,,
Harlequin Duck,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,April 8-14
Surf Scoter,single-season,winter,,,,,,,,,,,October 15-21,December 15-21,January 1-7,,
White-winged Scoter,two-passage-migrant,two-passage,,,,,January 15-21,March 1-7,March 1-7,November 1-7,November 1-7,November 1-7,,,,,
Black Scoter,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,January 22-31,December 8-14
