species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Black-bellied Whistling-Duck,vagrant,irregular,0.004234,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Snow Goose,two-passage-migrant,two-passage,0.020637,0.0,0.0,27,2,2-39;44-47,summer|winter,Yes,classic_bimodal
Ross's Goose,two-passage-migrant,two-passage,0.018249,0.0,0.0,20,2,5-13;17-3,winter|summer,No,classic_bimodal
Graylag Goose,vagrant,irregular,0.0015,0.0,0.0,26,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Greater White-fronted Goose,single-season,winter,0.009065,0.0,0.0,17,1,6-47,summer,Yes,overwintering
Brant,vagrant,irregular,0.011635,0.0,0.0,1,1,39-37,winter,No,low_annual_presence
Cackling Goose,two-passage-migrant,two-passage,0.014018,0.0,0.0,30,2,2-14;16-39,winter|summer,Yes,classic_bimodal
Canada Goose,resident,year-round,0.538217,0.14274,0.2652,48,0,,,No,seasonal_variation
Mute Swan,resident,year-round,0.232836,0.058244,0.2502,48,0,,,No,seasonal_variation
Trumpeter Swan,two-passage-migrant,two-passage,0.014092,0.0,0.0,46,2,9-13;15-40,winter|summer,No,classic_bimodal
Tundra Swan,single-season,winter,0.072951,0.0,0.0,32,1,11-39,summer,Yes,overwintering
Egyptian Goose,vagrant,irregular,0.002478,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Muscovy Duck,vagrant,irregular,0.003521,0.0,0.0,27,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Wood Duck,single-season,summer,0.237362,0.004883,0.0206,48,1,42-7,winter,No,
Mandarin Duck,vagrant,irregular,0.000396,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Blue-winged Teal,two-passage-migrant,two-passage,0.091478,0.0,0.0,35,2,17-30;40-10,summer|winter,No,classic_bimodal
Northern Shoveler,two-passage-migrant,two-passage,0.031558,0.0,0.0,39,2,0-6;15-32,winter|summer,Yes,classic_bimodal
Gadwall,single-season,winter,0.074882,0.0,0.0,41,1,15-35,summer,Yes,overwintering
Eurasian Wigeon,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Wigeon,single-season,winter,0.036218,0.0,0.0,37,1,14-33,summer,Yes,overwintering
Mallard,resident,year-round,0.522084,0.200984,0.385,48,0,,,No,seasonal_variation
American Black Duck,single-season,winter,0.083286,0.0,0.0,47,1,13-31,summer,No,overwintering
Northern Pintail,single-season,winter,0.022497,0.0,0.0,38,1,13-34,summer,Yes,overwintering
Green-winged Teal,two-passage-migrant,two-passage,0.038325,0.0,0.0,42,2,0-6;16-31,winter|summer,No,classic_bimodal
Canvasback,single-season,winter,0.171265,0.0,0.0,39,1,13-39,summer,No,overwintering
Redhead,single-season,winter,0.155858,0.0,0.0,42,1,14-38,summer,No,overwintering
Ring-necked Duck,single-season,winter,0.091619,0.0,0.0,35,1,15-37,summer,Yes,overwintering
Greater Scaup,single-season,winter,0.064208,0.0,0.0,36,1,16-39,summer,Yes,overwintering
Lesser Scaup,single-season,winter,0.09094,0.00077,0.0085,48,1,17-38,summer,No,overwintering
King Eider,vagrant,irregular,0.020047,0.0,0.0,4,1,44-40,summer,No,low_annual_presence
Harlequin Duck,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Surf Scoter,single-season,winter,0.017313,0.0,0.0,18,1,44-40,summer,No,overwintering
White-winged Scoter,single-season,winter,0.007491,0.0,0.0,23,1,9-47,summer,Yes,overwintering
Black Scoter,single-season,winter,0.006486,0.0,0.0,17,1,0-40,summer,No,overwintering
Long-tailed Duck,single-season,winter,0.013812,0.0,0.0,28,1,12-42,summer,Yes,overwintering
Bufflehead,single-season,winter,0.175642,0.0,0.0,32,1,16-38,summer,Yes,overwintering
Common Goldeneye,single-season,winter,0.181297,0.0,0.0,32,1,12-40,summer,Yes,overwintering
Hooded Merganser,single-season,winter,0.147149,0.001837,0.0125,48,1,15-38,summer,No,overwintering
Common Merganser,single-season,winter,0.191262,0.0,0.0,42,1,15-41,summer,No,overwintering
Red-breasted Merganser,single-season,winter,0.063838,0.0,0.0,38,1,17-39,summer,Yes,overwintering
Ruddy Duck,single-season,winter,0.105075,0.0,0.0,46,1,16-37,summer,No,overwintering
Helmeted Guineafowl,vagrant,irregular,0.000529,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Bobwhite,vagrant,irregular,0.001641,0.0,0.0,21,1,0-47,winter,No,low_peak_frequency
Wild Turkey,resident,year-round,0.055399,0.013481,0.2433,48,0,,,No,seasonal_variation
Ring-necked Pheasant,two-passage-migrant,two-passage,0.042343,0.00095,0.0224,48,3,1-6;30-34;44-47,winter|summer|winter,No,three_valley_migrant
Indian Peafowl,vagrant,irregular,0.000353,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Chukar,vagrant,irregular,0.000434,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Rock Pigeon,resident,year-round,0.163182,0.085648,0.5249,48,0,,,No,
Mourning Dove,resident,year-round,0.592289,0.394663,0.6663,48,0,,,No,
Yellow-billed Cuckoo,single-season,summer,0.025406,0.0,0.0,21,1,35-17,winter,No,
Black-billed Cuckoo,two-passage-migrant,two-passage,0.015173,0.0,0.0,19,2,25-29;32-16,summer|winter,No,classic_bimodal
Common Nighthawk,single-season,summer,0.068679,0.0,0.0,24,1,35-17,winter,No,
Eastern Whip-poor-will,single-season,summer,0.013937,0.0,0.0,10,1,37-35,winter,No,low_presence
Chimney Swift,single-season,summer,0.291027,0.0,0.0,26,1,37-14,winter,No,
Ruby-throated Hummingbird,single-season,summer,0.280437,0.0,0.0,30,1,36-15,winter,No,
Rufous Hummingbird,vagrant,irregular,0.003538,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
King Rail,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Virginia Rail,two-passage-migrant,two-passage,0.009521,0.0,0.0,30,2,16-33;35-13,summer|winter,No,classic_bimodal
Sora,two-passage-migrant,two-passage,0.022745,0.0,0.0,32,2,18-28;38-13,summer|winter,No,classic_bimodal
Common Gallinule,two-passage-migrant,two-passage,0.077997,0.0,0.0,29,2,18-23;38-14,summer|winter,No,classic_bimodal
American Coot,single-season,winter,0.075472,0.0,0.0,47,1,16-32,summer,No,overwintering
Yellow Rail,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Sandhill Crane,resident,year-round,0.048314,0.010391,0.2151,48,0,,,No,seasonal_variation
Black-necked Stilt,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Avocet,vagrant,irregular,0.002116,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
