species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Black-bellied Whistling-Duck,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,April 15-21,July 15-21
Snow Goose,two-passage-migrant,two-passage,,,,,January 1-7,January 8-14,January 8-14,November 1-7,November 8-14,November 22-30,,,,,
Ross's Goose,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 1-7,February 1-7,February 1-7,February 1-7,,,,,
Graylag Goose,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,January 1-7,December 1-7
Greater White-fronted Goose,single-season,winter,,,,,,,,,,,January 1-7,January 1-7,February 8-14,,
Brant,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 15-21
Cackling Goose,two-passage-migrant,two-passage,,,,,April 22-30,April 22-30,April 22-30,November 1-7,November 8-14,January 8-14,,,,,
Canada Goose,resident,year-round,year-round,,,,,,,,,,,,,,
Mute Swan,resident,year-round,year-round,,,,,,,,,,,,,,
Trumpeter Swan,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,April 15-21,November 8-14,November 22-30,March 1-7,,,,,
Tundra Swan,single-season,winter,,,,,,,,,,,November 1-7,December 22-31,March 15-21,,
Egyptian Goose,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 8-14
Muscovy Duck,vagrant,irregular,irregular,,December 15-21,,,,,,,,,,,March 1-7,December 22-31
Wood Duck,single-season,summer,,March 1-7,September 15-21,November 8-14,,,,,,,,,,,
Mandarin Duck,vagrant,irregular,irregular,,April 8-14,,,,,,,,,,,,
Blue-winged Teal,two-passage-migrant,two-passage,,,,,March 22-31,April 22-30,May 1-7,August 22-31,September 15-21,October 22-31,,,,,
Northern Shoveler,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,September 8-14,October 8-14,December 22-31,,,,,
Gadwall,single-season,winter,,,,,,,,,,,October 1-7,November 8-14,April 15-21,,
Eurasian Wigeon,vagrant,irregular,irregular,,January 22-31,,,,,,,,,,,January 22-31,October 8-14
American Wigeon,single-season,winter,,,,,,,,,,,September 15-21,March 15-21,April 8-14,,
Mallard,resident,year-round,year-round,,,,,,,,,,,,,,
American Black Duck,single-season,winter,,,,,,,,,,,September 1-7,January 1-7,April 1-7,,
Northern Pintail,single-season,winter,,,,,,,,,,,September 22-30,March 1-7,April 1-7,,
